Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO SIMEON,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,CACEIS BANK ESPAÑA,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"30,41,847","10,99,294","2,78,571","6,98,293","6,16,939","1,56,753","1,98,055","3,24,936","71,925",0,"1,22,690","38,232","1,39,035","1,47,918","1,08,843","1,41,011","32,554","89,954","69,122","58,570","2,360","14,204","45,480","38,979","31,425","6,76,171","11,491","33,440",265,"29,719","21,225","59,521","23,993","29,926",1,"2,243","22,138","5,416","14,189",108,"15,844","4,953","4,068","6,016","6,090","6,484","32,863","1,798","3,043","1,937","2,890",15,100,"4,556",878,"16,435",47,"1,757",81,227,1,800,288,252,15,677,48,4,0,47,"1,612",1,0,"86,10,663"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,06,52,170","2,68,36,621","50,89,842","15,74,404","90,716","32,70,722","66,427","89,415",587,"1,82,862","19,486","46,766","3,57,142",1,"2,99,235","10,410","1,783","5,58,203",0,243,0,"1,02,863",67,"5,457",0,"16,11,327","34,031",15,3,"18,107","25,321","8,042",179,125,0,30,"36,755","3,154",228,0,"38,627",169,772,0,404,108,0,"15,595",0,0,"5,001",0,0,418,93,"21,869",0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,"7,10,75,864"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"50,285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50,285"
2.4. Valores representativos de deuda ..........................................................................................................,"1,25,65,036","88,27,538","12,45,584","64,477","1,000","28,88,585","36,458","55,977",0,0,0,0,"1,800",0,0,0,0,"4,87,850",0,0,0,365,0,0,0,"14,20,890","1,670",0,0,"13,151",0,0,0,0,0,0,0,"3,145",0,0,"28,199",0,0,0,0,0,0,"13,783",0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,76,55,791"
2.5. Otros instrumentos de capital ..........................................................................................................,"76,10,772","36,97,347","14,68,084","12,07,826",0,"2,56,683","3,556",0,0,0,0,0,0,0,0,"6,552",0,"24,234",0,0,0,0,0,0,0,"29,345","24,489",0,3,0,0,0,0,0,0,0,0,0,0,0,"8,434",0,0,0,0,108,0,"1,098",0,0,"5,001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,43,43,532"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,04,76,362","1,42,61,451","23,76,174","3,02,101","89,716","1,25,454","26,413","33,438",587,"1,82,862","19,486","46,766","3,55,342",1,"2,99,235","3,858","1,783","46,119",0,243,0,"1,02,498",67,"5,457",0,"1,61,092","7,872",15,0,"4,956","25,321","8,042",179,125,0,30,"36,755",9,228,0,"1,994",169,772,0,404,0,0,714,0,0,0,0,0,135,93,"21,869",0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,"2,90,26,256"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"29,72,871","67,03,025","7,41,930","1,51,056",0,"25,77,222",0,0,0,0,0,0,0,0,0,0,0,"4,89,614",0,0,0,0,0,0,0,"12,18,609",0,0,0,"7,590",0,0,0,0,0,0,0,0,0,0,"21,624",0,0,0,0,0,0,"3,549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,48,87,090"
