Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS ESPAÑA,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,BANCO DE EUROPA ,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"77,14,562","26,28,507","8,31,169","7,17,504","2,40,532","4,38,094","3,91,298","5,07,714","73,093","69,723","1,63,326","71,663","1,24,354","1,90,428","65,270",0,"95,948","88,942","60,827","72,725","47,843","31,768","3,961","5,02,610","38,475","26,559","58,309","3,241","27,477","47,985","22,568","33,864","22,816",1,134,"13,723","3,305","17,480","5,722","12,323","5,990","31,083","1,606","5,625","28,910","15,347","3,222","5,692","5,767","2,624","22,120",10,"5,526",101,"1,186",31,36,216,"1,111",0,7,714,296,33,"1,293",31,33,0,31,0,0,"1,56,04,484",
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,88,01,458","3,75,41,926","70,53,023","2,11,770","18,64,175","30,44,436","1,12,271","57,410","4,518","58,254","76,982","46,160","4,96,554","29,895","1,40,494","3,62,990","4,75,444","3,475","3,775",0,"2,868","12,809","1,21,184","12,74,797","11,351","7,69,446","1,21,613",0,0,"3,927","6,860",681,567,0,0,"3,729",0,909,"2,225","26,718",78,"37,107",2,0,0,236,0,0,993,"31,446","16,384",0,26,0,273,0,397,0,0,0,63,0,0,0,0,0,0,0,0,0,0,"9,28,31,699",
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,60,164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,60,164",
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"5,42,408",0,0,0,0,0,0,0,0,0,0,"8,429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,50,837",
2.4. Valores representativos de deuda ..........................................................................................................,"1,67,27,799","1,20,97,310","23,02,949","6,121","92,048","25,72,316","29,856",0,0,0,0,0,"2,324",0,"1,02,602",0,0,0,0,0,0,0,0,"11,20,933",0,"1,470","7,033",0,0,0,0,0,0,0,0,0,0,0,0,"21,313",0,"20,869",0,0,0,0,0,0,0,"24,983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,51,29,926",
2.5. Otros instrumentos de capital ..........................................................................................................,"94,73,375","39,39,196","20,24,272",0,"11,13,853","3,17,607","21,230",0,0,0,0,0,0,"8,395","11,280",0,0,0,0,0,0,0,0,"29,466",0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,"5,391",0,"14,051",0,0,0,236,0,0,0,"4,664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,69,63,316",
2.6. Derivados de negociación ......................................................................................................................................................................,"1,26,00,284","2,09,63,012","27,25,802","2,05,649","6,58,274","1,54,513","61,185","57,410","4,518","58,254","76,982","46,160","4,85,801","21,500","26,612","3,62,990","4,75,444","3,475","3,775",0,"2,868","12,809","1,21,184","1,24,398","11,351","7,812","1,14,280",0,0,"3,927","6,860",681,567,0,0,"3,729",0,909,"2,225",14,78,"2,187",2,0,0,0,0,0,993,"1,799","16,384",0,26,0,273,0,397,0,0,0,63,0,0,0,0,0,0,0,0,0,0,"3,94,27,456",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"57,64,649","25,91,456","20,75,901",0,"82,534","20,25,397",0,0,0,0,0,0,0,0,"1,02,506",0,0,0,0,0,0,0,0,"8,73,508",0,"7,24,074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,051",0,0,0,0,0,0,0,"7,515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,42,59,591",
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,"28,772","56,519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"4,034",0,251,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,608",
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,"35,966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,217",
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"28,772","20,553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"4,034",0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,391",
