Var,0182,0049,0030,0081,0075,0128,0065,0072,0093,0224,0004,0042,0019,0061,1004,0038,0036,0129,0073,0082,0097,0046,0086,0223,0231,0095,0198,0094,0130,0057,0122,0024,0185,0227,0233,0216,0009,0138,0059,0078,0232,0186,0142,0226,0099,0229,0031,0217,0125,0003,0063,0220,0211,0225,0058,0136,0113,0188,0184,0011,0133,0200,0021,0205,0219,0132,0115,0121,0091,0083,0234
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO DE GALICIA,BANCO GALLEGO,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,DEXIA SABADELL,BANCO DE VASCONIA ,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO CAIXA GERAL,BANCO DEPOSITARIO BBVA ,CITIBANK ESPAÑA ,BANCO DE CRÉDITO BALEAR,BANCO URQUIJO SABADELL BANCA PRIVADA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCO POPULAR HIPOTECARIO ,"FINANZIA, BANCO DE CRÉDITO ",BANKOA ,BANCO DE MADRID ,BANCA PUEYO,BANCO INVERSIS,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,UBS BANK,ALTAE BANCO,BANCOPOPULAR-E,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,BANCOFAR ,BANCO DE DEPÓSITOS,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,EBN BANCO DE NEGOCIOS,BANCO CETELEM,BNP PARIBAS ESPAÑA ,ARESBANK ,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,BANCO CAMINOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"30,01,817","14,57,625","7,87,044","9,24,707","5,56,927","5,05,310","4,03,888","3,35,674","81,459","1,41,146","1,61,516","1,28,080","3,35,896","1,63,773","22,843",0,"83,119","69,047","68,005","61,955","34,727","71,320","52,221","12,692","44,989","39,866","93,463","9,130","25,903",0,"58,709","32,734","26,356","22,455","9,499",93,589,"18,054","8,551","17,525","8,049","5,444","22,153","29,730","8,422","3,443","8,063","38,511","5,360","5,874",106,975,"1,926",10,"5,103","16,178",0,98,6,10,0,866,336,36,921,0,0,0,0,0,"7,387"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,31,74,932","6,12,09,392","51,75,586","3,16,883","21,77,075","20,00,137","3,17,478","1,97,529","10,985","1,49,549","1,47,070","82,224","7,27,796","14,401","58,533","2,40,964","2,407","3,62,812",0,"4,606","6,571","1,436","1,51,187",0,"1,06,285","30,279","11,32,320","7,48,298",0,0,"2,501","1,259","17,594",122,868,0,"4,594","10,901","1,150",135,"1,04,898",43,"22,844","5,775",0,8,241,0,888,0,0,21,"52,533",0,6,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,96
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,41,328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"1,09,955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,68,52,140","2,18,24,692","1,12,335",52,"72,644","15,95,746",0,"1,18,722",0,0,0,"52,539","5,011",0,0,0,0,0,0,0,0,0,"5,213",0,0,0,"10,03,490",541,0,0,0,0,0,0,0,0,0,"7,917",0,0,"1,01,415",0,"11,047",0,0,0,0,0,0,0,0,0,"46,892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
2.5. Otros instrumentos de capital ..........................................................................................................,"80,92,390","44,56,462","17,88,545",0,"12,70,029","1,61,453",0,"8,477",0,0,0,307,0,"4,074",0,0,0,0,0,0,0,0,0,0,0,0,"21,744",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,483",0,"10,450",0,0,0,201,0,0,0,0,0,"2,821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6. Derivados de negociación ......................................................................................................................................................................,"1,82,30,402","3,48,18,283","32,74,706","3,16,831","8,34,402","2,42,938","3,17,478","70,330","10,985","1,49,549","1,47,070","29,378","7,22,785","10,327","58,533","2,40,964","2,407","3,62,812",0,"4,606","6,571","1,436","1,45,974",0,"1,06,285","30,279","1,07,086","6,429",0,0,"2,501","1,259","17,594",122,868,0,"4,594","2,984","1,150",135,0,43,"1,347","5,775",0,8,40,0,888,0,0,21,"2,820",0,6,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía ..........................................................................................................,"87,86,556","1,04,87,898","89,882",0,"30,704","12,95,334",0,0,0,0,0,"51,429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,67,140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,634",0,0,0,0,0,0,0,0,0,"30,102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
