Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0004,0038,0019,0042,0061,1004,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANESTO BANCO DE EMISIONES ,DEUTSCHE BANK S.A.E.,BANCO GUIPUZCOANO,BANCA MARCH,BANCO DE CRÉDITO LOCAL DE ESPAÑA,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,DEXIA SABADELL,BANCO BANIF,BANCO GALLEGO,GENERAL ELECTRIC CAPITAL BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO CAIXA GERAL,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO URQUIJO SABADELL BANCA PRIVADA ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,ALTAE BANCO,UNO-E BANK,BANCO POPULAR HIPOTECARIO ,BANKOA ,BANCO CAMINOS,BANCO DEPOSITARIO BBVA ,BANCO INVERSIS,BANCA PUEYO,"FINANZIA, BANCO DE CRÉDITO ",BANCO DE MADRID ,BANCOPOPULAR-E,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCOFAR ,BANCO ETCHEVERRÍA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO HALIFAX HISPANIA,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO CETELEM,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,DEUTSCHE BANK CREDIT ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,SELF TRADE BANK
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"35,07,641","40,77,680","6,31,770","9,76,465","9,03,186","2,37,413","11,91,974","1,80,047","88,900","64,355","1,31,851",0,"1,47,521","78,780","1,76,576","37,605","50,212","82,269","95,533","2,160","56,011","61,756","8,495","1,25,067","37,480","4,988","27,704","97,052","15,219","45,641","20,868",165,"18,064","7,004",0,"10,090","20,800",18,"7,101","4,532","1,856","19,005","13,142","16,351","8,019","7,998",106,"5,785","40,084","4,381","1,045","3,57,769",6,0,124,3,34,1,"1,073",95,0,30,0,0,0,0,924
2. CARTERA DE NEGOCIACIÓN  ,"7,37,63,912","5,82,35,315","69,36,818","21,86,467","11,75,438","41,33,014","89,527","8,99,972","1,10,600","2,49,881","3,50,770","1,03,712","3,37,028","7,37,074","22,834","68,538",22,"3,39,584",545,"94,748","95,811","1,966",0,"20,94,419",0,"5,61,437","61,500",7,"3,536",0,2,0,"1,805",204,0,"64,093",11,0,615,33,"97,221","26,154",971,404,217,248,0,0,0,11,75,0,0,0,0,0,76,0,0,811,0,0,0,0,0,0,0
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,60,808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 2. Crédito a la clientela ,"67,075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 3. Valores representativos de deuda  ,"1,72,46,710","1,55,60,064","3,20,391","44,818",22,"30,35,614","3,876","7,99,744",0,0,0,0,"2,400","5,52,471",0,0,0,0,0,0,12,0,0,"18,21,956",0,311,0,0,0,0,0,0,0,160,0,"60,107",0,0,0,0,"67,747",0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 4.  Instrumentos de capital  ,"27,64,515","41,21,006","8,74,195","3,87,284",0,"1,86,941",0,"3,399",0,0,0,0,0,204,0,0,0,0,545,0,0,316,0,"9,715",0,0,0,0,0,0,0,0,0,0,0,"3,986",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,0,0,0
2. 5. Derivados de negociación ,"5,36,85,612","3,85,54,245","57,42,232","17,54,365","11,75,416","9,10,459","85,651","96,829","1,10,600","2,49,881","3,50,770","1,03,712","3,34,628","1,84,399","22,834","68,538",22,"3,39,584",0,"94,748","95,799","1,650",0,"2,62,748",0,318,"61,500",7,"3,536",0,2,0,"1,805",44,0,0,11,0,615,33,"29,472","26,154",542,404,217,248,0,0,0,11,75,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"36,37,342","94,57,300","2,49,299",0,0,"22,14,138",0,"56,449",0,0,0,0,0,"5,02,345",0,0,0,0,0,0,0,0,0,"6,92,767",0,"5,09,748",0,0,0,0,0,0,0,0,0,"2,082",0,0,0,0,"62,827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,00,75,211",0,0,484,0,"8,801",0,"8,88,264",0,0,0,0,0,"52,131",0,0,0,0,0,0,0,"9,747",0,0,0,0,0,0,"5,752",0,0,0,0,"13,233",0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
