Var,182,49,75,30,81,128,65,72,93,224,61,42,19,38,36,231,198,73,46,130,86,223,122,129,94,233,185,57,216,227,138,234,99,78,125,229,232,142,31,59,9,186,63,217,3,58,136,211,113,226,225,184,188,1490,11,220,133,200,219,132,115,121,91,83,235,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,OPEN BANK,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,BBVA BANCO DE FINANCIACIÓN,RBC DEXIA INVESTOR SERVICES ESPAÑA,POPULAR BANCA PRIVADA,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,UNO-E BANK,BANKOA ,BANCO CAMINOS,ALTAE BANCO,BANCA PUEYO,BANCOFAR ,BANCOPOPULAR-E,BANCO INVERSIS,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO ETCHEVERRÍA ,BANCO DE MADRID ,"FINANZIA, BANCO DE CRÉDITO ","BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO HALIFAX HISPANIA,BANCO DE DEPÓSITOS,BNP PARIBAS ESPAÑA ,ARESBANK ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,UBS BANK,BANCO CETELEM,BANCO EUROPEO DE FINANZAS,BANCO ALCALÁ ,SELF TRADE BANK,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,"BANCO PICHINCHA ESPAÑA, S.A.",TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"44,00,733","2,90,39,954","14,05,376","6,85,560","14,75,515","2,61,845","5,28,602","1,69,147","1,16,306","1,15,888","2,02,390","1,60,699","1,72,716",0,"43,453","7,070","12,31,622","73,037","41,406","34,691","49,015","1,275","1,01,060","32,010","1,847","11,821","20,927",0,119,"14,873","23,835","4,578","18,347","18,460","9,600","5,796","8,449","22,042","16,350","5,153",243,"4,677",106,"37,310","5,415","5,462","8,669","1,723",0,"14,720",2,"1,524",207,"1,411",442,"1,887",0,"1,234","5,463",0,0,0,0,0,169,"4,06,22,231"
2. CARTERA DE NEGOCIACIÓN  ,"5,73,20,551","6,85,32,788","21,72,619","89,14,953","11,64,728","30,00,403","43,037","24,04,567","1,17,505","1,51,760","21,712","1,78,739","2,28,908","8,260",0,"99,014","16,10,517",496,"3,367",0,"1,66,974",0,83,"1,86,337",270,4,"24,083",0,0,0,"7,902",231,0,1,0,35,"1,27,294",446,253,548,0,256,0,0,0,"39,451",0,"1,49,885",0,"1,778",0,0,0,0,574,314,0,0,"1,151",0,0,0,0,0,"2,205","14,66,83,999"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,205","2,205"
2. 2. Crédito a la clientela ,0,"28,410",0,"19,796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"48,206"
2. 3. Valores representativos de deuda  ,"1,50,85,299","2,39,57,069","47,102","12,49,353",14,"21,70,479",127,"23,09,241",0,0,0,"70,921","1,757",0,0,0,"13,05,024",0,0,0,"1,14,646",0,0,0,4,0,0,0,0,0,"5,465",0,0,0,0,0,"1,21,115",417,0,0,0,0,0,0,0,0,0,"1,08,283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,65,46,316"
2. 4.  Instrumentos de capital  ,"60,85,211","41,01,542","6,70,765","22,24,935",0,"2,09,588",0,"5,797",0,0,0,0,0,0,0,0,"10,112",496,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,174",0,199,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,"1,151",0,0,0,0,0,0,"1,33,16,626"
2. 5. Derivados de negociación ,"3,61,50,041","4,04,45,767","14,54,752","54,20,869","11,64,714","6,20,336","42,910","89,529","1,17,505","1,51,760","21,712","1,07,818","2,27,151","8,260",0,"99,014","2,95,381",0,"3,228",0,"52,328",0,83,"1,86,337",266,4,"24,083",0,0,0,"2,437",231,0,1,0,35,5,29,54,548,0,256,0,0,0,"39,451",0,"41,085",0,"1,778",0,0,0,0,574,314,0,0,0,0,0,0,0,0,0,"8,67,70,646"
Pro-memoria: Prestados o en garantía  ,"97,78,696","51,69,222",0,"11,44,500",0,"18,26,077",0,"30,497",0,0,0,"70,830",0,0,0,0,"7,75,288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,091",0,0,0,0,0,0,0,0,0,0,"1,04,609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,89,01,810"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,0,"2,16,91,514",0,0,0,"21,116",0,"9,00,248",0,0,0,0,0,0,0,0,0,0,"1,583",0,0,0,0,0,0,"5,331",0,0,0,0,0,"16,931",0,0,0,0,"1,146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,"1,802","2,26,39,703"
