Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"30,28,838","13,13,455","11,09,183","4,78,743","7,19,474","2,42,452","2,32,207",0,"2,98,866","88,910","59,538","1,25,409","1,87,596","81,628","49,422","66,676","75,477","1,73,423","62,700","60,321","31,295","63,039","3,61,878","42,468","45,748","16,691","26,345","23,613",400,1,"2,812","59,280","7,325","41,026","18,020",210,"7,615","7,987","13,078","7,487",139,"12,050","5,680",557,"6,335","3,543","20,160","2,934","1,882",113,"2,553",442,18,20,"12,862","2,678",189,"1,987",244,"1,515",1,665,483,27,252,258,652,19,455,0,0,18,1,0,"93,09,368"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,90,19,067","2,40,39,412","54,95,587","95,644","16,12,760","42,35,395","21,352","67,448","49,533","28,542","2,767","2,80,351","2,481","2,60,161",693,0,"2,97,107","2,371",0,"3,005","34,907","2,027","11,82,177",0,"2,844","22,105",733,0,0,0,86,"6,843","7,295",381,101,"25,900",1,"53,050",0,154,0,0,0,0,111,0,"36,900",0,0,0,42,"18,637",0,0,"9,160",689,0,132,0,0,0,0,0,0,0,0,0,0,"62,376",0,0,0,0,0,"7,69,80,327"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,898",0,0,0,0,0,0,0,0,0,0,"36,900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"47,128",0,0,0,0,0,"1,09,926"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,248",0,0,0,0,0,"15,248"
2.4. Valores representativos de deuda ..........................................................................................................,"1,62,89,236","55,05,691","29,95,553",10,"77,970","38,14,182","5,500",0,"35,819",0,0,"3,045",0,0,0,0,"2,81,545",0,0,0,401,0,"10,21,248",0,0,"21,981",0,0,0,0,0,0,813,0,0,0,1,"52,527",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,01,23,339"
2.5. Otros instrumentos de capital ..........................................................................................................,"69,30,598","23,20,123","10,19,400",0,"8,21,444","1,31,509",408,0,0,0,0,0,0,0,0,0,"15,126","2,292",0,0,0,0,"21,232",0,0,41,0,0,0,0,0,0,174,0,0,2,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,538,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,12,63,130"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,57,99,233","1,62,13,598","14,80,635","95,634","7,13,346","2,89,704","15,444","67,448","13,714","28,542","2,767","2,77,305","2,481","2,60,161",693,0,436,79,0,"3,005","34,506","2,027","1,39,697",0,"2,844",83,733,0,0,0,86,"6,843","6,308",381,101,0,0,523,0,154,0,0,0,0,0,0,0,0,0,0,42,282,0,0,"9,160",689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,54,68,684"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"64,16,165","57,88,218","26,64,577",0,"43,858","36,24,312",0,0,0,0,0,0,0,0,0,0,"2,79,639",0,0,0,0,0,"4,30,127",0,0,"18,852",0,0,0,0,0,0,0,0,0,0,0,"45,224",0,0,0,0,0,0,0,0,0,0,0,0,0,"15,877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,93,26,849"
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,"13,945","52,884",0,0,0,0,"2,12,203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,79,032"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,"30,406",0,0,0,0,"2,12,203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,42,609"
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"13,945","22,478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,423"
