Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,CACEIS BANK ESPAÑA,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"26,56,889","20,89,602","4,42,262","5,90,456","6,97,537","3,80,289","2,50,124","3,56,259","1,02,255",0,"84,840","12,370","1,45,031","1,53,827","92,046","1,27,952","21,273","66,652","66,574","57,281","2,237","5,171","44,157","42,018","47,990","3,95,300","4,403","34,449",809,"26,446","39,384","38,250","22,290","43,691",1,"2,336","14,041","5,573","17,280",125,"11,552","8,090","3,207","6,109","6,082","10,004","26,455","1,385","3,128","2,156","16,765",17,193,"4,702",878,"20,230",42,"1,705",66,161,1,717,289,62,1,359,42,4,0,42,"1,412",1,0,"93,05,327"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,10,96,697","2,99,35,323","45,66,476","10,43,166","1,06,277","33,84,066","54,244","83,333","1,567","2,72,089","22,394","37,227","4,39,952",721,"3,26,721","10,705","5,637","57,883",0,480,"75,932","99,022",325,"7,772",0,"14,58,563","1,32,640","4,501",0,"3,351","35,364","3,847",203,213,0,21,"3,025","2,994",254,0,"53,227",252,792,0,404,114,0,"25,558",0,0,"12,055",0,0,4,66,"17,117",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,"7,33,82,583"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,25,923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,25,923"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"3,60,802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,60,802"
2.4. Valores representativos de deuda ..........................................................................................................,"1,18,51,056","99,17,541","13,27,633","86,233","2,590","31,19,936","21,931","46,109",0,0,0,0,"1,707",0,0,0,0,967,0,0,0,"6,079",0,0,0,"13,34,325",165,0,0,63,0,0,0,0,0,0,0,"2,943",0,0,"41,725",0,0,0,0,0,0,"22,731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,77,83,734"
2.5. Otros instrumentos de capital ..........................................................................................................,"84,27,423","40,89,914","9,36,259","4,17,818",0,"1,54,281","3,986",0,0,0,0,0,0,0,0,"6,752",0,"25,157",0,0,0,0,0,0,0,"27,681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,378",0,0,0,0,114,0,"1,035",0,0,"12,009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,41,11,807"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,08,18,218","1,55,67,066","23,02,584","5,39,115","1,03,687","1,09,849","28,327","37,224","1,567","2,72,089","22,394","37,227","4,38,245",721,"3,26,721","3,953","5,637","31,759",0,480,"75,932","92,943",325,"7,772",0,"96,557","6,552","4,501",0,"3,288","35,364","3,847",203,213,0,21,"3,025",51,254,0,"2,124",252,792,0,404,0,0,"1,792",0,0,46,0,0,4,66,"17,117",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,"3,10,00,317"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"30,56,498","30,76,309","8,13,301","53,522",0,"27,93,451",0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,"11,36,264","1,13,772",0,0,0,0,0,0,0,0,0,0,0,0,0,"21,101",0,0,0,0,0,0,"9,592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,10,74,407"
