Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,MICROBANK DE LA CAIXA,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"67,21,611","18,27,105","5,13,686","7,61,715","4,31,057","3,62,666","1,70,143","3,66,956","56,400","14,440","1,57,980","59,854","1,44,872","1,63,601","1,07,384",0,"74,889","53,391","50,456","77,766","44,030","34,045","2,232","1,10,246","38,067","2,843","30,194","6,351","20,535","56,714","20,002","33,298","23,513",1,117,"17,724","3,730","12,732","5,823","6,001","6,944","13,069","1,097","4,775","34,365","9,766","3,711","5,782","6,315",934,"24,573",8,"3,173",232,905,25,56,215,407,0,393,"1,000",222,44,825,26,13,0,25,0,0,"1,27,03,070",
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,91,38,077","4,71,79,510","61,56,817","2,83,018","12,70,123","17,19,230","1,51,552","43,245","9,120","66,816","1,00,160","52,071","5,01,086","13,311","38,648","3,46,664","4,53,634","5,030","4,079",0,"4,825","14,744","75,452","11,27,535","16,035","1,18,358","1,14,294",0,0,"3,930","9,011","1,185",188,0,0,"3,592",0,924,"2,353","70,001",16,"32,017",2,0,0,213,9,0,"1,000","62,496","18,247",0,14,0,50,0,"1,566",0,0,0,50,0,0,0,0,0,0,0,0,0,0,"9,92,10,298",
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,07,825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,07,825",
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"5,90,808",0,0,0,0,0,0,0,0,0,0,"63,677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,54,485",
2.4. Valores representativos de deuda ..........................................................................................................,"1,53,21,940","1,33,21,310","5,74,172",115,"90,741","14,45,293","77,815",0,0,0,0,0,"1,888",0,"2,255",0,0,0,0,0,0,0,0,"9,89,749",0,"2,293","13,175",0,0,0,0,0,0,0,0,0,0,0,0,"60,876",0,"16,303",0,0,0,0,0,0,0,"55,902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,19,73,827",
2.5. Otros instrumentos de capital ..........................................................................................................,"99,26,661","47,00,712","22,45,315",0,"4,43,341","1,35,473","4,964",0,0,0,0,0,0,"8,270","9,142",0,0,0,0,0,0,0,0,"29,104",0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,"9,111",0,"13,916",0,0,0,213,0,0,0,"3,287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,75,29,569",
2.6. Derivados de negociación ......................................................................................................................................................................,"1,38,89,476","2,85,66,680","33,37,330","2,82,903","7,36,041","1,38,464","68,773","43,245","9,120","66,816","1,00,160","52,071","4,35,521","5,041","27,251","3,46,664","4,53,634","5,030","4,079",0,"4,825","14,744","75,452","1,08,682","16,035","8,240","1,01,059",0,0,"3,930","9,011","1,185",188,0,0,"3,592",0,924,"2,353",14,16,"1,798",2,0,0,0,9,0,"1,000","3,307","18,247",0,14,0,50,0,"1,566",0,0,0,50,0,0,0,0,0,0,0,0,0,0,"4,89,44,592",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"36,40,562","50,88,564","4,31,004",0,"61,811","4,53,315",0,0,0,0,0,0,0,0,"2,126",0,0,0,0,0,0,0,0,"6,31,694",0,"88,283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,985",0,0,0,0,0,0,0,"4,387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,04,06,731",
