Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,CACEIS BANK ESPAÑA,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"32,64,155","22,81,878","4,18,008","10,09,069","8,84,539","5,39,178","8,46,579","3,68,024","1,23,219",0,"87,694","2,23,373","1,65,346","1,88,800","99,208","1,40,470","41,767","1,71,407","76,324","62,694","6,807","33,131","56,921","58,166","23,874","11,06,853","8,482","41,851","2,053","22,771","53,694","22,065","33,982",1,"2,956","19,501","6,463","13,966",72,"15,591","7,742","6,137","6,241","7,086","26,096","32,527","3,996","2,671","3,412","5,520",10,105,"5,322","1,098","24,941",36,"1,639",159,147,0,698,292,37,28,846,37,6,0,36,"1,922",0,0,"1,26,59,719"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,58,99,495","3,56,57,947","56,21,396","26,26,316","1,35,045","27,50,282","85,682","71,615","1,815","3,93,902","58,781","30,243","4,03,922","1,516","4,78,223","10,986","1,041","1,53,450",0,"1,541","43,263","1,15,963",742,"9,516",0,"14,95,434","5,55,022","6,612",0,"49,019","3,778",295,172,0,2,"3,709","3,143",580,0,"56,185",363,"2,220",0,891,137,0,"19,482",0,0,"43,005",0,0,15,108,"2,864",0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,"8,67,95,761"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,47,295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,47,295"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"9,53,661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,53,661"
2.4. Valores representativos de deuda ..........................................................................................................,"1,41,91,843","1,16,91,878","13,34,777","86,670","1,646","25,03,479","30,116","51,294",0,0,0,0,"4,986",0,0,0,0,"1,12,984",0,0,0,"7,652",0,0,0,"13,42,012","1,320",0,0,0,0,0,0,0,0,0,"1,874",0,0,"42,604",0,0,0,0,0,0,"16,127",0,0,"29,064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,14,50,326"
2.5. Otros instrumentos de capital ..........................................................................................................,"98,83,555","29,50,087","15,75,693","20,69,244",0,"1,08,664","8,475",0,0,0,0,0,0,0,0,"8,682",0,"15,856",0,0,0,0,0,0,0,"30,437",15,0,0,0,0,0,0,0,0,0,0,0,0,"11,317",0,0,0,0,137,0,"1,651",0,0,"13,941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,66,77,754"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,18,24,097","2,00,62,321","27,10,926","4,70,402","1,33,399","1,38,139","47,091","20,321","1,815","3,93,902","58,781","30,243","3,98,936","1,516","4,78,223","2,304","1,041","24,610",0,"1,541","43,263","1,08,311",742,"9,516",0,"1,22,985","6,392","6,612",0,"49,019","3,778",295,172,0,2,"3,709","1,269",580,0,"2,264",363,"2,220",0,891,0,0,"1,704",0,0,0,0,0,15,108,"2,864",0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,"3,71,66,725"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"53,94,699","16,71,563","8,00,621","55,374",0,"20,76,427",0,0,0,0,0,0,0,0,0,0,0,"1,12,962",0,0,0,0,0,0,0,"11,22,174","5,24,592",0,0,0,0,0,0,0,0,0,0,0,0,"28,503",0,0,0,0,0,0,"8,172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,17,95,087"
