Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,exelbank,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,MICROBANK DE LA CAIXA,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"1,22,15,927","1,23,06,554","14,12,860","11,86,821","14,68,541","9,46,486","10,31,597","7,04,384","56,523","42,778","1,68,119","1,00,073","1,48,111","1,64,642","2,47,473",0,"84,236","75,868","67,446","83,049","48,380","49,962","40,433","26,30,639","41,971","57,273","43,028","9,683","23,338","56,110","22,649","34,020","25,027",1,109,"16,356","6,281","19,847","7,223","9,890","7,448","14,035",0,"11,833","35,209","43,195","4,389","5,803","5,500","1,319","28,937",7,"6,236",99,"1,029",20,91,131,"3,481",0,"1,226",949,224,42,512,20,42,0,20,0,0,"3,58,25,505",
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,11,79,819","5,13,49,204","55,17,853","2,77,184","14,13,148","16,67,871","1,37,602","60,220","9,613","95,449","1,07,468","57,377","6,54,635","14,938","26,906","4,64,420","4,81,541","3,999","4,956",0,"6,036","2,415","1,17,871","14,19,558","26,833","1,17,064","1,02,371",0,0,"2,832","27,191","1,268",182,0,0,"2,692",0,522,"2,413","37,719",0,"28,586",0,0,0,236,8,0,"1,037","61,145","15,990",0,4,0,18,0,0,0,0,0,164,"5,042",0,0,0,0,0,0,0,0,0,"10,55,03,400",
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,08,073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,08,073",
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"1,98,043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,98,043",
2.4. Valores representativos de deuda ..........................................................................................................,"1,70,06,407","1,41,35,473","7,81,542",124,"75,680","14,30,910","77,311",5,0,0,0,0,"1,375",0,"3,048",0,0,0,0,0,0,0,0,"12,62,791",0,564,"4,321",0,0,0,0,0,0,0,0,0,0,0,0,"30,518",0,"15,398",0,0,0,0,0,0,0,"55,536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,48,81,003",
2.5. Otros instrumentos de capital ..........................................................................................................,"90,36,651","37,04,484","16,36,069",0,"5,82,366","75,161","5,650",0,0,0,0,0,0,"6,537",373,0,0,0,0,0,0,0,0,"28,831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,201",0,"11,308",0,0,0,236,0,0,0,"2,549",0,0,0,0,0,0,0,0,0,0,0,"5,042",0,0,0,0,0,0,0,0,0,"1,51,02,458",
2.6. Derivados de negociación ......................................................................................................................................................................,"1,51,36,761","3,33,11,204","31,00,242","2,77,060","7,55,102","1,61,800","54,641","60,215","9,613","95,449","1,07,468","57,377","6,53,260","8,401","23,485","4,64,420","4,81,541","3,999","4,956",0,"6,036","2,415","1,17,871","1,27,936","26,833","8,427","98,050",0,0,"2,832","27,191","1,268",182,0,0,"2,692",0,522,"2,413",0,0,"1,880",0,0,0,0,8,0,"1,037","3,060","15,990",0,4,0,18,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,"5,52,13,823",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"59,18,667","77,93,215","6,11,464",0,"30,039","8,85,959",0,0,0,0,0,0,0,0,"1,512",0,0,0,0,0,0,0,0,"8,55,740",0,"96,689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,981",0,0,0,0,0,0,0,"35,708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,62,34,974",
