Var,0182,0049,0030,0081,0075,0128,0065,0072,0093,0224,0004,0042,0019,0061,1004,0038,0036,0129,0073,0046,0086,0223,0231,0198,0094,0130,0057,0122,0185,0227,0233,0216,0009,0138,0059,0078,0232,0186,0142,0226,0099,0229,0031,0217,0125,0003,0063,0220,0211,0225,0058,0136,0113,0188,0184,0011,0133,0200,0205,0219,0132,0115,0121,0091,0083,0234,,,,0151,1460
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,BANCO GALLEGO,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO CAIXA GERAL,BANCO DEPOSITARIO BBVA ,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCO POPULAR HIPOTECARIO ,"FINANZIA, BANCO DE CRÉDITO ",BANKOA ,BANCO DE MADRID ,BANCA PUEYO,BANCO INVERSIS,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,UBS BANK,ALTAE BANCO,BANCOPOPULAR-E,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,BANCOFAR ,BANCO DE DEPÓSITOS,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,EBN BANCO DE NEGOCIOS,BANCO CETELEM,BNP PARIBAS ESPAÑA ,ARESBANK ,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,BANCO CAMINOS,TOTAL BANCOS,,ACTIVO,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,CREDIT SUISSE
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"26,87,088","1,85,54,099","16,88,142","23,17,212","14,72,256","3,82,133","9,29,107","4,79,345","76,477","1,04,389","1,62,970","3,07,309","9,49,577","1,94,822","2,16,651",0,"59,570","1,15,839","88,765","65,659","57,455","10,926","5,314","7,51,468","13,092","54,240",0,"59,290","26,867","19,110","11,978",107,48,"38,222","8,960","24,910","10,179","6,187","29,451","14,949","17,718","3,459","35,211","40,800","10,128","5,726",106,840,"1,437",5,"3,656","3,73,687",0,630,4,33,0,"1,130",31,981,0,0,0,0,0,"13,767","3,25,03,512",,1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"28,797","10,758"
2. CARTERA DE NEGOCIACIÓN  ,"5,99,87,385","7,96,41,722","56,77,349","12,31,296","20,44,115","22,28,144","1,09,930","5,14,313","74,698","1,68,190","3,33,165","7,81,653","4,98,449","13,868","1,04,439","1,14,868","2,725","3,97,621",405,"1,825","1,12,306",0,"95,012","18,47,432","1,54,746",0,0,"1,357","75,642",19,"2,751",0,0,"1,329",352,46,"38,024",260,"2,050","19,928",0,20,"1,231",0,415,0,0,37,"26,373",0,23,0,0,0,0,65,0,429,0,479,0,0,0,0,0,44,"15,63,06,530",,2. CARTERA DE NEGOCIACIÓN  ,0,"1,56,985"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,53,588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,53,588",,2. 1. Depósitos en entidades de crédito  ,0,0
2. 2. Crédito a la clientela ,0,"44,104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,104",,2. 2. Crédito a la clientela ,0,0
2. 3. Valores representativos de deuda  ,"1,49,53,175","1,73,36,519","4,02,154",60,"40,655","15,16,905",466,"4,19,996",0,0,0,"6,12,812","6,105",0,0,0,0,0,0,0,855,0,0,"16,56,462",286,0,0,0,0,0,0,0,0,0,0,0,"27,864",0,"1,160",0,0,0,"1,021",0,0,0,0,0,"3,217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,69,79,712",,2. 3. Valores representativos de deuda  ,0,4
2. 4.  Instrumentos de capital  ,"56,05,264","26,49,398","4,72,996",0,"3,57,304","43,556",0,"1,564",0,0,0,202,0,0,0,0,0,0,405,0,0,0,0,"11,412",0,0,0,0,0,0,0,0,0,0,0,0,"10,160",0,0,0,0,0,34,0,0,0,0,0,102,0,0,0,0,0,0,0,0,429,0,479,0,0,0,0,0,0,"91,53,305",,2. 4.  Instrumentos de capital  ,0,0
2. 5. Derivados de negociación ,"3,94,28,946","5,96,11,701","48,02,199","12,31,236","16,46,156","6,67,683","1,09,464","92,753","74,698","1,68,190","3,33,165","1,68,639","4,92,344","13,868","1,04,439","1,14,868","2,725","3,97,621",0,"1,825","1,11,451",0,"95,012","1,79,558",872,0,0,"1,357","75,642",19,"2,751",0,0,"1,329",352,46,0,260,890,"19,928",0,20,176,0,415,0,0,37,"23,054",0,23,0,0,0,0,65,0,0,0,0,0,0,0,0,0,44,"10,99,75,821",,2. 5. Derivados de negociación ,0,"1,56,981"
Pro-memoria: Prestados o en garantía  ,"50,11,606","70,62,440","3,69,505",0,0,"10,36,226",0,"53,000",0,0,0,"4,87,252",0,0,0,0,0,0,0,0,0,0,0,"11,33,696","1,41,555",0,0,0,0,0,0,0,0,0,0,0,"2,092",0,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,52,98,070",,Pro-memoria: Prestados o en garantía  ,0,0
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,0,"98,03,415",0,0,646,"9,186",0,"9,86,539",0,0,0,"1,89,474",0,0,0,0,0,0,0,"9,677",0,0,0,0,0,0,0,0,0,0,"7,082",0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"12,755","1,10,19,184",,3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,0,0
3. 1. Depósitos en entidades de crédito  ,0,"89,51,396",0,0,0,0,0,0,0,0,0,"1,89,474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"91,40,870",,3. 1. Depósitos en entidades de crédito  ,0,0
3. 2. Crédito a la clientela  ,0,"8,52,019",0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,52,665",,3. 2. Crédito a la clientela  ,0,0
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"9,77,234",0,0,0,0,0,0,0,0,0,0,0,"9,677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,755","10,00,074",,3. 3. Valores representativos de deuda ,0,0
3. 4. Instrumentos de capital  ,0,0,0,0,0,"9,186",0,"9,305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"25,575",,3. 4. Instrumentos de capital  ,0,0
Pro-memoria: Prestados o en garantía  ,0,"54,00,809",0,0,0,0,0,"7,68,000",0,0,0,"1,89,474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"63,58,283",,Pro-memoria: Prestados o en garantía  ,0,0
