Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0115,0121,0091,0083,1490,,,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANESTO BANCO DE EMISIONES ,DEUTSCHE BANK S.A.E.,BANCO GUIPUZCOANO,BANCA MARCH,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,DEXIA SABADELL,BANCO BANIF,BANCO GALLEGO,GENERAL ELECTRIC CAPITAL BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO CAIXA GERAL,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO URQUIJO SABADELL BANCA PRIVADA ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,ALTAE BANCO,UNO-E BANK,BANCO POPULAR HIPOTECARIO ,BANKOA ,BANCO CAMINOS,BANCO DEPOSITARIO BBVA ,BANCO INVERSIS,BANCA PUEYO,"FINANZIA, BANCO DE CRÉDITO ",BANCO DE MADRID ,BANCOPOPULAR-E,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCOFAR ,BANCO ETCHEVERRÍA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO HALIFAX HISPANIA,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO CETELEM,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,SELF TRADE BANK,TOTAL BANCOS,,ACTIVO
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"66,26,871","32,85,616","16,83,840","35,18,185","17,28,035","5,05,260","5,74,460","4,57,887","1,00,093","1,04,428",0,"1,22,590","1,83,426","1,76,751","46,872","28,601","80,438","13,664","46,060","70,506",948,"11,47,070","32,320","10,817","22,914","65,517","13,366","20,875","19,847",281,"53,218","13,184",0,"11,043","22,595",131,"5,706","6,877","6,501","15,054","28,384","8,380","44,756","6,615",106,"5,412","44,700","6,917","1,154","8,539",4,0,139,"1,333",184,0,"1,256","2,892",0,0,0,0,0,"1,031","2,09,83,649",,1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES
2. CARTERA DE NEGOCIACIÓN  ,"5,72,62,359","5,75,32,113","73,80,918","19,46,314","11,55,818","35,84,841","53,458","24,09,134","99,352","1,52,320","54,314","2,23,611","2,85,182","15,436",0,"2,93,545",509,"86,374","61,259","2,914",0,"29,16,359",0,327,"40,894",68,498,0,0,0,"1,598",140,0,"34,497",334,0,449,31,"80,397","1,948",614,0,78,271,0,0,0,"29,359",4,1,0,0,0,0,50,0,0,"1,120",0,0,0,0,0,0,"13,57,08,808",,2. CARTERA DE NEGOCIACIÓN  
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2. 1. Depósitos en entidades de crédito  
2. 2. Crédito a la clientela ,"98,835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98,835",,2. 2. Crédito a la clientela 
2. 3. Valores representativos de deuda  ,"2,13,01,379","2,28,32,579","10,26,935","21,201",18,"28,52,908",103,"23,22,817",0,0,0,"1,532","1,75,912",0,0,0,0,0,51,0,0,"25,68,093",0,4,0,0,0,0,0,0,0,0,0,"30,011",0,0,0,0,"46,209",0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,31,80,238",,2. 3. Valores representativos de deuda  
2. 4.  Instrumentos de capital  ,"33,01,250","49,96,586","14,56,905","4,93,670",0,"1,10,335",0,"2,109",0,0,0,0,0,0,0,0,509,0,0,107,0,"11,337",0,0,0,0,0,0,0,0,0,0,0,"4,486",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,120",0,0,0,0,0,0,"1,03,78,416",,2. 4.  Instrumentos de capital  
2. 5. Derivados de negociación ,"3,25,60,895","2,97,02,948","48,97,078","14,31,443","11,55,800","6,21,598","53,355","84,208","99,352","1,52,320","54,314","2,22,079","1,09,270","15,436",0,"2,93,545",0,"86,374","61,208","2,807",0,"3,36,929",0,323,"40,894",68,498,0,0,0,"1,598",140,0,0,334,0,449,31,"34,186","1,948",128,0,78,271,0,0,0,"29,359",4,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,"7,20,51,319",,2. 5. Derivados de negociación 
Pro-memoria: Prestados o en garantía  ,"34,08,273","1,26,65,491","9,97,310","21,201",0,"19,69,926",0,"30,454",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,58,434",0,0,0,0,0,0,0,0,0,0,0,"2,081",0,0,0,0,"44,875",0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,97,98,178",,Pro-memoria: Prestados o en garantía  
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,04,17,004",0,0,0,0,"16,361",0,"9,05,471",0,0,0,0,0,0,0,0,0,0,0,"1,565",0,0,0,0,0,0,"5,500",0,0,0,0,"18,130",0,"1,146",0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,"2,13,65,507",,3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS
