Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0229,0129,0059,0186,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0200,0219,0132,0235,0121,0091,0083,0133,0099,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO GALLEGO,BANCO BANIF,BANCO CAIXA GERAL,GENERAL ELECTRIC CAPITAL BANK,TARGOBANK,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANCO DEPOSITARIO BBVA ,BANCA PUEYO,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO CAMINOS,BANCOFAR ,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BBVA BANCO DE FINANCIACIÓN,BANCO DE MADRID ,"BANCO DE FINANZAS E INVERSIONES, (BANCO MEDIOLANUM)",BANCO DE DEPÓSITOS,BANCO CETELEM,EBN BANCO DE NEGOCIOS,BNP PARIBAS ESPAÑA ,ARESBANK ,UBS BANK,BANCO INDUSTRIAL DE BILBAO ,BANCO EUROPEO DE FINANZAS,SELF TRADE BANK,BANCO FINANTIA SOFINLOC ,ALLFUNDS BANK,BANCO ALCALÁ ,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO PICHINCHA ESPAÑA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,NUEVO MICRO BANK,BANKIA BANCA PRIVADA,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,93,47,201","1,36,29,418","3,29,806","46,33,792","9,20,019","4,12,791","4,32,185","7,52,384","1,34,886","40,936","1,97,383","51,172","74,974",0,"67,706","15,51,888","42,450","4,06,374","57,159","39,282","37,397","2,040","39,248","48,595","11,268","3,410","41,460",0,"26,158","9,424","27,743","10,322","39,721","6,496","11,160","57,157","7,703","55,781","19,263","55,958","5,595",3,"3,002","4,505","7,691","16,549",0,549,"1,782","2,280",931,261,"1,338","2,040",0,"1,590",0,0,0,0,"12,659","4,36,92,885"
2. CARTERA DE NEGOCIACIÓN  ,"9,13,29,551","5,65,38,069","11,81,934","80,16,713","16,64,461","24,15,506","1,77,409","31,412","1,12,895","38,758","99,958","38,225","1,88,520","87,583",0,"13,16,351",0,"1,41,051","3,646","17,867",0,0,"8,840",0,"2,562",813,"1,499",0,258,"8,753","1,183",0,"3,022","59,332",0,3,0,"2,61,311","10,601",587,0,0,"23,375","61,264",0,"2,949",0,0,0,0,107,0,47,0,0,0,0,0,0,0,0,"16,38,46,415"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 2. Crédito a la clientela ,"51,552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,552"
2. 3. Valores representativos de deuda  ,"2,24,53,572","78,98,402","13,175","3,34,850","2,05,200","17,68,879","5,102",398,"7,610",0,0,0,"1,825",0,0,"9,93,626",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"57,363",0,0,0,0,"10,205",0,0,0,"1,348",0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,"3,37,51,604"
2. 4.  Instrumentos de capital  ,"17,33,145","9,96,790","18,152","12,90,142",0,"1,01,733",156,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,"2,562",0,0,0,0,0,996,0,0,"1,969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,45,880"
2. 5. Derivados de negociación ,"6,70,91,282","4,76,42,877","11,50,607","63,91,721","14,59,261","5,44,894","1,72,151","31,014","1,05,285","38,758","99,958","38,225","1,86,695","87,583",0,"3,22,490",0,"1,41,051","3,646","17,867",0,0,"8,840",0,0,811,"1,499",0,258,"8,753",187,0,"3,022",0,0,3,0,"2,61,311",396,587,0,0,"22,027","61,264",0,"2,949",0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,"12,58,97,379"
Pro-memoria: Prestados o en garantía  ,"70,71,076","49,87,965",0,"1,82,503",0,"17,68,879",0,0,0,0,0,0,0,0,0,"2,09,281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,42,21,762"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"1,51,28,480",0,0,0,0,"31,377","1,86,746",0,0,0,0,0,0,0,0,0,0,0,"1,547",0,0,0,0,0,"4,930",0,0,0,0,0,"16,559",0,0,"1,253",0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,53,71,867"
