Var,0049,0182,0075,0030,0081,0128,0065,0093,0224,0061,0019,0198,0129,0073,0038,0231,0036,0046,0130,0086,0216,0223,0122,0233,0094,0138,0099,0057,0234,0078,0229,0236,0232,0227,0031,0125,0186,0211,0059,0225,0003,0226,0058,0113,0136,0011,0220,1490,0133,0188,0184,0200,0219,0235,0132,0121,0091,0083,2107,0238,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANCO COOPERATIVO ESPAÑOL ,BBVA BANCO DE FINANCIACIÓN,OPEN BANK,BANESTO BANCO DE EMISIONES ,DEXIA SABADELL,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,TARGOBANK,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC INVESTOR SERVICES ESPAÑA,BANKOA ,BANKIA BANCA PRIVADA,BANCO DEPOSITARIO BBVA ,BANCO CAMINOS,BANCA PUEYO,BANCOPOPULAR-E,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNOE BANK,BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,BANCO CETELEM,BANCO DE DEPÓSITOS,UBS BANK,BNP PARIBAS ESPAÑA ,BANCO INDUSTRIAL DE BILBAO ,ARESBANK ,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,SELF TRADE BANK,NUEVO MICRO BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO PICHINCHA ESPAÑA,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,UNNIM BANC,BANCO POPULAR PASTOR,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"4,13,51,141","1,10,78,866","13,80,609","69,85,383","13,15,628","6,65,364","4,45,652","98,217","9,050","8,01,350","2,46,092","1,37,666","86,534","46,775",0,"6,984","21,289","1,62,061","69,767","26,327","14,302",82,"8,591","3,072","8,431","1,41,966","6,348",0,"60,266","15,066","4,276","9,179","4,203","5,185","1,44,373","5,030","9,965","1,455","3,731",3,"1,764","9,288","2,792",0,"1,025","1,115","1,799","1,597",1,"1,148",4,639,"1,809","2,250",0,0,0,"2,022","1,57,006",0,"6,55,64,538"
2. CARTERA DE NEGOCIACIÓN  ,"9,55,55,880","6,37,70,671","19,63,249","85,29,198","19,61,521","21,09,264","28,711","92,918","20,349","1,35,587","1,67,474","23,21,254","1,68,353",0,0,"1,68,296",0,"5,006",0,"23,485","6,608",0,0,"1,099",271,770,"63,670",0,"1,375",97,0,563,"33,534",0,0,0,0,"26,069",266,0,0,341,"70,013",0,0,125,25,0,0,0,0,48,0,0,0,0,2,610,"4,330",0,"17,72,31,032"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
2. 2. Crédito a la clientela ,"13,623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,623"
2. 3. Valores representativos de deuda  ,"2,15,28,717","1,24,36,691",850,"2,33,624","3,00,626","13,91,681","1,289","2,578",0,0,"1,493","19,02,420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,"32,631",0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,108,0,0,"3,78,33,316"
2. 4.  Instrumentos de capital  ,"24,55,302","21,99,308","1,56,217","12,06,620",0,"61,072",0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,0,0,0,903,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,80,682"
2. 5. Derivados de negociación ,"7,15,58,238","4,91,34,672","18,06,182","70,88,954","16,60,895","6,56,511","27,422","90,340","20,349","1,35,587","1,65,981","4,18,597","1,68,353",0,0,"1,68,296",0,"5,006",0,"23,485","6,608",0,0,"1,099",271,770,"63,670",0,219,97,0,563,0,0,0,0,0,"25,643",266,0,0,341,"70,013",0,0,125,25,0,0,0,0,0,0,0,0,0,0,502,"4,330",0,"13,33,03,410"
Pro-memoria: Prestados o en garantía  ,"1,22,55,178","73,77,893",0,"1,28,401",0,"13,91,681",0,0,0,0,0,"17,08,689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,037",0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,28,64,219"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"1,76,73,423",0,0,0,0,"39,860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,142",0,0,0,0,"13,908",0,0,0,0,0,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,77,33,279"
