Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0079,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO INVERSIÓN (*),BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"18,20,672","49,51,627","2,91,939","4,70,957","7,56,398","2,27,436","1,53,074",0,"3,53,905","2,335","90,695","59,508","1,57,880","75,709","2,51,781","33,289","66,233","1,06,850","57,575","66,427","6,958","47,578","6,34,264","39,647","53,969","36,559","36,504","13,839","1,434",1,"3,340","99,317","6,326","33,543","16,776",159,"8,960","13,798","15,933","6,635",647,"9,883","7,163","2,682","9,686","5,430","18,401","2,196","1,473",102,,"5,379",683,27,14,"8,527","1,411",247,926,352,941,1,658,446,296,250,276,615,27,404,0,0,26,1,0,"1,11,49,000"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,08,52,489","1,27,59,938","54,31,311","88,207","21,69,484","25,70,220","15,717","2,55,208","59,624","38,457",0,"2,60,515","16,927","1,20,322",139,0,"1,05,036",185,0,"1,033","32,684","3,465","10,89,111",0,834,"1,38,473",571,"1,028",0,0,0,"3,097","12,545",833,501,0,637,"2,66,000",0,262,0,0,0,0,102,0,"10,519",1,0,0,,20,"9,523",0,0,"1,11,633",682,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,64,27,464"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,519",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,519"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,73,46,310","53,01,180","31,64,036","1,189","96,202","22,27,580",892,0,"43,655",0,0,"2,082",0,0,0,0,"56,754",0,0,0,0,0,"9,62,447",0,0,"1,29,179",0,0,0,0,0,0,"10,503",0,0,0,636,"2,65,395",0,0,0,0,0,0,0,0,0,0,0,0,,0,"8,346",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,96,16,407"
2.5. Otros instrumentos de capital ..........................................................................................................,"38,61,074","26,78,087","7,55,027",0,"16,01,369","1,28,441",440,0,0,0,0,0,0,0,0,0,"22,076",0,0,0,0,0,"20,216",0,0,5,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,0,"1,032",0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"90,68,516"
2.6. Derivados de negociación ......................................................................................................................................................................,"96,45,105","47,80,671","15,12,248","87,018","4,71,913","2,14,199","14,385","2,55,208","15,969","38,457",0,"2,58,433","16,927","1,20,322",139,0,"26,206",185,0,"1,033","32,684","3,465","1,06,448",0,834,"9,289",571,"1,028",0,0,0,"3,097","1,503",833,501,0,1,605,0,262,0,0,0,0,2,0,0,1,0,0,,20,145,0,0,"1,11,633",682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,77,32,022"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"85,12,296","48,30,314","29,13,844",0,"61,644","24,41,709",0,0,0,0,0,0,0,0,0,0,"56,489",0,0,0,0,0,"5,73,249",0,0,"1,26,615",0,0,0,0,0,"1,000",0,0,0,0,0,"2,21,172",0,0,0,0,0,0,0,0,0,0,0,0,,0,"3,658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,97,41,990"
