Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO SIMEON,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"37,79,796","43,74,879","3,65,084","6,48,008","5,06,402","2,13,872","1,64,412","3,08,278","1,00,412",0,"73,643","1,10,555","95,825","1,40,817","94,763","1,25,875","68,992","71,759","66,785","49,884","1,749",853,"42,476","28,788","25,500","2,66,165","13,235","26,440",203,"24,584","14,126","40,932","21,709","24,943",1,"4,143","11,633","5,275","14,154",123,"15,104","6,115","3,947","5,790","4,451","10,853","25,033",983,"2,978","1,779","3,770",23,143,"6,479",778,"13,103",10,"2,491",162,193,1,704,280,296,2,306,11,8,0,10,"1,410",1,0,"1,20,34,287"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"2,85,93,462","2,59,18,084","45,77,571","15,56,028","77,399","43,39,463","57,593","68,083",200,"1,98,548","35,233","30,333","2,09,496",119,"4,61,968","7,574","2,590","6,56,918",0,547,0,"70,047",771,"4,339",0,"15,81,331","11,022",47,"16,756","16,048","27,550","9,069",211,68,0,73,"40,376","2,951",155,0,"37,030",9,"1,025",0,0,110,"19,326","16,706",1,0,"6,339",0,0,692,41,"5,746",0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,"6,86,59,089"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,080"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,09,59,726","87,25,132","11,53,060","84,685",622,"39,86,628","36,825","37,453",0,0,0,0,"2,696",0,0,0,0,"5,95,495",0,0,0,"5,433",0,0,0,"14,33,447","4,549",0,0,"11,096",0,0,0,0,0,0,0,"2,943",0,0,"27,827",0,0,0,0,0,0,"15,622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,70,83,239"
2.5. Otros instrumentos de capital ..........................................................................................................,"58,17,225","30,01,111","14,46,020","11,43,464",0,"2,21,784","3,565",0,0,0,0,0,0,0,0,"6,676",0,"23,542",0,0,0,0,0,0,0,"27,919",197,0,2,0,0,0,0,0,0,0,0,0,0,0,"7,391",0,0,0,0,110,0,704,0,0,"6,339",0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,17,06,631"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,18,16,511","1,41,91,841","19,78,491","3,27,879","76,777","1,31,051","17,203","30,630",200,"1,98,548","35,233","30,333","2,06,800",119,"4,61,968",898,"2,590","37,881",0,547,0,"64,614",771,"4,339",0,"1,19,965","6,276",47,0,"4,952","27,550","9,069",211,68,0,73,"40,376",8,155,0,"1,812",9,"1,025",0,0,0,0,380,1,0,0,0,0,110,41,"5,746",0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,"2,98,33,139"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"78,06,992","66,65,811","7,20,074","3,47,867",0,"36,77,505",0,0,0,0,0,0,0,0,0,0,0,"5,98,007",0,0,0,0,0,0,0,"11,84,844",0,0,0,"5,852",0,0,0,0,0,0,0,0,0,0,"17,721",0,0,0,0,0,0,"11,967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,10,36,640"
