Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0131,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO ESPIRITO SANTO ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS ESPAÑA,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,BANCO DE EUROPA ,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"87,37,505","23,22,316","3,42,260","6,91,427","6,05,558","3,53,892","3,54,748","2,45,171","1,33,517","41,176","1,56,913","2,225","64,222","1,59,327","1,22,938",0,"94,170","53,698","61,082","74,313","47,607","57,242","4,172","79,170","38,297","4,705","51,659","2,836","44,299","85,202",22562,"18,498","28,761","22,236",1,52,"14,099","8,180","18,665","5,976","7,589","6,925","15,643","1,540","6,244","31,359","5,831","2,891","5,478","4,847","3,267","18,054",9,"7,331",141,"1,148",34,23,217,770,0,10,551,286,40,370,34,9,0,33,0,0,"1,52,91,351"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,61,25,670","3,91,80,958","77,34,908","1,68,858","19,41,899","36,05,438","70,782","82,834","2,846","82,283","3,266","41,230","4,17,912","11,452","1,48,885","4,10,624","4,43,727","2,963","3,164",0,"2,222","11,220","1,20,780","15,57,413","4,065","1,48,826","97,064",0,0,"3,687",24242,"4,904",592,309,0,0,"13,142",0,678,"2,140","29,581",270,"54,910",2,0,0,199,0,0,873,"27,537","7,723","28,18,017",5,0,13,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,"9,54,10,286"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,42,053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,64,537"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"4,75,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,95,533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,70,700"
2.4. Valores representativos de deuda ..........................................................................................................,"1,53,64,464","1,12,60,834","29,86,100","21,367","88,204","30,98,964","17,772","22,445",0,0,0,0,"1,679",0,"1,02,735",0,0,0,0,0,0,0,0,"13,91,364",0,950,"7,813",0,0,0,0,"3,888",0,0,0,0,"9,783",0,0,0,"22,281",0,"39,783",0,0,0,0,0,0,0,"21,525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,44,61,951"
2.5. Otros instrumentos de capital ..........................................................................................................,"85,54,155","42,04,919","19,60,985",0,"13,86,954","3,50,469","8,765",0,0,0,0,0,0,"8,968","19,116",0,0,0,0,0,0,0,0,"32,016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,300",0,"13,202",0,0,0,199,0,0,0,"3,901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,65,50,949"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,22,07,051","2,32,40,038","27,87,823","1,47,491","4,66,741","1,56,005","44,245","60,389","2,846","82,283","3,266","41,230","4,16,233","2,484","27,034","4,10,624","4,43,727","2,963","3,164",0,"2,222","11,220","1,20,780","1,34,033","4,065","5,823","89,251",0,0,"3,687",24242,"1,016",592,309,0,0,"3,359",0,678,"2,140",0,270,"1,925",2,0,0,0,0,0,873,"2,111","7,723",0,5,0,13,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,"4,09,62,149"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"57,61,780","36,85,204","24,39,645",0,"58,132","26,21,288",0,0,0,0,0,0,0,0,"1,02,404",0,0,0,0,0,0,0,0,"7,44,255",0,"1,27,448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,830",0,0,0,0,0,0,0,"11,134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,55,67,120"
