Var,0182,0049,0030,0081,0075,0128,0065,0072,0093,0224,0004,0042,0019,0061,1004,0038,0036,0129,0073,0082,0097,0046,0086,0223,0231,0095,0198,0094,0130,0057,0122,0024,0185,0227,0233,0216,0009,0138,0059,0078,0232,0186,0142,0226,0099,0229,0031,0217,0125,0003,0063,0220,0211,0225,0058,0136,0113,0188,0184,0011,0133,0200,0021,0205,0219,0132,0115,0121,0091,0083,0234
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO DE GALICIA,BANCO GALLEGO,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,DEXIA SABADELL,BANCO DE VASCONIA ,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO CAIXA GERAL,BANCO DEPOSITARIO BBVA ,CITIBANK ESPAÑA ,BANCO DE CRÉDITO BALEAR,BANCO URQUIJO SABADELL BANCA PRIVADA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCO POPULAR HIPOTECARIO ,"FINANZIA, BANCO DE CRÉDITO ",BANKOA ,BANCO DE MADRID ,BANCA PUEYO,BANCO INVERSIS,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,UBS BANK,ALTAE BANCO,BANCOPOPULAR-E,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,BANCOFAR ,BANCO DE DEPÓSITOS,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,EBN BANCO DE NEGOCIOS,BANCO CETELEM,BNP PARIBAS ESPAÑA ,ARESBANK ,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,BANCO CAMINOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"34,61,750","30,39,755","10,32,170","9,21,527","7,50,257","4,88,108","3,32,937","3,66,411","95,599","1,14,207","1,68,425","1,61,751","1,37,060","1,85,282","1,00,006",0,"80,200","68,613","81,880","55,904","44,767","37,298","37,461","11,095","6,116","36,937","4,32,651","6,145","29,788",0,"55,225","33,605","26,618","23,093","7,457",84,88,"18,024","8,360","16,968","8,335","8,502","28,622","23,226","14,827","3,146","6,415","43,966","6,901","5,820",106,972,"1,366",9,"4,213","16,051",0,56,7,12,0,854,320,39,513,0,0,0,0,0,"3,030"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,20,70,707","6,63,85,212","52,43,843","3,34,641","14,25,396","24,40,915","1,05,500","1,90,842","15,275","2,05,168","1,82,283","67,008","6,86,369","15,122","60,167","2,80,399","8,844","3,66,841",0,"9,504","11,790","1,584","1,40,604",0,"1,33,388","36,730","11,90,126","1,98,411",0,0,"2,491","2,194","20,212",52,232,0,310,"2,817","1,020",130,"29,157",13,"23,836","36,287",0,16,163,0,887,0,0,42,"57,369",0,11,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,108
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,89,793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"88,451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,63,12,566","2,68,79,003","5,38,419",59,"76,969","20,45,487",0,"1,14,301",0,0,0,"28,891","2,459",0,0,0,0,0,0,0,0,0,"5,363",0,0,0,"10,52,733",454,0,0,0,0,0,0,0,0,0,0,0,0,"25,716",0,"12,219",0,0,0,0,0,0,0,0,0,"50,839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
2.5. Otros instrumentos de capital ..........................................................................................................,"70,02,779","39,34,856","13,90,234",0,"4,72,682","1,38,968",0,"4,045",0,0,0,271,0,"6,456",0,0,0,0,0,0,0,0,0,0,0,0,"21,859",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,441",0,"10,081",0,0,0,163,0,0,0,0,0,"2,562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6. Derivados de negociación ......................................................................................................................................................................,"1,87,55,362","3,54,82,902","33,15,190","3,34,582","8,75,745","2,56,460","1,05,500","72,496","15,275","2,05,168","1,82,283","37,846","6,83,910","8,666","60,167","2,80,399","8,844","3,66,841",0,"9,504","11,790","1,584","1,35,241",0,"1,33,388","36,730","1,15,534","8,164",0,0,"2,491","2,194","20,212",52,232,0,310,"2,817","1,020",130,0,13,"1,536","36,287",0,16,0,0,887,0,0,42,"3,968",0,11,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía ..........................................................................................................,"94,94,475","1,55,51,063","4,91,923",0,"45,014","16,58,358",0,0,0,0,0,"27,029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,76,865","1,77,296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,494",0,0,0,0,0,0,0,0,0,"32,392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,"2,76,32,948",782,0,0,"20,940",0,"2,54,418",0,0,0,0,0,0,0,0,0,0,0,0,0,"19,269",0,2,0,0,0,0,0,0,0,0,0,0,"34,129",0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,248"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,"2,47,43,670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Crédito a la clientela ......................................................................................................................................................................,0,"28,89,278",782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,"2,34,410",0,0,0,0,0,0,0,0,0,0,0,0,0,"19,269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,248"
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"20,940",0,"20,008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"34,129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía ..........................................................................................................,0,"1,44,68,548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ..........................................................................................................,"1,70,40,481","1,14,89,354","98,74,595","55,93,281","65,48,850","60,15,336","13,50,194","10,21,762","9,84,944","15,355","1,51,856","1,11,214","6,23,972","1,44,446","26,32,915",0,836,61,0,"7,707","8,730","3,25,869","2,99,547",0,"35,10,889","11,888","10,34,788","13,943","4,307",0,"6,237","4,898","11,498","1,81,210","32,373","2,022",201,"1,02,344","9,750","85,080","49,050","63,734","71,847",0,"2,07,993","6,070","8,269",244,32,"1,319",8,1,"1,43,581",0,"3,717",0,"1,34,853","36,126","3,750",2,0,759,0,30,"1,000",0,0,0,0,0,"33,574"
4.1. Valores representativos de deuda ..........................................................................................................,"88,84,169","1,03,40,964","97,10,397","54,90,542","64,93,239","59,91,468","13,44,060","7,01,867","8,65,229","15,355","1,51,809","60,520","1,95,305","94,386","26,32,915",0,0,0,0,"7,628","8,404","2,94,397","46,971",0,"35,10,889","10,809","10,25,094","10,050","4,053",0,0,"4,851",7,"1,80,885","27,471","2,022",0,"1,01,846",0,"52,640","49,050","63,272","71,523",0,"2,07,979","6,070","2,883",0,0,0,0,0,"22,900",0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,"16,583"
4.2. Otros instrumentos de capital ..........................................................................................................,"81,56,312","11,48,390","1,64,198","1,02,739","55,611","23,868","6,134","3,19,895","1,19,715",0,47,"50,694","4,28,667","50,060",0,0,836,61,0,79,326,"31,472","2,52,576",0,0,"1,079","9,694","3,893",254,0,"6,237",47,"11,491",325,"4,902",0,201,498,"9,750","32,440",0,462,324,0,14,0,"5,386",244,32,"1,319",8,1,"1,20,681",0,"3,717",0,"1,34,853","36,126","3,750",2,0,759,0,30,0,0,0,0,0,0,"16,991"
