Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0004,0038,0019,0042,0061,1004,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANESTO BANCO DE EMISIONES ,DEUTSCHE BANK S.A.E.,BANCO GUIPUZCOANO,BANCA MARCH,BANCO DE CRÉDITO LOCAL DE ESPAÑA,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,DEXIA SABADELL,BANCO BANIF,BANCO GALLEGO,GENERAL ELECTRIC CAPITAL BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO CAIXA GERAL,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO URQUIJO SABADELL BANCA PRIVADA ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,ALTAE BANCO,UNO-E BANK,BANCO POPULAR HIPOTECARIO ,BANKOA ,BANCO CAMINOS,BANCO DEPOSITARIO BBVA ,BANCO INVERSIS,BANCA PUEYO,"FINANZIA, BANCO DE CRÉDITO ",BANCO DE MADRID ,BANCOPOPULAR-E,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCOFAR ,BANCO ETCHEVERRÍA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO HALIFAX HISPANIA,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO CETELEM,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,DEUTSCHE BANK CREDIT ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,SELF TRADE BANK
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"44,33,360","38,41,420","10,32,482","11,94,754","9,97,817","5,37,424","7,19,494","2,45,531","1,18,609","46,392","1,38,994",0,"2,17,045","1,22,080","1,86,210","82,613","1,01,756","14,128","90,227","5,820","53,309","83,225","10,134","6,92,265","42,174","7,215","25,862","62,385","14,538","24,601","19,324",111,"31,500","6,837",0,"17,958","22,803",19,"7,701","3,435","6,406","21,435","13,990","2,122","11,808","4,650",106,"5,617","36,906","3,883",957,"3,49,551",5,0,617,5,33,0,728,"4,146",0,31,0,0,0,0,922
2. CARTERA DE NEGOCIACIÓN  ,"7,56,82,651","6,15,74,789","71,36,838","20,28,607","13,86,391","33,31,562","82,828","5,79,556","1,04,877","2,92,267","4,24,767","1,41,508","4,13,883","6,16,942","15,539","96,976",49,"3,34,502",374,"94,331","1,67,966","2,571",0,"18,30,077",0,"31,891","70,946",555,"4,785",0,1,0,"1,500","4,028",0,"47,657",63,0,538,29,"31,076","17,686",919,356,238,247,0,0,0,21,15,0,0,0,0,0,80,0,426,796,0,0,0,0,0,0,0
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 2. Crédito a la clientela ,"67,628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 3. Valores representativos de deuda  ,"1,68,39,479","1,58,90,367","7,03,862","8,564",39,"22,71,228",640,"4,52,996",0,0,0,0,"5,698","3,97,821",0,0,0,0,0,0,"1,047",0,0,"15,69,345",0,0,0,0,0,0,0,0,0,"3,984",0,"40,329",0,0,0,0,"1,828",0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 4.  Instrumentos de capital  ,"22,49,894","39,90,856","6,76,761","68,747",0,"1,25,836",0,"1,958",0,0,0,0,0,213,0,0,0,0,374,0,0,429,0,"8,630",0,0,0,0,0,0,0,0,0,0,0,"7,328",0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,796,0,0,0,0,0,0,0
2. 5. Derivados de negociación ,"5,65,25,650","4,16,93,566","57,56,215","19,51,296","13,86,352","9,34,498","82,188","1,24,602","1,04,877","2,92,267","4,24,767","1,41,508","4,08,185","2,18,908","15,539","96,976",49,"3,34,502",0,"94,331","1,66,919","2,142",0,"2,52,102",0,517,"70,946",555,"4,785",0,1,0,"1,500",44,0,0,63,0,538,29,"28,299","17,686",608,356,238,247,0,0,0,21,15,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"58,41,392","39,72,617","6,70,368",0,0,"16,35,836",0,"53,000",0,0,0,0,0,"3,93,939",0,0,0,0,0,0,0,0,0,"8,91,438",0,"14,032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,05,79,722",0,0,567,0,"7,727",0,"10,74,496",0,0,0,0,0,"52,173",0,0,0,0,0,0,0,"9,712",0,0,0,0,0,0,"5,720",0,0,0,0,"10,714",0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,979
