Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0019,0198,0129,0042,0073,0038,0231,0036,0046,0130,0086,0216,0223,0122,0233,0094,0138,0099,0057,0185,0234,0078,0229,0236,0232,0227,0031,0125,0186,0211,0059,0225,0003,0226,0058,0113,0136,0011,0220,1490,0133,0188,0184,0200,0219,0235,0132,0121,0091,0083,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANCO COOPERATIVO ESPAÑOL ,BBVA BANCO DE FINANCIACIÓN,BANCO GUIPUZCOANO,OPEN BANK,BANESTO BANCO DE EMISIONES ,DEXIA SABADELL,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,TARGOBANK,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANKIA BANCA PRIVADA,BANCO DEPOSITARIO BBVA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO CAMINOS,BANCA PUEYO,BANCOPOPULAR-E,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,BANCOFAR ,"BANCO DE FINANZAS E INVERSIONES, (BANCO MEDIOLANUM)",EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,BANCO CETELEM,BANCO DE DEPÓSITOS,UBS BANK,BNP PARIBAS ESPAÑA ,BANCO INDUSTRIAL DE BILBAO ,ARESBANK ,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,SELF TRADE BANK,NUEVO MICRO BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO PICHINCHA ESPAÑA,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,77,72,306","37,93,404","8,02,651","13,58,225","6,02,362","5,36,999","2,93,391","3,88,524","2,50,787","18,054","75,459","1,01,307","2,03,380","38,842","26,306","38,808",0,"12,349","17,381","36,880","30,040","15,057","23,338","2,043","28,362","5,291","2,224","29,206","7,452",0,"9,174","1,577","14,159","4,070","20,334","4,628","6,157","60,028","4,798","33,457",279,"11,589",2,"2,749","8,273","2,085",0,"11,242",928,"1,107","1,594",1,36,229,615,"1,864","1,518",0,0,0,"1,072","2,67,13,993"
2. CARTERA DE NEGOCIACIÓN  ,"9,11,37,501","5,84,02,398","11,08,443","84,02,905","16,90,557","21,18,794","1,62,093","51,565","1,16,113","37,322","52,592","1,72,462","15,05,715","2,28,821","40,181",0,"68,874","1,46,509",0,"5,489",0,"20,361","8,232",0,0,"2,551",211,"1,058",0,0,"8,152","3,806",222,0,"1,429","14,740",0,3,0,666,"26,742","3,53,202",0,0,"1,810","60,712",0,0,144,83,0,0,0,0,48,0,0,0,0,0,115,"16,59,52,621"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 2. Crédito a la clientela ,"52,118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,118"
2. 3. Valores representativos de deuda  ,"2,24,60,399","1,06,25,038","2,328","3,12,045","1,83,915","13,76,578",0,728,"2,091",0,0,260,"11,61,498",0,"5,508",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"2,702",0,0,0,"14,054",0,0,0,0,"1,002","3,49,656",0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,100,"3,64,97,952"
2. 4.  Instrumentos de capital  ,"27,93,671","17,06,081","17,028","17,23,491",0,"1,55,796",99,0,0,0,0,0,236,0,0,0,0,0,0,"1,029",0,0,0,0,0,"2,551",0,0,0,0,0,949,0,0,0,686,0,0,0,0,"1,921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"64,03,553"
2. 5. Derivados de negociación ,"6,58,31,313","4,60,71,279","10,89,087","63,67,369","15,06,642","5,86,420","1,61,994","50,837","1,14,022","37,322","52,592","1,72,202","3,43,981","2,28,821","34,673",0,"68,874","1,46,509",0,"4,460",0,"20,361","8,232",0,0,0,209,"1,058",0,0,"8,152",154,222,0,"1,429",0,0,3,0,666,"23,819","3,545",0,0,"1,810","60,712",0,0,144,83,0,0,0,0,0,0,0,0,0,0,0,"12,29,98,996"
Pro-memoria: Prestados o en garantía  ,"1,09,27,156","65,17,738",0,"1,22,244",0,"13,76,578",0,0,0,0,0,0,"7,06,554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,96,52,362"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"1,65,71,195",0,0,0,0,"27,946","1,97,897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,009",0,0,0,0,0,"16,836",0,0,0,"1,267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,68,20,150"
