Var,0049,0182,0081,0075,0030,0128,2107,0065,0093,0129,0224,0061,0019,0038,0073,0198,0086,0036,0046,0130,0122,0216,0231,0057,0138,0229,0234,0078,0223,0099,0236,0232,0031,0227,0233,0125,0094,0186,0211,0059,0226,0083,0225,0058,0220,0136,0003,0011,0133,1490,0188,0184,0113,0200,0235,0219,0132,0238,0121,0091,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO DE SABADELL,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANKINTER ,UNNIM BANC,BARCLAYS BANK ,BANCO DE VALENCIA,BBVA BANCO DE FINANCIACIÓN,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO BANIF,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,TARGOBANK,DEXIA SABADELL,BANCO DEPOSITARIO BBVA ,BANKOA ,BANCOPOPULAR-E,BANCO CAMINOS,BANCA PUEYO,GENERAL ELECTRIC CAPITAL BANK,BANKIA BANCA PRIVADA,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,BANCO ETCHEVERRÍA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCOFAR ,RBC INVESTOR SERVICES ESPAÑA,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,UBS BANK,RENTA 4 BANCO,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO DE DEPÓSITOS,ALLFUNDS BANK,NUEVO MICRO BANK,SELF TRADE BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,BANCO INDUSTRIAL DE BILBAO ,PRIVAT BANK DEGROOF,BANCO PICHINCHA ESPAÑA,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO POPULAR PASTOR,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,09,79,921","41,91,339","10,21,421","5,95,755","5,22,600","6,53,677","1,67,100","4,41,273","62,993","81,240","11,895","2,73,596","90,545",0,"48,855","8,38,988","22,165","19,950","22,332","33,579","1,47,778","13,296","7,828",0,"24,648","5,961","76,470","16,822",80,"6,105","19,093","3,882","42,277","5,347","3,726","5,740","2,182","22,423",654,"3,534","8,419","12,392",3,"2,707","1,859",705,"1,767","1,108",0,"1,381",342,4,0,642,"1,949",277,0,0,0,0,"2,05,20,625"
2. CARTERA DE NEGOCIACIÓN  ,"9,00,21,660","6,03,70,737","19,80,673","18,52,949","75,56,743","27,86,622","5,022","41,095","85,032","3,78,915","16,917","48,302","1,66,191",0,0,"27,63,494","19,908",0,"5,082",0,0,"5,902","1,58,976",0,656,0,"3,364",104,0,"58,661",202,"12,557",0,0,307,0,207,0,"74,385","2,873",899,337,0,"14,730",10,0,0,407,0,0,0,0,0,48,0,0,0,0,0,2,"16,84,33,969"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2. 2. Crédito a la clientela ,"13,710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,710"
2. 3. Valores representativos de deuda  ,"2,11,44,732","1,13,94,890","3,75,279","2,053","1,44,081","20,46,554",0,974,0,0,0,0,"2,438",0,0,"23,12,629",0,0,0,0,0,0,0,0,0,0,"2,252",0,0,0,0,"11,634",0,0,0,0,0,0,"49,878","2,582",0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,"3,74,90,024"
2. 4.  Instrumentos de capital  ,"27,02,200","23,04,259",0,"1,65,836","10,62,215","65,659",0,0,0,0,0,0,0,0,0,251,0,0,314,0,0,0,0,0,0,0,924,0,0,0,0,923,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"63,02,787"
2. 5. Derivados de negociación ,"6,61,61,018","4,66,71,588","16,05,394","16,85,060","63,50,447","6,74,409","5,022","40,121","85,032","3,78,915","16,917","48,302","1,63,753",0,0,"4,50,614","19,908",0,"4,768",0,0,"5,902","1,58,976",0,656,0,188,104,0,"58,661",202,0,0,0,307,0,207,0,"24,301",291,899,337,0,"14,730",10,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,"12,46,27,446"
Pro-memoria: Prestados o en garantía  ,"1,49,98,350","37,90,265",0,0,"44,963","20,46,554",0,0,0,0,0,0,0,0,0,"18,82,154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,071",0,0,0,0,0,0,"49,569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,28,13,926"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"3,24,06,058",0,0,0,0,"43,991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,946",0,0,0,0,0,0,0,"5,147",0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,24,70,106"
