Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO SIMEON,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"62,38,400","33,73,714","4,02,992","6,33,291","6,53,728","2,24,310","3,84,749","1,98,654","70,438",0,"1,01,019","1,44,265","1,36,861","1,41,592","87,151","1,13,371","1,25,040","1,01,214","96,832","60,946","1,085","11,429","48,760","46,598","54,563","3,01,221","18,729","33,340",239,"28,650","33,077","52,131","21,114","22,541",1,"6,526","13,447","6,256","11,335",126,"12,924","7,365","5,236","5,860","6,441","7,927","21,899","1,091","2,978","1,624","1,929",26,133,"4,566",793,"13,552",11,578,40,216,1,731,267,251,0,366,12,18,0,11,"1,501",1,0,"1,40,98,083"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"2,80,61,504","2,58,39,063","53,34,952","15,69,850","76,576","46,98,912","52,489","82,989",279,"1,47,264","29,442","32,027","2,18,195",119,"3,85,964","7,058","1,506","2,45,957",0,"1,419",0,"65,392",771,"3,842",0,"14,53,257","59,038",47,"32,562","24,049","30,093","8,198",161,68,0,41,"43,451","3,061",120,0,"30,602",9,"1,016",0,0,107,"14,130","16,375",1,0,"3,079",0,0,678,221,"7,702",0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,"6,85,83,704"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46,690"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,11,28,901","96,60,438","22,16,593","82,867",777,"42,16,224","32,113","37,215",0,0,0,0,"1,607",0,0,0,0,"2,01,648",0,0,0,"7,049",0,0,0,"13,09,323","2,018",0,0,"12,557",0,0,0,0,0,0,0,"2,951",0,0,"22,448",0,0,0,0,0,0,"15,512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,89,50,241"
2.5. Otros instrumentos de capital ..........................................................................................................,"56,70,161","33,80,276","12,63,645","10,84,267",0,"2,02,538","3,450",0,0,0,0,0,0,0,0,"5,992",0,"23,630",0,0,0,0,0,0,0,"25,003","41,282",0,2,105,0,0,0,0,0,0,0,0,0,0,"6,468",0,0,0,0,107,0,552,0,0,"3,079",0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,17,11,120"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,12,62,442","1,27,98,349","18,54,714","4,02,716","75,799","2,80,150","16,926","45,774",279,"1,47,264","29,442","32,027","2,16,588",119,"3,85,964","1,066","1,506","20,679",0,"1,419",0,"58,343",771,"3,842",0,"1,18,931","15,738",47,0,"11,387","30,093","8,198",161,68,0,41,"43,451",110,120,0,"1,686",9,"1,016",0,0,0,0,311,1,0,0,0,0,115,221,"7,702",0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,"2,78,75,653"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"14,07,813","57,85,348","17,32,445","46,158",0,"39,17,502",0,0,0,0,0,0,0,0,0,0,0,"2,03,771",0,0,0,0,0,0,0,"6,13,928",0,0,0,"5,852",0,0,0,0,0,0,0,0,0,0,"10,274",0,0,0,0,0,0,"11,951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,37,35,042"
