Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0131,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO ESPIRITO SANTO ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS ESPAÑA,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,BANCO DE EUROPA ,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"49,60,528","36,00,681","3,35,477","8,44,930","6,16,258","3,94,057","2,61,964","3,47,308","1,06,445","1,04,523","1,58,772","62,430","2,65,441","1,35,934","1,22,152",0,"99,683","52,057","59,201","70,132","46,720","29,751","7,113","2,60,367","38,523","10,170","32,140","2,102","26,824","80,527",16188,"8,197","29,135","21,833",1,69,"16,689","2,339","15,216","5,481","8,478","7,514","15,147","2,153","3,045","40,726","5,679","2,787","6,197","4,754",989,"24,340",10,"6,699",138,"1,115",35,43,240,539,0,15,899,296,43,616,36,14,0,35,0,0,"1,33,79,940"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,67,51,698","3,60,68,248","63,47,858","1,48,079","19,75,544","28,87,108","75,219","1,14,758","2,172","66,745","1,662","39,495","3,93,150","11,320","1,46,812","4,71,749","4,98,274","3,576","1,688",0,"1,009","9,999","1,21,012","15,47,273","4,451","6,96,167","1,04,645",0,0,"3,861",17909,"1,278",201,318,0,0,"13,481",0,651,"2,403","34,822",270,"55,819",2,0,0,242,0,0,920,"23,357","9,659","27,87,104",11,0,68,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,"9,14,42,456"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,76,006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,96,363"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"8,93,691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,66,747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,60,438"
2.4. Valores representativos de deuda ..........................................................................................................,"1,56,87,486","1,15,59,670","12,52,026","1,612","89,099","24,21,463","14,471","44,927",0,0,0,0,"1,869",0,"1,02,104",0,0,0,0,0,0,0,0,"13,78,140",0,"1,873","5,855",0,0,0,0,0,0,0,0,0,"9,753",0,0,0,"28,606",0,"42,162",0,0,0,0,0,0,0,"18,578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,26,59,694"
2.5. Otros instrumentos de capital ..........................................................................................................,"94,43,392","42,95,238","21,43,171",0,"14,36,620","3,26,884","17,655",0,0,0,0,0,0,"8,960","19,133",0,0,0,0,0,0,0,0,"33,435",0,"12,253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,216",0,"11,588",0,0,0,242,0,0,0,"3,219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,77,58,006"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,16,20,820","1,93,19,649","29,52,661","1,46,467","4,49,825","1,38,761","43,093","69,831","2,172","66,745","1,662","39,495","3,91,281","2,360","25,575","4,71,749","4,98,274","3,576","1,688",0,"1,009","9,999","1,21,012","1,35,698","4,451","6,035","98,790",0,0,"3,861",17909,"1,278",201,318,0,0,"3,728",0,651,"2,403",0,270,"2,069",2,0,0,0,0,0,920,"1,560","9,659",0,11,0,68,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,"3,66,67,955"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"62,08,683","24,94,939","7,62,207",0,"59,291","19,90,136",0,0,0,0,0,0,0,0,"1,02,103",0,0,0,0,0,0,0,0,"11,78,612",0,"6,60,586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,272",0,0,0,0,0,0,0,"10,282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,34,90,111"
