Var,0182,0049,0030,0081,0075,0128,0065,0072,0093,0224,0004,0042,0019,0061,1004,0038,0036,0129,0073,0082,0097,0046,0086,0223,0231,0095,0198,0094,0130,0057,0122,0024,0185,0227,0233,0216,0009,0138,0059,0078,0232,0186,0142,0226,0099,0229,0031,0217,0125,0003,0063,0220,0211,0225,0058,0136,0113,0188,0184,0011,0133,0200,0021,0205,0219,0132,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO DE GALICIA,BANCO GALLEGO,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,DEXIA SABADELL,BANCO DE VASCONIA ,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO CAIXA GERAL,BANCO DEPOSITARIO BBVA ,CITIBANK ESPAÑA ,BANCO DE CRÉDITO BALEAR,BANCO URQUIJO SABADELL BANCA PRIVADA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCO POPULAR HIPOTECARIO ,"FINANZIA, BANCO DE CRÉDITO ",BANKOA ,BANCO DE MADRID ,BANCA PUEYO,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,UBS BANK,ALTAE BANCO,BANCOPOPULAR-E,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,BANCOFAR ,BANCO DE DEPÓSITOS,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,EBN BANCO DE NEGOCIOS,BANCO CETELEM,BNP PARIBAS ESPAÑA ,ARESBANK ,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"31,34,334","14,06,108","4,61,141","8,59,541","3,97,638","5,69,579","3,58,797","2,94,543","51,988","77,233","1,05,531","1,12,402","1,68,700","1,68,420","1,94,887",0,"94,031","77,727","85,792","53,452","42,908","37,310","70,390","10,102","32,354","28,346","5,15,891","1,220","29,236",1,"61,853","29,879","20,598","24,988","8,659",107,41,"16,748","8,019","18,425","13,590","5,568","21,203","29,373","14,917","4,052","9,740","37,645","8,066","5,872",90,984,"1,590",8,"6,516","4,130",18,78,13,907,0,994,223,46,527,19,0,18,0,0,"97,95,106"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,21,70,805","4,89,10,221","49,34,659","3,19,230","14,38,902","26,48,399","89,209","1,52,215","12,035","1,79,130","1,80,726","58,167","6,27,210","14,375","53,272","3,12,656","5,268","3,71,735",0,"8,059","10,166","1,724","1,23,339",0,"1,33,594","49,401","13,29,117","6,97,448",0,0,"2,505","1,832","17,418",77,0,0,0,"2,379","1,149",166,"43,914",0,"25,248","23,510",0,14,166,0,885,0,0,62,"54,087",0,10,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,"10,50,04,561"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,90,145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,90,145"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"1,52,091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,52,091"
2.4. Valores representativos de deuda ..........................................................................................................,"1,74,72,366","1,46,26,771","4,19,630",60,"82,606","23,30,544",5,"76,536",0,0,0,"28,474","5,870",0,0,0,0,0,0,0,0,0,"3,560",0,0,0,"11,87,791","1,860",0,0,0,0,"2,934",0,0,0,0,0,0,0,"40,213",0,"13,915",0,0,0,0,0,0,0,0,0,"50,270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,63,43,405"
2.5. Otros instrumentos de capital ..........................................................................................................,"77,20,784","35,47,702","13,15,456",0,"4,89,799","1,02,075",0,"5,364",0,0,0,358,0,"6,378",0,0,0,0,0,0,0,0,0,0,0,0,"22,038",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,701",0,"10,077",0,0,0,166,0,0,0,0,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,32,24,460"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,69,77,655","3,05,83,657","31,99,573","3,19,170","8,66,497","2,15,780","89,204","70,315","12,035","1,79,130","1,80,726","29,335","6,21,340","7,997","53,272","3,12,656","5,268","3,71,735",0,"8,059","10,166","1,724","1,19,779",0,"1,33,594","49,401","1,19,288","5,443",0,0,"2,505","1,832","14,484",77,0,0,0,"2,379","1,149",166,0,0,"1,256","23,510",0,14,0,0,885,0,0,62,"3,255",0,10,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,"5,45,94,460"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"96,24,176","69,75,800","3,52,614",0,"51,802","17,59,804",0,0,0,0,0,"26,661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,54,775","6,07,962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,688",0,0,0,0,0,0,0,0,0,"31,808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,01,88,090"
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,"2,21,39,515",782,0,0,"20,408",0,"2,55,406",0,0,0,0,0,0,0,0,0,0,0,0,0,"19,976",0,2,0,0,0,0,0,0,0,0,0,0,"34,662",0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,24,71,020"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,"2,02,06,727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,02,06,727"
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Crédito a la clientela ......................................................................................................................................................................,0,"19,32,788",782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,33,570"
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,"2,35,244",0,0,0,0,0,0,0,0,0,0,0,0,0,"19,976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,55,489"
