Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0099,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0133,0200,0219,0132,0235,0121
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO GALLEGO,BANCO BANIF,BANCO CAIXA GERAL,GENERAL ELECTRIC CAPITAL BANK,BANCO POPULAR HIPOTECARIO ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANCO DEPOSITARIO BBVA ,BANCA PUEYO,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO CAMINOS,BANCOFAR ,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,ALTAE BANCO,BANCOPOPULAR-E,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BBVA BANCO DE FINANCIACIÓN,BANCO DE MADRID ,"FINANZIA, BANCO DE CRÉDITO ","BANCO DE FINANZAS E INVERSIONES, (BANCO MEDIOLANUM)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO CETELEM,EBN BANCO DE NEGOCIOS,BNP PARIBAS ESPAÑA ,ARESBANK ,UBS BANK,BANCO INDUSTRIAL DE BILBAO ,BANCO EUROPEO DE FINANZAS,SELF TRADE BANK,BANCO FINANTIA SOFINLOC ,ALLFUNDS BANK,BANCO ALCALÁ ,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO PICHINCHA ESPAÑA,BANCO OCCIDENTAL 
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,34,34,949","44,45,210","19,00,707","15,07,893","10,17,832","6,12,915","3,90,374","7,22,153","63,129","80,551","1,61,610","1,55,734","1,45,276",0,"81,244","4,92,086","26,342","39,361","34,852","48,280","37,848","2,017","34,256","97,771","11,433","4,677","13,940",0,"22,187","12,644","10,327","10,512","40,277","7,946","11,609","14,749","12,500","5,016","12,931","12,437","3,448",245,"21,437",106,"5,222",3,183,"4,424","3,265","14,686",0,"1,080","1,618","1,733",692,576,1,"1,081","1,132",0,"1,105",0
2. CARTERA DE NEGOCIACIÓN  ,"6,41,38,818","4,61,28,903","10,83,625","70,67,508","10,44,690","22,24,451","1,30,582","31,585","75,535","1,08,155","16,101","51,722","1,86,161","35,544",476,"5,70,372",0,"92,743","2,628","11,764",0,0,"9,177",0,2,383,"21,446",0,137,"2,794",245,0,103,"59,161",0,111,0,17,694,"2,58,483",415,0,475,0,0,0,"23,982","39,962",99,"1,340",0,0,0,"1,005",272,0,0,0,"1,232",0,0,0
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 2. Crédito a la clientela ,"40,172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 3. Valores representativos de deuda  ,"2,23,52,162","99,13,938","35,434","3,99,447","1,01,047","15,49,617","33,076",65,"1,907",0,0,0,"3,743",0,0,"3,12,345",0,0,0,0,0,0,0,0,0,3,"19,325",0,0,0,199,0,0,"56,139",0,0,0,0,234,0,0,0,0,0,0,0,"10,057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 4.  Instrumentos de capital  ,"28,96,711","38,02,622","36,225","21,46,777",0,"1,76,625","11,275",0,0,0,0,0,0,0,476,"10,602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,022",0,0,0,0,272,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,"1,232",0,0,0
2. 5. Derivados de negociación ,"3,88,49,773","3,24,12,343","10,11,966","45,21,284","9,43,643","4,98,209","86,231","31,520","73,628","1,08,155","16,101","51,722","1,82,418","35,544",0,"2,47,425",0,"92,743","2,628","11,764",0,0,"9,177",0,2,380,"2,121",0,137,"2,794",46,0,103,0,0,111,0,17,188,"2,58,483",415,0,475,0,0,0,"13,644","39,962",99,"1,340",0,0,0,"1,005",272,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"60,99,369","51,42,067",0,"1,41,287",0,"11,72,112",0,0,0,0,0,0,0,0,0,"97,918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,067",0,0,0,0,0,0,0,0,0,0,0,0,"9,894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,26,15,456",0,0,0,0,"38,835","4,89,514",0,0,0,0,0,0,0,0,0,0,0,"1,789",0,0,0,0,0,"5,569",0,0,0,0,0,"21,765",0,0,"1,209",0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,085",0
