Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0019,0198,0129,0042,0073,0038,0231,0036,0046,0130,0086,0216,0223,0122,0233,0094,0138,0099,0057,0185,0234,0078,0229,0236,0232,0227,0031,0125,0186,0211,0059,0225,0003,0226,0058,0113,0136,0011,0220,1490,0133,0188,0184,0200,0219,0235,0132,0121,0091,0083,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANCO COOPERATIVO ESPAÑOL ,BBVA BANCO DE FINANCIACIÓN,BANCO GUIPUZCOANO,OPEN BANK,BANESTO BANCO DE EMISIONES ,DEXIA SABADELL,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,TARGOBANK,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANKIA BANCA PRIVADA,BANCO DEPOSITARIO BBVA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO CAMINOS,BANCA PUEYO,BANCOPOPULAR-E,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,BANCOFAR ,"BANCO DE FINANZAS E INVERSIONES, (BANCO MEDIOLANUM)",EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,BANCO CETELEM,BANCO DE DEPÓSITOS,UBS BANK,BNP PARIBAS ESPAÑA ,BANCO INDUSTRIAL DE BILBAO ,ARESBANK ,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,SELF TRADE BANK,NUEVO MICRO BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO PICHINCHA ESPAÑA,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"2,19,95,421","39,04,474","8,68,105","29,01,555","8,16,623","3,60,205","3,62,411","4,41,044","1,62,949","15,405","1,30,204","81,627","1,40,545","26,342","19,296","39,439",0,"7,274","4,275","59,830","29,365","7,442","23,630","2,042","24,977","5,417","1,647","37,437","11,335",0,"11,257","12,315","10,804","3,454","20,287","5,114","3,578","10,779","3,882","10,371","3,936","3,941",3,"2,657","7,738","2,879",0,"10,568",929,"1,097","1,783",1,41,229,634,396,"1,518",0,0,0,"1,300","3,26,11,807"
2. CARTERA DE NEGOCIACIÓN  ,"9,30,12,752","5,99,48,982","11,83,559","83,49,937","16,53,629","24,31,501","1,70,497","43,685","1,14,229","37,903","57,833","1,82,717","15,50,271","2,34,146","45,604",0,"73,801","1,46,851",110,"5,487",0,"19,024","8,491",0,0,"2,562",209,"1,479",0,0,"8,501","7,175",195,0,"2,217","31,082",0,3,0,619,"29,806","10,421",0,0,"3,293","59,435",0,0,281,516,0,0,0,0,47,0,0,0,0,2,"1,953","16,94,30,805"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2. 2. Crédito a la clientela ,"51,831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,831"
2. 3. Valores representativos de deuda  ,"2,16,13,788","1,01,72,744","3,251","3,18,664","1,68,341","17,98,095",260,"1,025","3,856",0,0,716,"12,06,174",0,"4,600",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"6,035",0,0,0,"29,601",0,0,0,0,"4,984","10,162",0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,"1,896","3,53,44,241"
2. 4.  Instrumentos de capital  ,"20,47,722","16,45,693","17,857","14,60,981",0,"1,26,200",210,0,0,0,0,0,232,0,0,0,0,0,0,"1,340",0,0,0,0,0,"2,562",0,0,0,0,0,989,0,0,0,"1,481",0,0,0,0,"1,126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"53,06,408"
2. 5. Derivados de negociación ,"6,92,99,411","4,81,30,545","11,62,451","65,70,292","14,85,288","5,07,206","1,70,027","42,660","1,10,373","37,903","57,833","1,82,001","3,43,865","2,34,146","41,004",0,"73,801","1,46,851",110,"4,147",0,"19,024","8,491",0,0,0,207,"1,479",0,0,"8,501",151,195,0,"2,217",0,0,3,0,619,"23,696",259,0,0,"3,293","59,435",0,0,281,516,0,0,0,0,0,0,0,0,0,0,42,"12,87,28,323"
Pro-memoria: Prestados o en garantía  ,"79,79,861","65,20,806",0,"1,22,350",0,"17,98,095",0,0,0,0,0,0,"2,06,697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,078",0,0,0,0,"2,486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,759","1,66,34,132"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"1,51,69,491",0,0,0,0,"25,745","1,95,765",0,0,0,0,0,0,0,0,0,0,0,0,"1,551",0,0,0,0,0,"5,006",0,0,0,0,0,"16,672",0,0,0,"1,263",0,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,54,16,457"
