Var,0049,0182,0081,0075,0030,0128,2107,0065,0093,0129,0224,0061,0019,0038,0073,0198,0086,0036,0046,0130,0122,0216,0231,0057,0138,0229,0234,0078,0223,0099,0236,0232,0031,0227,0233,0125,0094,0186,0211,0059,0226,0083,0225,0058,0220,0136,0003,0011,0133,1490,0188,0184,0113,0200,0235,0219,0132,0238,0121,0091,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANKINTER ,UNNIM BANC,BARCLAYS BANK ,BANCO DE VALENCIA,BBVA BANCO DE FINANCIACIÓN,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO BANIF,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,TARGOBANK,DEXIA SABADELL,BANCO DEPOSITARIO BBVA ,BANKOA ,BANCOPOPULAR-E,BANCO CAMINOS,BANCA PUEYO,GENERAL ELECTRIC CAPITAL BANK,BANKIA BANCA PRIVADA,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,BANCO ETCHEVERRÍA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCOFAR ,RBC INVESTOR SERVICES ESPAÑA,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,UBS BANK,RENTA 4 BANCO,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO DE DEPÓSITOS,ALLFUNDS BANK,NUEVO MICRO BANK,SELF TRADE BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,BANCO INDUSTRIAL DE BILBAO ,PRIVAT BANK DEGROOF,BANCO PICHINCHA ESPAÑA,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO POPULAR PASTOR,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,31,65,725","95,57,227","8,54,525","13,98,660","8,94,818","3,53,089","1,61,656","4,61,656","1,24,124","88,690","9,249","9,73,655","89,382",0,"48,288","2,40,150","17,545","9,520","1,93,413","54,665","72,871","18,072","7,314",0,"19,816","3,352","53,088","12,039",82,"6,177","19,262","1,968","1,73,688","5,158","3,410","5,600","9,819","11,558","9,356","3,334","5,455","7,049",5,"2,685","1,860",818,"1,765","1,112",0,"1,598",690,4,0,642,"1,867","4,041",0,0,0,0,"2,91,61,592"
2. CARTERA DE NEGOCIACIÓN  ,"8,64,95,551","5,83,11,808","16,87,802","17,78,340","75,17,292","25,78,721","3,647","34,598","83,304","2,97,017","17,622","47,273","1,83,868",0,0,"24,50,280","19,813",0,"4,965",0,0,"6,462","1,49,624",0,619,0,"1,390",112,0,0,8,"26,388","5,611",0,367,0,479,0,"64,196","2,254","1,261","3,461",0,"14,394",392,0,0,280,0,0,0,0,0,48,0,0,0,0,0,2,"16,17,89,249"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2. 2. Crédito a la clientela ,"13,651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,651"
2. 3. Valores representativos de deuda  ,"2,12,71,695","1,12,19,717","1,65,776","4,538","2,35,933","17,07,242",0,926,0,0,0,0,799,0,0,"20,38,200",0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,"25,463","5,611",0,0,0,0,0,"41,056","2,015",0,"2,950",0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,"3,67,22,275"
2. 4.  Instrumentos de capital  ,"27,70,520","23,16,326",0,"1,64,628","11,26,401","66,828",0,0,0,0,0,0,0,0,0,236,0,0,185,0,0,0,0,0,0,0,955,0,0,0,0,925,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64,47,357"
2. 5. Derivados de negociación ,"6,24,39,685","4,47,75,765","15,22,026","16,09,174","61,54,958","8,04,651","3,647","33,672","83,304","2,97,017","17,622","47,273","1,83,069",0,0,"4,11,844","19,813",0,"4,780",0,0,"6,462","1,49,624",0,619,0,129,112,0,0,8,0,0,0,367,0,479,0,"22,787",239,"1,261",511,0,"14,394",392,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,"11,86,05,964"
Pro-memoria: Prestados o en garantía  ,"1,27,57,186","44,67,409",0,0,"82,536","17,07,241",0,0,0,0,0,0,0,0,0,"17,93,194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,067",0,0,0,0,0,0,"39,668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,08,49,301"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,31,12,380",0,0,0,0,"44,137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,306",0,0,0,0,0,0,0,"5,149",0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,31,76,935"
