Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"17,03,501","19,65,542","5,03,304","6,01,337","4,74,220","1,38,588","2,58,974",0,"3,11,288","85,644","70,005","79,249","1,54,920","75,683","77,997","65,818","83,943","1,16,956","61,129","60,565","6,779","55,649","4,02,065","38,100","44,747","21,455","31,234","24,165","1,703",1,"2,776","73,445","2,903","37,701","17,733",200,"8,696","9,417","11,877","6,962",206,"11,455","5,651",556,"5,011","4,508","13,713","2,775",6,109,"4,730","1,697",20,18,"15,665","1,522",324,535,84,"2,556",1,682,701,47,251,257,698,20,370,1,0,20,1,0,"77,60,461"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,85,79,667","2,29,63,121","56,72,415","89,937","16,39,710","41,24,567","28,832","67,448","79,298","28,054","2,761","2,71,111","2,481","2,66,094",522,0,"4,48,263","2,397",0,"3,502","34,832","2,027","12,37,675",0,"2,858","35,835",732,0,0,0,54,"8,016","8,165",381,96,"24,947",0,"57,030",0,508,0,0,0,0,100,0,"19,666",0,0,0,103,"18,382",0,0,"7,148",688,0,983,0,0,0,0,0,0,0,0,0,0,"67,468",0,0,0,0,0,"7,57,97,874"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,945",0,0,0,0,0,0,0,0,0,0,"19,666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,431",0,0,0,0,0,"96,042"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,038",0,0,0,0,0,"16,038"
2.4. Valores representativos de deuda ..........................................................................................................,"1,71,79,233","58,38,612","30,79,403",10,"84,179","38,01,683","17,105",0,"61,552",0,0,"6,194",0,0,0,0,"4,30,077",0,0,0,401,0,"10,45,441",0,0,"35,691",0,0,0,0,0,0,410,0,0,0,0,"56,426",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,785",0,0,0,0,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,16,55,053"
2.5. Otros instrumentos de capital ..........................................................................................................,"65,22,726","30,57,623","10,09,044",0,"8,44,935","1,34,126",341,0,0,0,0,0,0,0,0,0,"14,387","2,314",0,0,0,0,"51,539",0,0,102,0,0,0,0,0,0,90,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,497,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,16,37,958"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,48,77,708","1,40,66,887","15,83,968","89,927","7,10,596","1,88,758","11,386","67,448","17,746","28,054","2,761","2,64,917","2,481","2,66,094",522,0,"3,799",83,0,"3,502","34,431","2,027","1,40,695",0,"2,858",42,732,0,0,0,54,"8,016","7,665",381,96,0,0,604,0,508,0,0,0,0,0,0,0,0,0,0,103,100,0,0,"7,148",688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,23,92,785"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"72,65,013","58,24,844","26,66,861",0,"10,083","35,99,440",0,0,0,0,0,0,0,0,0,0,"4,27,434",0,0,0,0,0,"2,56,396",0,0,"30,521",0,0,0,0,0,0,0,0,0,0,0,"45,196",0,0,0,0,0,0,0,0,0,0,0,0,0,"15,850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,01,41,638"
