Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,CACEIS BANK ESPAÑA,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"48,40,532","24,86,138","3,69,424","4,01,095","6,29,397","4,50,290","1,80,052","3,29,921","69,335",0,"50,818","1,73,721","1,00,364","1,56,405","95,096","1,68,740","21,264","82,816","66,949","57,735","3,180","23,899","48,742","25,705","29,602","7,09,537","4,065","35,023",624,"27,269","32,185","44,187","22,166","47,578",1,"23,512","14,106","5,748","14,626",226,"16,603","5,763","3,836","6,015","4,039","7,344","36,613","1,109","3,045","2,230","4,965",23,173,"1,832",864,"19,060",43,"1,105",112,190,1,644,289,242,8,237,44,23,0,43,"1,420",1,0,"1,19,59,989"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,23,37,698","3,18,83,358","45,33,937","9,78,142","1,02,884","34,17,240","52,226","76,301",397,"2,61,270","22,412","36,057","4,15,146",261,"3,10,519","9,761","3,866","3,56,009",0,293,"6,301","83,953",200,"6,187",0,"15,35,855","4,39,534","4,176",0,"3,012","26,039","6,890",170,97,0,12,"2,761","3,259",209,0,"50,068",202,787,0,404,112,0,"19,986",0,0,"5,820",0,0,16,50,"6,266",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"7,70,00,147"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,32,636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,32,636"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"2,54,978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,54,978"
2.4. Valores representativos de deuda ..........................................................................................................,"1,39,32,193","1,09,28,707","12,89,921","66,544",616,"29,58,054","22,176","39,013",0,0,0,0,"2,172",0,0,0,0,"2,88,097",0,0,0,166,0,0,0,"14,07,909",249,0,0,63,0,0,0,0,0,0,0,"3,250",0,0,"39,102",0,0,0,0,0,0,"17,804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,09,96,036"
2.5. Otros instrumentos de capital ..........................................................................................................,"82,58,568","40,61,606","8,57,234","5,27,993",0,"3,56,937","2,163",0,0,0,0,0,0,0,0,"6,509",0,"24,592",0,0,0,0,0,0,0,"28,728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,025",0,0,0,0,112,0,930,0,0,"5,820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,41,40,217"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,01,46,937","1,66,38,067","23,86,782","3,83,605","1,02,268","1,02,249","27,887","37,288",397,"2,61,270","22,412","36,057","4,12,974",261,"3,10,519","3,252","3,866","43,320",0,293,"6,301","83,787",200,"6,187",0,"99,218","6,649","4,176",0,"2,949","26,039","6,890",170,97,0,12,"2,761",9,209,0,"1,941",202,787,0,404,0,0,"1,252",0,0,0,0,0,16,50,"6,266",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"3,11,76,280"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"38,17,392","31,26,297","6,82,461","33,688",0,"26,85,436",0,0,0,0,0,0,0,0,0,0,0,"2,96,732",0,0,0,0,0,0,0,"11,88,044","4,19,535",0,0,0,0,0,0,0,0,0,0,0,0,0,"19,250",0,0,0,0,0,0,"10,106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,22,78,941"
