Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,MICROBANK DE LA CAIXA,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"97,38,352","40,13,139","6,68,111","7,73,476","6,99,996","5,42,041","2,11,353","2,62,936","57,967","23,386","1,85,351","26,894","59,672","1,04,825","1,72,356",0,"80,674","40,777","60,249","78,795","35,354","15,537","6,275","3,31,214","25,236","8,487","35,543","4,068","25,653","52,335","20,861","40,486","24,485",1,124,"12,739","1,588","19,048","5,820","12,193","6,138","12,867","1,030",574,"27,116","6,351","3,287","5,695","5,774",930,"33,049",10,"4,298",170,"1,029",27,32,470,676,0,"1,201",871,221,44,184,27,17,0,27,0,0,"1,85,89,512",
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,05,20,209","4,70,45,443","62,82,367","3,31,679","19,17,002","13,45,794","1,45,232","77,702","9,740","65,883","85,326","55,359","5,02,475","14,758","43,674","3,70,354","4,65,266","4,159","4,876",0,"5,137","12,926","75,437","11,88,698","13,048","3,91,855","96,257",0,0,"3,906","9,033","1,594",629,0,0,"3,267",0,978,"2,460","87,229",16,"32,166",2,0,0,166,6,0,"1,003","64,525","17,531",0,12,0,224,0,"2,095",0,0,0,98,0,0,0,0,0,0,0,0,0,0,"10,12,97,596",
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,81,354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,81,354",
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"5,49,551",0,0,0,0,0,0,0,0,0,0,"49,622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,99,173",
2.4. Valores representativos de deuda ..........................................................................................................,"1,55,07,569","1,39,32,631","5,84,638",115,"70,975","9,26,172","68,401",0,0,0,0,0,"2,788",0,"3,122",0,0,0,0,0,0,0,0,"10,45,986",0,"1,015","14,039",0,0,0,0,0,0,0,0,0,0,0,0,"75,324",0,"16,413",0,0,0,0,0,0,0,"57,324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,23,06,512",
2.5. Otros instrumentos de capital ..........................................................................................................,"1,11,31,472","45,67,958","22,68,475",0,"10,43,851","2,64,147","6,027",0,0,0,0,0,0,"8,270","9,745",0,0,0,0,0,0,0,0,"29,471",0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,"11,891",0,"14,055",0,0,0,166,0,0,0,"3,545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,93,59,133",
2.6. Derivados de negociación ......................................................................................................................................................................,"1,38,81,168","2,79,95,303","34,29,254","3,31,564","8,02,176","1,55,475","70,804","77,702","9,740","65,883","85,326","55,359","4,50,065","6,488","30,807","3,70,354","4,65,266","4,159","4,876",0,"5,137","12,926","75,437","1,13,241","13,048","9,486","82,158",0,0,"3,906","9,033","1,594",629,0,0,"3,267",0,978,"2,460",14,16,"1,698",2,0,0,0,6,0,"1,003","3,656","17,531",0,12,0,224,0,"2,095",0,0,0,98,0,0,0,0,0,0,0,0,0,0,"4,86,51,424",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"46,99,250","54,00,546","3,88,518",0,"42,266","5,42,171",0,0,0,0,0,0,0,0,"2,892",0,0,0,0,0,0,0,0,"7,30,871",0,"3,41,779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,961",0,0,0,0,0,0,0,"19,732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,21,70,986",
