Var,0182,0049,0075,0030,0081,0128,0065,0072,0093,0224,0061,0042,0019,0038,0036,0231,0198,0073,0046,0130,0086,0223,0122,0129,0094,0233,0185,0057,0216,0227,0138,0234,0099,0078,0125,0229,0232,0142,0031,0059,0009,0186,0063,0217,0003,0058,0136,0211,0113,0226,0225,0184,0188,1490,0011,0220,0133,0200,0219,0132,0115,0121,0091,0083,0235
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,OPEN BANK,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,BBVA BANCO DE FINANCIACIÓN,RBC DEXIA INVESTOR SERVICES ESPAÑA,POPULAR BANCA PRIVADA,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,UNO-E BANK,BANKOA ,BANCO CAMINOS,ALTAE BANCO,BANCA PUEYO,BANCOFAR ,BANCOPOPULAR-E,BANCO INVERSIS,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO ETCHEVERRÍA ,BANCO DE MADRID ,"FINANZIA, BANCO DE CRÉDITO ","BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO HALIFAX HISPANIA,BANCO DE DEPÓSITOS,BNP PARIBAS ESPAÑA ,ARESBANK ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,UBS BANK,BANCO CETELEM,BANCO EUROPEO DE FINANZAS,BANCO ALCALÁ ,SELF TRADE BANK,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,BANCO PICHINCHA ESPAÑA
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,02,25,308","90,33,170","12,97,429","6,74,403","10,92,471","5,04,583","7,64,472","4,73,363","62,251","1,10,323","1,59,650","1,45,241","1,47,794",0,"44,980","16,681","5,14,635","80,558","71,195","31,641","73,681","1,357","50,175","24,785","3,569","10,084","14,064",0,69,"13,309","22,932","24,979","13,913","22,427","10,279","3,235","8,132","17,641","23,121","5,405",193,"12,187",106,"37,052","5,296","4,543","8,399",815,0,"15,147",2,"1,529",799,"1,411",688,"1,817",0,"1,165","1,072",0,0,0,0,0,"1,060"
2. CARTERA DE NEGOCIACIÓN  ,"5,35,41,148","6,88,53,591","14,19,631","78,07,478","11,34,538","23,72,928","50,558","5,61,915","1,11,157","1,17,242","25,627","82,103","2,19,620","1,68,027",233,"1,06,108","8,66,432",493,"5,125",0,"30,277",0,115,"2,23,972",638,0,"21,262",0,0,0,"13,027",97,0,101,0,11,"44,821","2,763",258,628,0,250,0,0,0,"43,066",0,"1,43,330",0,"3,137",0,0,0,0,169,537,0,0,"1,170",0,0,0,3,0,"6,283"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"6,283"
2. 2. Crédito a la clientela ,0,"57,391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 3. Valores representativos de deuda  ,"1,18,83,630","2,29,16,646","10,311","3,26,917","1,571","15,66,964","13,931","4,86,687",0,0,0,150,"1,873",0,0,0,"5,48,797",0,0,0,294,0,0,0,4,0,0,0,0,0,"9,803",0,0,0,0,0,"38,332","2,628",0,0,0,0,0,0,0,0,0,"1,19,085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 4.  Instrumentos de capital  ,"36,17,023","18,86,098","37,299","18,36,938",0,"2,78,872",0,"2,019",0,0,0,0,0,0,0,0,"9,952",493,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,489",0,217,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,"1,170",0,0,0,0,0,0
2. 5. Derivados de negociación ,"3,80,40,495","4,39,93,456","13,72,021","56,43,623","11,32,967","5,27,092","36,627","73,209","1,11,157","1,17,242","25,627","81,953","2,17,747","1,68,027",233,"1,06,108","3,07,683",0,"5,005",0,"29,983",0,115,"2,23,972",634,0,"21,262",0,0,0,"3,224",97,0,101,0,11,0,135,41,628,0,250,0,0,0,"43,066",0,"23,638",0,"3,137",0,0,0,0,169,537,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"73,37,833","32,98,221","5,302","1,26,824",0,"8,50,215",0,"3,129",0,0,0,60,0,0,0,0,"2,73,875",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,091",0,0,0,0,0,0,0,0,0,0,"1,14,778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,0,"2,83,35,378",0,0,0,"20,399",0,"8,92,163",0,0,0,0,0,0,0,0,0,0,"1,592",0,0,0,0,0,0,"5,332",0,0,0,0,0,"19,704",0,0,0,0,"1,187",0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,0,0,"13,956"
3. 1. Depósitos en entidades de crédito  ,0,"2,01,83,940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. 2. Crédito a la clientela  ,0,"81,51,438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2,304"
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"8,92,163",0,0,0,0,0,0,0,0,0,0,"1,592",0,0,0,0,0,0,0,0,0,0,0,0,"19,704",0,0,0,0,"1,187",0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,651"
3. 4. Instrumentos de capital  ,0,0,0,0,0,"20,399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,0,"55,76,756",0,0,0,0,0,"8,67,534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,87,64,751","2,10,94,191","1,42,68,683","91,56,320","1,08,35,592","41,56,025","45,41,357","22,76,025","8,57,239",0,"1,52,659","8,41,635","3,336",0,832,"46,87,936","24,23,174",0,"1,71,684","2,62,057","10,08,390",0,"6,311",61,"42,782","1,04,196","26,082",0,"3,614",315,"70,586","1,58,792","3,50,886","1,77,858",32,0,"2,18,137","64,559","22,943","29,893",157,"3,13,716",8,510,0,"1,564",0,"77,188","1,218",948,0,"70,221","14,943",0,0,"91,239",0,260,0,0,0,0,3,0,0
4. 1. Valores representativos de deuda ,"2,38,97,922","1,99,07,699","1,38,39,625","88,75,597","1,00,21,623","41,14,145","45,32,305","22,26,130","7,60,183",0,"1,04,705","8,17,220",250,0,0,"46,87,936","24,09,681",0,"1,30,004","2,61,719","8,33,429",0,0,0,"41,260","1,00,761","24,933",0,"3,614",0,"67,170","1,50,695","3,50,872","1,62,029",0,0,"2,18,137","63,953","12,589","24,328",0,"2,65,034",0,0,0,0,0,"5,819",0,0,0,"66,471",0,0,0,"91,237",0,0,0,0,0,0,0,0,0
4. 2. Instrumentos de capital  ,"48,66,829","11,86,492","4,29,058","2,80,723","8,13,969","41,880","9,052","49,895","97,056",0,"47,954","24,415","3,086",0,832,0,"13,493",0,"41,680",338,"1,74,961",0,"6,311",61,"1,522","3,435","1,149",0,0,315,"3,416","8,097",14,"15,829",32,0,0,606,"10,354","5,565",157,"48,682",8,510,0,"1,564",0,"71,369","1,218",948,0,"3,750","14,943",0,0,2,0,260,0,0,0,0,3,0,0
Pro-memoria: Prestados o en garantía  ,"1,53,08,177","9,60,610","1,26,73,953","51,67,414","48,69,098","22,27,987","45,41,357","21,03,333","2,45,372",0,"46,353","7,92,472",0,0,0,"13,38,562","12,77,110",0,"4,834","4,915","1,94,478",0,0,0,0,0,0,0,0,0,"37,602","37,003",0,0,0,0,0,"23,734",0,0,0,"84,182",0,0,0,0,0,"3,599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5. INVERSIONES CREDITICIAS  ,"26,24,86,460","23,56,80,119","9,70,90,001","9,55,70,278","6,68,06,693","4,59,38,460","2,89,58,428","2,58,02,965","2,13,91,210","2,35,62,194","81,55,469","76,60,333","1,55,66,896","57,22,248","74,46,597","1,30,15,837","76,79,847","44,97,437","35,30,646","61,03,081","58,73,689","16,27,566","34,76,410","5,32,716","18,45,118","8,66,279","15,93,255","14,17,440","19,95,766","13,45,225","15,70,365","6,26,541","2,62,239","7,13,606","18,87,120","9,08,051","4,29,940","4,50,618","5,60,811","7,02,311","64,65,417","1,66,481","36,65,040","17,91,358","3,26,360","5,40,069","2,72,643","3,20,432","67,454","7,85,155","29,04,652","89,324","71,096","98,289","2,02,856","33,732","2,77,871","99,009","1,47,615","32,788","4,11,539","17,908","12,666","9,115",0
