Var,0049,0182,0075,0030,0081,0128,0065,0093,0224,0061,0019,0198,0129,0073,0038,0231,0036,0046,0130,0086,0216,0223,0122,0233,0094,0138,0099,0057,0234,0078,0229,0236,0232,0227,0031,0125,0186,0211,0059,0225,0003,0226,0058,0113,0136,0011,0220,1490,0133,0188,0184,0200,0219,0235,0132,0121,0091,0083,2090,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANCO COOPERATIVO ESPAÑOL ,BBVA BANCO DE FINANCIACIÓN,OPEN BANK,BANESTO BANCO DE EMISIONES ,DEXIA SABADELL,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,TARGOBANK,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANKIA BANCA PRIVADA,BANCO DEPOSITARIO BBVA ,BANCO CAMINOS,BANCA PUEYO,BANCOPOPULAR-E,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,BANCO CETELEM,BANCO DE DEPÓSITOS,UBS BANK,BNP PARIBAS ESPAÑA ,BANCO INDUSTRIAL DE BILBAO ,ARESBANK ,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,SELF TRADE BANK,NUEVO MICRO BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO PICHINCHA ESPAÑA,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,BANCO CAM,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,30,05,300","1,10,67,048","8,58,199","3,86,668","8,10,251","3,25,688","4,09,796","1,16,242","18,955","1,16,680","89,198","1,11,926","47,517","63,037",0,"1,74,653","7,769","28,921","27,961","11,703","17,161",80,"4,44,446","2,368","3,368","25,892","4,150",0,"26,693","8,459","3,978","61,346","1,667","5,648","11,894","1,464","19,085",729,"8,121",5,"2,390","9,258","2,888",0,"1,693","1,107","1,503","1,595",1,"18,259",73,838,"4,574","1,446",0,0,0,"1,799","3,34,299","2,87,05,789"
2. CARTERA DE NEGOCIACIÓN  ,"10,15,43,994","6,55,84,092","20,33,470","90,62,380","19,50,430","18,23,788","51,694","1,13,362","29,293","76,356","2,05,676","21,27,834","2,40,125",0,0,"1,64,936",0,"4,582",0,"23,367","8,773",0,0,"2,191",242,742,0,0,"1,007",198,0,"5,126","46,477",0,0,0,0,"60,364",817,0,0,814,"1,04,215",0,0,306,452,0,0,0,0,43,0,0,0,0,2,"2,691","1,21,595","18,53,91,434"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2. 2. Crédito a la clientela ,"70,444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,444"
2. 3. Valores representativos de deuda  ,"1,97,44,913","89,46,722","66,147","3,81,594","1,06,024","11,67,110",927,29,0,0,"2,573","16,88,232",0,0,0,0,0,45,0,0,0,0,0,0,2,0,0,0,162,0,0,0,"45,801",0,0,0,0,"33,530",0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,"2,372","26,088","3,22,12,314"
2. 4.  Instrumentos de capital  ,"22,88,260","15,28,214","1,14,964","10,67,037",0,"78,799",0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,"2,032",0,0,0,0,720,0,0,0,676,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,"50,82,044"
2. 5. Derivados de negociación ,"7,94,40,376","5,51,09,156","18,52,359","76,13,749","18,44,406","5,77,879","50,767","1,13,333","29,293","76,356","2,03,103","4,39,361","2,40,125",0,0,"1,64,936",0,"4,537",0,"23,367","8,773",0,0,159,240,742,0,0,125,198,0,"5,126",0,0,0,0,0,"26,481",817,0,0,814,"1,04,215",0,0,306,452,0,0,0,0,0,0,0,0,0,0,319,"94,759","14,80,26,629"
Pro-memoria: Prestados o en garantía  ,"74,99,238","36,13,041","52,528","1,97,014",0,"11,67,109",0,0,0,0,0,"14,71,170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,099",0,0,0,0,"33,431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,40,35,630"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,01,28,292",0,0,0,0,"25,589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,068",0,0,0,0,"11,491",0,0,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,993","2,01,77,277"
