Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0079,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO INVERSIÓN (*),BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"63,16,104","13,84,377","4,01,228","4,50,690","3,02,530","2,08,880","1,73,059",0,"3,51,956","3,76,693","1,44,355","87,742","1,09,337","71,989","98,332","32,594","1,10,467","1,25,387","61,456","42,211","13,761","35,286","1,32,925","26,336","41,259","17,802","22,345","41,239","3,482",1,"3,238","36,365","2,776","30,428","18,174",161,"8,497","12,451","10,694","7,167",335,"10,279","5,751","1,604","5,890","4,746","16,451","2,664","1,664",109,0,"3,761",598,21,35,"7,613","1,978",369,"1,330",109,"1,034",1,651,390,85,250,292,513,22,364,0,0,21,1,0,"1,13,82,705"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,30,15,681","2,12,61,876","56,36,343","1,09,930","15,93,308","38,85,351","42,875","53,921","62,780","27,919","2,747","3,01,493","1,966","2,40,012",298,0,"4,83,671","2,342",0,"2,699","30,842","1,824","12,56,360",0,"2,554","35,713",620,"3,864",0,0,27,"6,847","1,34,112",224,0,"31,516",1,"69,670",0,508,0,0,0,0,100,0,"16,836",0,0,0,0,100,"25,517",0,0,"5,835",694,0,"1,059",0,0,0,0,0,0,0,0,0,0,"72,289",0,0,0,0,0,"7,84,22,324"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,514",0,0,0,0,0,0,0,0,0,0,"16,836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"57,431",0,0,0,0,0,"1,05,781"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,858",0,0,0,0,0,"14,858"
2.4. Valores representativos de deuda ..........................................................................................................,"1,93,13,920","64,84,984","32,62,822",10,"85,075","35,73,126","27,773",0,"45,597",0,0,"5,659",0,0,0,0,"4,63,214",0,0,0,961,0,"10,67,252",0,0,"35,647",0,0,0,0,0,0,"1,067",0,0,0,0,"69,125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,740",0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,44,61,837"
2.5. Otros instrumentos de capital ..........................................................................................................,"81,69,783","22,73,956","6,46,907",0,"8,09,875","1,16,883",79,0,0,0,0,0,0,0,0,0,"19,604","2,253",0,0,0,0,"51,625",0,0,0,0,"3,864",0,0,0,0,"1,26,667",0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,692,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,22,22,484"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,55,31,978","1,25,02,936","17,26,614","1,09,920","6,98,358","1,95,342","15,023","53,921","17,183","27,919","2,747","2,95,834","1,966","2,40,012",298,0,853,89,0,"2,699","29,881","1,824","1,37,483",0,"2,554",66,620,0,0,0,27,"6,847","6,378",224,0,0,1,545,0,508,0,0,0,0,0,0,0,0,0,0,0,100,85,0,0,"5,835",694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,16,17,364"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"96,59,755","52,11,498","28,01,272",0,"83,953","36,50,006",0,0,0,0,0,0,0,0,0,0,"4,58,968",0,0,0,0,0,"5,17,900",0,0,"30,771",0,0,0,0,0,0,0,0,0,0,0,"54,823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,24,76,859"
