Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,CACEIS BANK ESPAÑA,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"24,54,736","22,23,638","6,79,818","3,67,969","6,71,265","6,76,566","2,13,195","3,18,911","1,08,049",0,"99,120","43,743","1,59,890","1,34,659","98,517","1,55,601","36,367","92,990","68,686","57,355","1,877","16,599","40,105","29,769","37,287","1,81,457","6,454","35,685",152,"12,411","14,763","60,929","23,546","38,549",1,"2,519","15,493","5,357","13,667",264,"12,026","7,289","3,478","6,084","2,375","5,691","23,104","1,429","3,024","2,356",876,15,160,"5,726",834,"16,476",45,"2,254",84,229,1,668,287,244,8,"1,022",45,4,0,44,"1,491",1,0,"92,95,329"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,27,07,912","3,33,49,731","48,68,323","19,99,054","1,12,295","34,00,536","60,844","87,182",298,"1,19,301","19,111","40,301","4,01,683",44,"2,83,357","9,388","2,801","4,56,484",0,346,"1,152","97,391",142,"4,925",0,"15,45,330","6,36,555","9,260",0,"21,352","24,486","6,622",156,566,0,6,"2,370","2,961",173,0,"48,722",202,781,0,404,110,0,"24,601",0,0,"31,965",0,0,18,168,"7,204",0,0,"1,276",0,0,0,0,0,39,0,0,0,0,0,0,0,0,"8,03,87,928"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,53,207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,53,207"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"1,69,712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,69,712"
2.4. Valores representativos de deuda ..........................................................................................................,"1,41,99,456","1,14,21,467","13,37,416","80,959","5,620","29,46,172","32,270","50,109",0,0,0,0,"4,361",0,0,0,0,"3,85,039",0,0,0,"6,038",0,0,0,"13,62,613","1,630",0,0,"18,333",0,0,0,0,0,0,0,"2,953",0,0,"37,519",0,0,0,0,0,0,"23,430",0,0,"27,049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,19,42,434"
2.5. Otros instrumentos de capital ..........................................................................................................,"85,53,098","33,87,584","12,24,644","15,63,971",0,"3,38,608","1,030",0,0,0,0,0,0,0,0,"6,393",0,"22,257",0,0,0,0,0,0,0,"58,737","74,814",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,332",0,0,0,0,110,0,200,0,0,"4,916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,52,45,694"
2.6. Derivados de negociación ......................................................................................................................................................................,"99,55,358","1,83,70,968","23,06,263","3,54,124","1,06,675","1,15,756","27,544","37,073",298,"1,19,301","19,111","40,301","3,97,322",44,"2,83,357","2,995","2,801","49,188",0,346,"1,152","91,353",142,"4,925",0,"1,23,980","6,904","9,260",0,"3,019","24,486","6,622",156,566,0,6,"2,370",8,173,0,"1,871",202,781,0,404,0,0,971,0,0,0,0,0,18,168,"7,204",0,0,"1,276",0,0,0,0,0,39,0,0,0,0,0,0,0,0,"3,24,76,881"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"61,57,173","34,43,214","8,28,252","38,058",0,"21,57,473",0,0,0,0,0,0,0,0,0,0,0,"3,86,896",0,0,0,0,0,0,0,"11,72,032","5,46,202",0,0,"8,369",0,0,0,0,0,0,0,0,0,0,"23,593",0,0,0,0,0,0,"18,336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,47,79,598"
