Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS ESPAÑA,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,MICROBANK DE LA CAIXA,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"85,69,989","26,36,248","3,40,517","8,87,457","6,97,307","6,27,031","3,89,689","4,51,305","62,771","8,665","1,75,528","2,00,367","95,935","1,77,191","1,73,216",0,"81,056","40,447","60,080","50,906","49,798","56,646","4,947","1,78,570","45,654","7,689","34,861","3,810","34,884","64,160","20,432","45,486","23,152",1,114,"14,964","4,409","14,081","4,261","7,129","6,484","18,944",920,"5,111","37,326","11,685","3,405","5,692","6,075","1,467","23,364",11,"4,205",115,"1,146",28,19,450,315,0,929,874,220,29,741,29,25,0,28,0,0,"1,64,70,390",
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,30,73,272","4,42,25,249","72,79,650","3,56,493","25,78,955","18,98,800","1,20,296","63,185","10,863","70,616","83,203","55,382","5,57,119","16,302","1,45,412","3,92,726","4,37,140","1,774","7,097",0,"6,762","10,138","76,333","12,04,645","11,767","6,39,572","95,593",0,0,"4,093","7,294","2,089",671,0,0,"3,269",0,"1,075","2,620","60,611",8,"32,802",2,0,0,174,4,0,"1,062","45,767","11,015",0,5,0,135,0,"2,750",0,0,0,171,0,0,0,0,0,0,0,0,0,0,"10,35,93,961",
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,29,510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,29,510",
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"5,79,217",0,0,0,0,0,0,0,0,0,0,"33,040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,12,257",
2.4. Valores representativos de deuda ..........................................................................................................,"1,68,82,890","1,42,84,253","16,68,412",103,"75,157","14,07,161","42,130",0,0,0,0,0,"3,071",0,"1,02,291",0,0,0,0,0,0,0,0,"10,57,461",0,"1,956","17,117",0,0,0,0,0,0,0,0,0,0,0,0,"50,960",0,"16,448",0,0,0,0,0,0,0,"37,328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,56,46,738",
2.5. Otros instrumentos de capital ..........................................................................................................,"1,24,41,569","38,53,036","18,99,014",0,"15,95,522","3,21,363","8,301",0,0,0,0,0,0,"8,495","10,426",0,0,0,0,0,0,0,0,"31,379",0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,"9,637",0,"14,508",0,0,0,174,0,0,0,"3,743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,01,97,227",
2.6. Derivados de negociación ......................................................................................................................................................................,"1,37,48,813","2,55,08,743","37,12,224","3,56,390","9,08,276","1,70,276","69,865","63,185","10,863","70,616","83,203","55,382","5,21,008","7,807","32,695","3,92,726","4,37,140","1,774","7,097",0,"6,762","10,138","76,333","1,15,805","11,767","8,106","78,416",0,0,"4,093","7,294","2,089",671,0,0,"3,269",0,"1,075","2,620",14,8,"1,846",2,0,0,0,4,0,"1,062","4,696","11,015",0,5,0,135,0,"2,750",0,0,0,171,0,0,0,0,0,0,0,0,0,0,"4,65,08,229",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"54,55,501","49,24,141","15,15,303",0,"43,641","9,70,445",0,0,0,0,0,0,0,0,"1,02,097",0,0,0,0,0,0,0,0,"7,40,977",0,"5,74,808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,874",0,0,0,0,0,0,0,"19,687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,43,49,474",
