Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0200,0219,0132,0235,0121,0091,0083,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO GALLEGO,BANCO BANIF,BANCO CAIXA GERAL,GENERAL ELECTRIC CAPITAL BANK,BANCO POPULAR HIPOTECARIO ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANCO DEPOSITARIO BBVA ,BANCA PUEYO,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO CAMINOS,BANCOFAR ,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BBVA BANCO DE FINANCIACIÓN,BANCO DE MADRID ,"FINANZIA, BANCO DE CRÉDITO ","BANCO DE FINANZAS E INVERSIONES, (BANCO MEDIOLANUM)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO CETELEM,EBN BANCO DE NEGOCIOS,BNP PARIBAS ESPAÑA ,ARESBANK ,UBS BANK,BANCO INDUSTRIAL DE BILBAO ,BANCO EUROPEO DE FINANZAS,SELF TRADE BANK,BANCO FINANTIA SOFINLOC ,ALLFUNDS BANK,BANCO ALCALÁ ,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO PICHINCHA ESPAÑA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"87,69,089","59,56,343","5,81,801","9,59,025","10,00,355","2,94,103","2,72,970","6,27,215","1,23,140","82,283","1,27,285","92,890","54,045",0,"70,383","31,119","28,078","59,582","59,664","47,449","96,963","1,629","38,153","89,939","16,763","4,069","26,270",0,"25,315","7,652","6,203","10,132","34,725","15,935","10,639","80,512","12,937","7,939","15,429","6,893",749,"9,574",106,"5,803",3,"2,293","4,325","17,689","18,084",0,945,"1,773","2,204",787,213,"1,623","2,308",0,"1,135",0,0,0,"1,98,14,530"
2. CARTERA DE NEGOCIACIÓN  ,"6,83,92,185","4,96,70,261","9,74,544","58,02,937","13,12,276","33,71,973","1,87,008","29,638","59,675","76,253","21,610","36,050","1,74,515",0,"34,235","4,44,829",99,"93,673","3,402","10,652",0,0,"8,215",0,2,318,"11,318",0,257,"3,618","2,959",0,29,"50,900",0,31,17,788,"1,90,249","3,431",0,607,0,0,0,"33,566","49,495",0,"2,580",0,0,0,"1,346",399,0,0,"1,078",0,0,0,2,0,"13,10,57,020"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2. 2. Crédito a la clientela ,"76,139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"76,139"
2. 3. Valores representativos de deuda  ,"2,47,40,240","1,30,99,755","3,589","3,51,837","2,45,535","26,59,285","1,05,769",345,0,0,0,0,"3,653",0,0,"2,38,660",0,0,0,0,0,0,0,0,0,4,"9,635",0,0,0,"1,783",0,0,"49,446",0,0,0,303,0,"3,006",0,0,0,0,0,"20,846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,15,33,691"
2. 4.  Instrumentos de capital  ,"32,12,544","48,24,610","1,14,683","14,22,835",0,"2,13,635","7,018",0,0,0,0,0,0,0,"34,235","8,449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0,0,"1,454",0,0,0,166,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,"1,078",0,0,0,0,0,"98,42,251"
2. 5. Derivados de negociación ,"4,03,63,262","3,17,45,896","8,56,272","40,28,265","10,66,741","4,99,053","74,221","29,293","59,675","76,253","21,610","36,050","1,70,862",0,0,"1,97,720",99,"93,673","3,402","10,652",0,0,"8,215",0,2,314,"1,683",0,257,"3,618",197,0,29,0,0,31,17,319,"1,90,249",425,0,607,0,0,0,"12,155","49,495",0,"2,580",0,0,0,"1,346",399,0,0,0,0,0,0,0,0,"7,96,04,937"
Pro-memoria: Prestados o en garantía  ,"91,69,314","89,70,709",0,"1,80,982",0,"24,14,561",0,0,0,0,0,0,0,0,0,"1,35,575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,084",0,0,0,0,0,0,0,0,0,0,0,"5,696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,08,78,921"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,00,44,792",0,0,0,0,"21,234","1,96,597",0,0,0,0,0,0,0,0,0,0,0,"1,584",0,0,0,0,0,"5,390",0,0,0,0,0,"21,152",0,0,"1,215",0,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,02,92,921"
3. 1. Depósitos en entidades de crédito  ,"1,07,95,871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,07,95,871"
3. 2. Crédito a la clientela  ,"92,48,921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"92,48,921"
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,"1,96,597",0,0,0,0,0,0,0,0,0,0,0,"1,584",0,0,0,0,0,0,0,0,0,0,0,"21,152",0,0,"1,215",0,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,21,505"
3. 4. Instrumentos de capital  ,0,0,0,0,0,"21,234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,624"
Pro-memoria: Prestados o en garantía  ,"1,11,01,942",0,0,0,0,0,"1,96,597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,12,98,539"
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,31,06,153","2,85,54,743","1,32,96,926","89,71,126","1,04,83,924","42,48,380","22,76,096","43,27,138","16,41,511",0,"1,48,304","13,29,504","4,263",0,0,"17,85,283",832,"40,85,900","2,52,060","10,09,137","1,14,097",0,63,"6,310","2,40,663","1,578","49,858",0,"1,82,619","16,639","1,49,600",32,"3,174","4,63,718",301,"53,848","30,629","30,072",61,"9,255",7,"4,00,317",8,0,0,"68,964","1,793",0,519,"1,290","28,505","18,685","1,22,519",32,"14,863",260,0,0,"11,119",0,507,0,"10,75,43,185"
4. 1. Valores representativos de deuda ,"2,21,76,725","2,38,46,683","1,29,94,870","84,84,161","96,61,430","41,94,367","22,36,192","43,18,019","16,07,944",0,"94,321","13,10,088",288,0,0,"17,73,744",0,"40,85,900","2,18,474","8,44,689","1,13,608",0,0,0,"2,38,045",0,"48,954",0,"1,71,009","12,521","1,41,975",0,"2,319","4,63,718",0,"44,755","30,629","27,212",0,"3,726",0,"3,51,917",0,0,0,"4,703",6,0,0,0,"24,755","18,682","1,22,517",0,0,0,0,0,"11,119",0,0,0,"9,96,80,065"
4. 2. Instrumentos de capital  ,"9,29,428","47,08,060","3,02,056","4,86,965","8,22,494","54,013","39,904","9,119","33,567",0,"53,983","19,416","3,975",0,0,"11,539",832,0,"33,586","1,64,448",489,0,63,"6,310","2,618","1,578",904,0,"11,610","4,118","7,625",32,855,0,301,"9,093",0,"2,860",61,"5,529",7,"48,400",8,0,0,"64,261","1,787",0,519,"1,290","3,750",3,2,32,"14,863",260,0,0,0,0,507,0,"78,63,120"
Pro-memoria: Prestados o en garantía  ,"1,15,12,880","53,19,169","89,26,099","60,43,666","56,51,732","32,58,689","17,85,740","43,27,138","14,65,010",0,"13,329","10,13,131",81,0,0,"3,25,638",0,"25,56,834","1,12,560","3,68,798",0,0,0,0,0,0,"25,512",0,"1,16,050",0,"43,307",0,"1,396",0,0,0,0,"6,672",0,0,0,"1,72,704",0,0,0,"3,267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,30,49,402"
5. INVERSIONES CREDITICIAS  ,"22,84,20,236","27,00,76,646","10,45,60,573","8,40,43,669","7,14,96,725","4,53,42,280","2,47,83,551","2,71,09,166","2,11,19,698","2,21,78,080","84,90,716","52,81,666","1,59,99,996","31,82,627","37,69,460","85,77,155","66,63,683","1,31,00,893","36,60,442","52,89,677","61,45,310","12,43,875","21,18,175","28,31,093","5,19,400","16,49,327","15,37,241","9,99,304","7,22,134","11,25,155","6,52,481","17,75,898","20,29,424","5,79,112","13,23,011","5,16,042","9,00,435","3,98,605","18,69,172","7,65,894","76,00,918","1,76,216","30,84,108","3,21,980","29,72,748","2,71,496","7,08,038","5,42,762","8,29,766","69,329","1,07,288","78,407","28,384","2,87,015","25,186","1,07,861","1,15,613","33,087","27,540","17,851","12,165","9,150","1,02,02,74,935"
5. 1. Depósitos en entidades de crédito ,"4,45,47,941","2,93,42,783","93,60,888","89,38,998","41,67,145","12,00,727","14,63,647","9,42,847","3,74,602","1,60,07,491","6,20,586","14,08,644","8,74,583","31,82,627","36,48,265","80,65,979","50,46,185","8,58,250","56,564","3,85,072","7,95,242","12,243","73,951","11,80,413","4,37,938","13,18,598","51,146","9,73,118","50,607","3,10,542","53,713","38,378","44,453","4,05,197","2,51,061","10,308","1,993","25,728","18,69,150","1,76,755","26,97,218","43,743","30,83,754","2,21,204","1,13,584","21,678","88,204","4,49,096","2,42,840","69,329","1,06,434","60,417","27,347","2,85,340","14,876","30,745","39,710","33,087","23,012","17,829","9,164","9,150","15,62,62,119"
5. 2. Crédito a la clientela  ,"17,42,24,849","23,93,84,915","9,51,99,685","7,50,31,192","6,73,29,580","4,41,41,553","2,24,06,283","2,61,66,319","1,89,31,073","44,95,095","78,70,130","38,73,022","1,51,25,413",0,"26,650","5,11,176","16,17,498","1,22,42,643","36,03,878","49,04,605","49,44,187","12,31,632","20,44,224","16,50,680","81,462","3,30,729","14,86,095","26,186","6,71,527","8,14,613","5,98,768","17,37,520","19,84,971","1,73,915","10,71,950","5,05,734","8,98,442","3,72,877",22,"5,89,139","49,03,700","1,32,473",354,"1,00,776","28,59,164","2,49,818","6,19,834","93,666","5,86,926",0,854,"17,990","1,037","1,675","10,310","77,080","74,407",0,"4,528",22,"3,001",0,"84,80,37,847"
5. 3. Valores representativos de deuda  ,"96,47,446","13,48,948",0,"73,479",0,0,"9,13,621",0,"18,14,023","16,75,494",0,0,0,0,"94,545",0,0,0,0,0,"4,05,881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"1,496",0,0,0,0,0,"1,59,74,969"
Pro-memoria: Prestados o en garantía  ,"36,89,274","4,48,86,877","3,26,72,243","33,058","7,45,516",0,"44,24,506","5,63,168","1,15,24,611","13,50,000","1,01,358",0,"3,44,725",0,0,0,"11,54,579",0,0,"21,321","4,45,881",0,0,0,0,"10,00,750","4,44,174",0,0,"30,087","30,156",0,0,"13,409",0,0,0,0,0,0,"19,17,545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,53,93,238"
6. CARTERA DE INVERSIÓN A VENCIMIENTO ,0,"93,34,114","68,41,042","34,16,966",0,"32,60,703","20,91,100",0,0,0,0,0,0,0,0,0,0,0,"6,75,649",0,"7,47,925",0,0,0,"4,52,343",0,"75,131",0,"28,163",0,"1,01,631",0,0,0,0,"21,577",0,"55,110",0,0,0,0,0,0,0,"3,57,379",0,0,0,0,"12,170","20,411",0,0,"89,752",0,0,0,0,0,0,0,"2,75,81,166"
Pro-memoria: Prestados o en garantía  ,0,"14,77,983","49,78,573","32,10,581",0,"6,11,831","2,41,654",0,0,0,0,0,0,0,0,0,0,0,"2,12,617",0,"7,47,925",0,0,0,0,0,"26,885",0,0,0,"67,464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,05,476",0,0,0,0,0,188,0,0,"83,011",0,0,0,0,0,0,0,"1,19,64,188"
7. AJUSTES A ACTIVOS FINANCIEROS POR MACRO-COBERTURAS ,0,"-12,870",0,"11,396",0,"-9,735","4,932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-6,277"
8. DERIVADOS DE COBERTURA ,"30,83,004","21,69,132","5,39,238","10,47,981","2,10,317","1,34,248","1,01,042","52,754","3,099","52,146","63,744","9,321","1,16,525",0,0,0,0,"1,65,674","8,253",0,"3,076",0,325,0,"2,23,294",0,0,0,0,0,0,0,"1,735",0,0,0,"6,333",0,0,0,"3,262",0,"57,900",0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80,52,432"
9. ACTIVOS NO CORRIENTES EN VENTA ,"12,70,592","11,44,064","13,11,283","12,42,000","2,10,171","27,756","2,31,089","59,535","1,31,578","50,935","37,361","77,928","33,049",0,0,0,0,0,"1,422","21,321","18,641","35,521",142,0,0,0,"7,146",0,"2,786",0,0,0,"29,125",0,426,948,134,"1,984",0,0,495,0,0,0,0,"1,475",0,58,0,0,0,0,21,0,0,"2,698",0,0,0,0,0,0,"59,51,684"
10. PARTICIPACIONES ,"6,59,70,486","2,87,01,459","18,11,951","6,47,250","14,91,533","5,46,867","1,71,262","26,792","3,57,528","42,54,843","3,32,825","2,14,885","17,733",0,33,"20,883","1,15,274",0,"31,171","5,87,284",6,"3,46,231",0,"57,434","12,333","1,236","4,921",0,"2,119",0,"28,319",0,698,"1,07,400","9,234",640,0,"8,802",7,"2,301","1,13,613","4,350","3,01,455",0,661,"19,169","23,290","4,043","8,527","1,45,058","10,000",0,0,"10,110","1,112","4,760",0,0,50,11,14,0,"10,65,27,963"
10. 1. Entidades asociadas ,"1,27,224","35,33,876","32,283","23,824","3,09,569","3,412","5,715",0,"45,963",0,0,456,0,0,33,"9,434",0,0,"12,201","15,376",0,"3,46,231",0,0,0,0,0,0,0,0,0,0,0,0,41,634,0,"2,160",3,0,46,0,0,0,0,"7,209",0,0,0,264,"10,000",0,0,0,0,71,0,0,0,5,0,0,"44,86,030"
10. 2. Entidades multigrupo ,"4,99,758","43,57,318","1,33,906","84,492","7,443",162,"2,398",0,"53,261","12,160",0,"1,503","2,204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,4,0,211,0,0,0,0,"9,952",0,0,0,0,0,0,0,0,0,201,0,0,0,6,0,0,"51,65,033"
10. 3. Entidades del grupo ,"6,53,43,504","2,08,10,265","16,45,762","5,38,934","11,74,521","5,43,293","1,63,149","26,792","2,58,304","42,42,683","3,32,825","2,12,926","15,529",0,0,"11,449","1,15,274",0,"18,970","5,71,908",6,0,0,"57,434","12,333","1,236","4,921",0,"2,119",0,"28,319",0,698,"1,07,400","9,139",6,0,"6,642",0,"2,301","1,13,356","4,350","3,01,455",0,661,"2,008","23,290","4,043","8,527","1,44,794",0,0,0,"10,110","1,112","4,488",0,0,50,0,14,0,"9,68,76,900"
11. CONTRATOS DE SEGUROS VINCULADOS A PENSIONES ,"28,54,766","18,47,858","35,152","14,01,629","1,70,595","7,789","25,086","40,918","16,064","22,554","2,102",0,0,0,0,0,198,34,0,"1,267","29,816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,"29,823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64,85,814"
13. ACTIVO MATERIAL ,"12,54,436","14,72,780","3,12,558","9,90,156","6,13,967","3,73,198","1,30,569","1,31,743","2,13,510",42,"1,31,839","53,500","51,564",0,5,"1,803",0,100,"61,425","29,341","21,849","1,274","14,766","8,354","1,706","8,685","26,674",0,"13,386","36,085","2,611","3,381","3,479","7,423",187,"18,077",423,"7,148",0,"5,995","2,970","7,273",18,29,"1,649","43,806",905,"34,650","2,417",81,277,374,"1,573","3,546","1,270","1,865","2,713",0,366,0,0,0,"61,09,821"
13. 1. Inmovilizado material ,"12,52,217","14,71,911","3,04,789","9,61,258","6,08,593","3,73,198","1,14,162","1,31,620","1,92,961",42,"1,31,839","45,416","45,981",0,5,"1,803",0,100,"61,425","29,341","21,849","1,274","14,766","8,354","1,706","8,685","23,705",0,"11,799","36,085","2,607","3,208","3,479","7,423",187,"10,347",423,"7,148",0,"5,995","2,970","7,273",18,29,"1,649","43,806",905,"19,848","2,417",81,277,374,"1,573","3,546","1,270","1,865","2,713",0,366,0,0,0,"59,86,681"
13. 1. 1.  De uso propio ,"7,51,675","14,71,911","3,04,789","9,61,258","6,08,593","3,61,730","1,14,162","1,31,620","1,92,961",42,"1,04,051","45,416","45,981",0,5,"1,803",0,100,"61,425","29,341","21,849","1,274","14,766","8,354","1,706","8,685","23,705",0,"11,799","36,085","2,607","3,208","3,479","7,423",187,"10,347",423,"7,148",0,"5,995","2,970","7,273",18,29,"1,649","43,806",905,"19,848","2,417",81,277,374,"1,573","3,546","1,270","1,865","2,713",0,366,0,0,0,"54,46,883"
13. 1. 2.  Cedido en arrendamiento operativo ,"5,00,542",0,0,0,0,"11,468",0,0,0,0,"27,788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,39,798"
