Var,0049,0182,0081,0075,0128,0065,0093,0129,0224,0061,0019,0038,0073,0198,0036,0046,0130,0122,0216,0231,0057,0138,0229,0234,0078,0223,0099,0236,0232,0031,0227,0233,0125,0094,0186,0211,0059,0226,0083,0225,0058,0220,0136,0003,0011,0133,1490,0188,0184,0113,0200,0235,0219,0132,0238,0121,0091,,,,0151
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO DE SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BARCLAYS BANK ,BANCO DE VALENCIA,BBVA BANCO DE FINANCIACIÓN,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,TARGOBANK,DEXIA SABADELL,BANCO DEPOSITARIO BBVA ,BANKOA ,BANCOPOPULAR-E,BANCO CAMINOS,BANCA PUEYO,GENERAL ELECTRIC CAPITAL BANK,BANKIA BANCA PRIVADA,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,BANCO ETCHEVERRÍA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCOFAR ,RBC INVESTOR SERVICES ESPAÑA,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,UBS BANK,RENTA 4 BANCO,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO DE DEPÓSITOS,ALLFUNDS BANK,NUEVO MICRO BANK,SELF TRADE BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,BANCO INDUSTRIAL DE BILBAO ,PRIVAT BANK DEGROOF,BANCO PICHINCHA ESPAÑA,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO POPULAR PASTOR,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,TOTAL BANCOS,,ACTIVO,JP MORGAN CHASE BANK NATIONAL ASSOCIATION
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"49,79,814","36,44,028","12,44,917","14,56,215","2,94,037","4,67,317","65,818","56,424","14,385","5,58,591","77,751",0,"47,851","2,06,432","18,685","52,653","70,419","2,00,437","24,559","14,452",0,"28,340","3,994","23,483","24,675","3,630","9,245","24,268","2,419","1,30,478","5,961","2,936","4,809","5,497","18,495","2,368","2,875","13,759","1,976",3,"2,242","1,996","1,388","1,344","1,455",0,"1,384","1,237",70,0,459,"2,210",646,0,0,0,0,"1,38,18,427",,1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"7,774"
2. CARTERA DE NEGOCIACIÓN  ,"9,44,91,845","5,86,88,682","16,70,519","15,65,324","25,89,485","18,662","57,684","2,71,864","7,801","75,974","1,40,015",0,0,"40,41,198",0,"4,637",0,0,"6,558","1,38,788",0,460,0,"1,304",97,0,"49,496",329,"14,472",0,0,193,0,211,0,"82,763","7,152",809,582,0,"19,635",376,0,0,180,0,0,0,0,0,0,0,0,0,0,0,2,"16,39,47,097",,2. CARTERA DE NEGOCIACIÓN  ,0
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,2. 1. Depósitos en entidades de crédito  ,0
2. 2. Crédito a la clientela ,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,,2. 2. Crédito a la clientela ,0
2. 3. Valores representativos de deuda  ,"2,32,70,432","1,39,40,635","3,18,681","27,397","19,50,197",718,0,0,0,0,"1,861",0,0,"35,38,228",0,63,0,0,0,0,0,0,0,260,0,0,0,0,"13,074",0,0,0,0,0,0,"62,846","6,490",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,31,31,132",,2. 3. Valores representativos de deuda  ,0
2. 4.  Instrumentos de capital  ,"37,92,642","27,25,114",0,"1,32,182","64,791",0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,845,0,0,0,0,"1,398",0,0,0,0,0,0,218,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67,17,698",,2. 4.  Instrumentos de capital  ,0
2. 5. Derivados de negociación ,"6,74,28,527","4,20,22,933","13,51,838","14,05,745","5,74,497","17,944","57,684","2,71,864","7,801","75,974","1,38,154",0,0,"5,02,696",0,"4,574",0,0,"6,558","1,38,788",0,460,0,199,97,0,"49,496",329,0,0,0,193,0,211,0,"19,699",428,809,332,0,"19,635",376,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,"11,40,98,021",,2. 5. Derivados de negociación ,0
Pro-memoria: Prestados o en garantía  ,"2,21,39,226","54,59,457",0,0,"19,50,197",0,0,0,0,0,0,0,0,"14,26,862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,081",0,0,0,0,0,0,"59,491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,10,37,314",,Pro-memoria: Prestados o en garantía  ,0
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"3,21,11,685",0,0,0,"45,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,520",0,0,0,0,0,0,0,"5,173",0,0,0,0,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,21,71,345",,3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,0
