Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0079,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO INVERSIÓN (*),BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"52,13,760","36,98,819","6,73,987","6,14,470","5,55,336","2,57,881","1,79,626",0,"2,47,506","5,79,475","72,038","1,59,035","1,63,376","73,295","6,603","59,962","1,49,017","1,03,137","57,971","64,732","9,385","60,850","1,92,074","33,836","31,661","18,586","43,811","18,066","1,528",1,"3,678","22,996","6,595","32,370","17,202",202,"7,958","14,235","12,226","7,459",272,"9,879","7,236","1,029","10,879","4,133","16,096","2,385","1,651",130,,"4,005","1,021",25,16,"7,997","2,031",198,"1,223",188,"1,124",1,677,498,53,251,271,117,26,249,0,0,25,1,0,"1,35,38,432"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,36,50,499","1,28,80,204","50,41,032","74,298","14,76,162","26,82,774","28,623","1,96,768","75,288","38,327",0,"2,54,979","24,309","1,02,408",351,0,"2,08,772",196,0,651,"33,751","4,557","11,42,719",0,843,"1,51,273",665,"1,359",0,0,24,"5,292","29,248","1,084",500,0,639,"2,69,342",0,267,0,0,0,0,101,0,"23,999",1,0,0,,38,"18,026",0,0,"1,106",681,0,159,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,84,21,362"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,999",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,999"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,95,20,243","49,76,609","30,81,155","1,038","93,903","24,19,653",893,0,"58,940",0,0,"2,943",0,0,0,0,"1,62,344",0,0,0,0,0,"9,86,781",0,0,"1,42,262",0,0,0,0,0,0,"2,554",0,0,0,639,"2,68,730",0,0,0,0,0,0,0,0,0,0,0,0,,0,"16,760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,17,35,447"
2.5. Otros instrumentos de capital ..........................................................................................................,"38,61,928","25,72,595","5,53,680",0,"8,51,489","97,175",877,0,0,0,0,0,0,0,0,0,"21,370",0,0,0,0,0,"44,971",0,0,11,0,0,0,0,0,0,"24,723",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,,0,"1,124",0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80,30,201"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,02,68,328","53,31,000","14,06,197","73,260","5,30,770","1,65,946","26,853","1,96,768","16,348","38,327",0,"2,52,037","24,309","1,02,408",351,0,"25,058",196,0,651,"33,751","4,557","1,10,967",0,843,"9,000",665,"1,359",0,0,24,"5,292","1,971","1,084",500,0,0,612,0,267,0,0,0,0,2,0,0,1,0,0,,38,142,0,0,"1,106",681,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,86,31,716"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"1,09,04,917","44,74,189","27,89,019",0,"82,245","23,89,459",0,0,0,0,0,0,0,0,0,0,"1,61,451",0,0,0,0,0,"5,93,903",0,0,"1,36,472",0,0,0,0,0,"1,088",0,0,0,0,0,"2,40,689",0,0,0,0,0,0,0,0,0,0,0,0,,0,"3,339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,17,76,771"
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,"2,17,429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,"2,17,702"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
