Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO SIMEON,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"69,12,933","12,08,240","2,63,027","7,69,552","6,93,005","1,75,167","2,06,621","3,61,289","1,54,107",0,"95,543","3,36,752","1,63,637","1,41,143","1,12,594","1,41,187","10,842","92,724","66,157","57,595","1,543","18,333","49,748","30,781","29,692","1,42,583","9,621","36,045",143,"14,484","11,540","46,051","23,920","29,764",1,"3,102","11,654","5,934","13,946",112,"10,816","5,220","3,708","5,954","4,110","6,760","25,907","1,333","2,980","2,231","59,827",17,114,"3,372",832,"15,728",49,"1,267",117,210,1,911,286,253,1,"3,180",49,7,0,49,"1,535",1,0,"1,25,97,937"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"2,81,87,289","2,38,12,942","47,71,778","16,52,484","84,972","37,20,380","63,979","80,245",814,"1,85,073","26,897","35,308","3,23,259",1,"3,01,839","8,321","1,056","4,56,738",0,169,0,"1,04,661",139,"4,441",0,"16,60,602","34,383",47,3,"17,244","25,580","7,970",217,126,0,17,"36,347","2,957",124,0,"41,025",6,"1,038",0,404,110,"15,232","16,672",0,0,"2,207",0,0,401,212,"6,270",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,"6,56,91,998"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,232"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"69,268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"69,268"
2.4. Valores representativos de deuda ..........................................................................................................,"1,12,42,779","88,04,295","12,80,355","82,433","1,326","33,78,992","36,357","46,556",0,0,0,0,"3,591",0,0,0,0,"3,91,150",0,0,0,"5,962",0,0,0,"14,71,005","4,056",0,0,"11,589",0,0,0,0,0,0,0,"2,948",0,0,"32,755",0,0,0,0,0,0,"15,204",0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,68,11,640"
2.5. Otros instrumentos de capital ..........................................................................................................,"62,90,817","20,37,167","12,74,286","12,74,717",0,"2,19,460","4,253",0,0,0,0,0,0,0,0,"6,577",0,"26,777",0,0,0,0,0,0,0,"29,556","23,543",0,3,183,0,0,0,0,0,0,0,0,0,0,"6,320",0,0,0,0,110,0,852,0,0,"2,207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,11,96,828"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,06,53,693","1,29,02,212","22,17,138","2,95,334","83,646","1,21,928","23,369","33,689",814,"1,85,073","26,897","35,308","3,19,668",1,"3,01,839","1,745","1,056","38,811",0,169,0,"98,699",139,"4,441",0,"1,60,041","6,784",47,0,"5,472","25,580","7,970",217,126,0,17,"36,347",9,124,0,"1,950",6,"1,038",0,404,0,0,616,0,0,0,0,0,114,212,"6,270",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,"2,75,99,032"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"30,67,847","67,32,156","7,85,202","3,28,246",0,"30,39,196",0,0,0,0,0,0,0,0,0,0,0,"3,92,227",0,0,0,0,0,0,0,"12,47,752",0,0,0,"7,275",0,0,0,0,0,0,0,0,0,0,"1,330",0,0,0,0,0,0,"10,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,56,11,931"
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,"33,120","40,254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,385"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
