Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0131old,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO ESPIRITO SANTO ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS ESPAÑA,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,BANCO DE EUROPA ,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"69,73,454","15,18,474","4,74,937","8,27,753","14,52,628","2,54,723","6,68,064","2,47,323","1,15,864","1,14,415","1,51,178","6,944","2,65,632","1,27,891","64,396",0,"87,788","42,066","61,242","74,478","47,821","35,177","2,652","1,09,895","36,915","25,684","18,849","2,841","23,915","55,092","9,387","24,179","29,617","21,680",1,46,"13,497","1,618","10,929","6,558","10,994","7,061","11,518","3,387","5,097","44,504","7,457","3,052","5,625","5,295","1,767","19,041",9,"6,659",155,"1,027",32,73,293,395,0,10,600,296,43,663,33,7,0,32,0,0,"1,41,40,728"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,75,90,840","3,47,02,114","68,73,839","1,67,578","22,13,297","35,57,060","98,831","74,962","2,976","80,877","72,430","42,994","4,56,302","38,329","1,42,292","3,76,500","4,65,053","1,509","3,291",0,"2,439","11,420","1,20,925","16,46,931","9,700","5,43,548","1,17,195",0,0,"3,684","16,240","7,219",599,292,0,0,"3,714",0,865,"2,096","29,851",63,"46,004",2,0,0,191,0,0,913,"30,344","7,421",0,11,0,183,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,"8,95,62,944"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,36,801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,36,801"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"6,37,473",0,0,0,0,0,0,0,0,0,0,"3,456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,40,929"
2.4. Valores representativos de deuda ..........................................................................................................,"1,67,55,706","1,17,12,778","27,02,308",288,"88,626","30,80,765","19,568",0,0,0,0,0,"4,712",0,"1,02,648",0,0,0,0,0,0,0,0,"14,91,412",0,"1,405","8,153",0,0,0,0,54,0,0,0,0,0,0,0,0,"22,453",0,"28,709",0,0,0,0,0,0,0,"25,011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,60,44,596"
2.5. Otros instrumentos de capital ..........................................................................................................,"88,09,619","26,04,480","15,15,657",0,"15,42,183","3,17,635","20,506",0,0,0,0,0,0,"8,528","12,204",0,0,0,0,0,0,0,0,"32,333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,382",0,"15,230",0,0,0,191,0,0,0,"3,435",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,48,89,383"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,20,25,515","1,97,47,383","26,55,874","1,67,290","5,82,488","1,58,660","58,757","74,962","2,976","80,877","72,430","42,994","4,48,134","29,801","27,440","3,76,500","4,65,053","1,509","3,291",0,"2,439","11,420","1,20,925","1,23,186","9,700","5,342","1,09,042",0,0,"3,684","16,240","7,165",599,292,0,0,"3,714",0,865,"2,096",16,63,"2,065",2,0,0,0,0,0,913,"1,898","7,421",0,11,0,183,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,"3,74,51,235"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"64,01,907","40,79,102","23,39,664",0,"57,983","26,05,468",0,0,0,0,0,0,0,0,"1,02,317",0,0,0,0,0,0,0,0,"12,67,769",0,"5,19,687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,708",0,0,0,0,0,0,0,"7,417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,73,97,022"
