Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0099,0229,0142,0129,0059,0009,0186,0063,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0133,0200,0219,0132,0235,0121,0091,0083,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO GALLEGO,BANCO BANIF,BANCO CAIXA GERAL,GENERAL ELECTRIC CAPITAL BANK,BANCO POPULAR HIPOTECARIO ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANCO DEPOSITARIO BBVA ,BANCA PUEYO,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO CAMINOS,BANCOFAR ,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,ALTAE BANCO,BANCOPOPULAR-E,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BBVA BANCO DE FINANCIACIÓN,BANCO DE MADRID ,"FINANZIA, BANCO DE CRÉDITO ","BANCO DE FINANZAS E INVERSIONES, (BANCO MEDIOLANUM)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO CETELEM,EBN BANCO DE NEGOCIOS,BNP PARIBAS ESPAÑA ,ARESBANK ,UBS BANK,BANCO INDUSTRIAL DE BILBAO ,BANCO EUROPEO DE FINANZAS,SELF TRADE BANK,BANCO FINANTIA SOFINLOC ,ALLFUNDS BANK,BANCO ALCALÁ ,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO PICHINCHA ESPAÑA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,04,74,265","66,93,419","3,89,733","6,66,681","8,41,210","4,14,152","3,44,022","6,18,221","3,08,183","58,897","99,978","1,46,690","52,861",0,"81,400","6,68,762","43,826","31,325","59,020","58,389","21,979","2,048","38,121","86,259","10,383","3,629","14,440",0,"25,493","13,585","13,494","11,292","41,326","6,919","10,875","1,06,222","11,135","5,182","20,007","15,853","4,518",545,"13,961",106,"5,737",3,"6,986","4,428","4,591","14,799",0,831,"1,769","1,950",688,214,1,"1,324","1,579",0,942,0,0,0,"2,25,74,248"
2. CARTERA DE NEGOCIACIÓN  ,"6,20,70,207","4,35,96,870","11,53,532","62,79,079","9,64,805","24,19,397","1,03,841","44,436","67,277","92,237","19,280","46,558","1,77,282",0,"34,211","5,02,462",0,"92,069","2,911","11,597",0,0,"10,098",0,2,211,"1,968",0,209,"2,853","1,077",0,3,"47,240",0,31,0,17,771,"2,98,983",490,0,524,0,0,0,"14,140","39,787",0,"1,316",0,0,0,"1,632",780,0,0,0,"1,437",0,0,0,2,0,"11,81,01,622"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2. 2. Crédito a la clientela ,"42,865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,865"
2. 3. Valores representativos de deuda  ,"2,18,02,213","93,82,757","18,584","3,71,853","1,16,358","16,10,390","15,875","2,074","8,666",0,0,0,"3,374",0,0,"2,89,715",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"46,147",0,0,0,0,245,0,0,0,0,0,0,0,"2,375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,36,70,630"
2. 4.  Instrumentos de capital  ,"26,66,338","35,40,992","1,78,596","18,61,997",0,"2,07,718","8,772",0,0,0,0,0,0,0,"34,211","9,709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,"1,093",0,0,0,0,261,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,"1,437",0,0,0,0,0,"85,12,616"
2. 5. Derivados de negociación ,"3,75,58,791","3,06,73,121","9,56,352","40,45,229","8,48,447","6,01,289","79,194","42,362","58,611","92,237","19,280","46,558","1,73,907",0,0,"2,03,038",0,"92,069","2,911","11,597",0,0,"10,098",0,2,207,"1,968",0,209,"2,853",202,0,3,0,0,31,0,17,265,"2,98,983",490,0,524,0,0,0,"11,148","39,787",0,"1,316",0,0,0,"1,632",780,0,0,0,0,0,0,0,0,0,"7,58,75,508"
Pro-memoria: Prestados o en garantía  ,"33,46,639","49,71,699",0,"1,47,603",0,"11,56,196",0,0,0,0,0,0,0,0,0,"1,75,330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"97,99,546"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,85,75,121",0,0,0,0,"28,772","3,91,096",0,0,0,0,0,0,0,0,0,0,0,"1,570",0,0,0,0,0,"5,507",0,0,0,0,0,"21,679",0,0,"1,235",0,0,0,0,0,0,"1,001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,90,25,981"
