Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0079,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO INVERSIÓN (*),BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"18,44,157","12,38,283","6,15,337","5,08,327","9,96,402","3,28,715","2,00,897",0,"2,10,595","69,960","72,602","2,36,868","1,55,654","83,894","54,584","24,643","1,17,587","1,12,973","57,355","57,873","13,430","61,466","82,732","52,570","23,653","9,222","38,728","10,741","1,527",1,"3,080","39,520","2,058","35,785","18,362",218,"7,984","8,967","13,620","6,890",273,"11,009","5,648",52,"5,814","3,086","19,896","2,573","1,838",106,,"5,000",123,22,16,"10,670","1,512",171,"2,086",198,"1,255",1,611,490,45,252,259,264,23,272,0,0,22,1,0,"74,90,848"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,59,23,576","1,60,58,511","55,23,802","1,05,528","14,85,589","35,29,931","54,161","1,96,768","1,10,850","34,857",0,"2,80,324","24,252","2,37,560",300,0,"3,10,518","1,498",0,612,"23,871","4,536","12,59,355",0,"1,162","1,10,641",583,"1,224",0,0,72,"3,229","28,607","1,071",64,0,139,"2,69,308",0,288,0,0,0,0,99,0,"11,354",1,4,0,,90,"22,162",0,0,"9,788",690,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,56,27,337"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,354",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,354"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,68,91,537","54,88,970","31,60,616","1,040","81,472","31,10,721","17,844",0,"88,652",0,0,"2,922",0,0,0,0,"2,68,399",0,0,0,0,0,"10,91,111",0,0,"98,773",0,0,0,0,0,0,"2,554",0,0,0,1,"2,68,668",0,0,0,0,0,0,0,0,0,0,0,0,,0,"22,020",0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,05,95,439"
2.5. Otros instrumentos de capital ..........................................................................................................,"60,65,569","37,61,647","7,54,438",0,"8,63,513","2,03,846",0,0,0,0,0,0,0,0,0,0,"20,025","1,299",0,0,0,0,"47,991",0,0,"1,242",0,0,0,0,0,0,"24,723",0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,17,44,613"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,29,66,470","68,07,894","16,08,748","1,04,488","5,40,604","2,15,364","36,317","1,96,768","22,198","34,857",0,"2,77,402","24,252","2,37,560",300,0,"22,094",199,0,612,"23,871","4,536","1,20,253",0,"1,162","10,626",583,"1,224",0,0,72,"3,229","1,330","1,071",64,0,138,640,0,288,0,0,0,0,2,0,0,1,4,0,,90,142,0,0,"9,788",690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,32,75,931"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"81,81,689","32,98,803","28,06,757",0,"73,334","33,84,325",0,0,0,0,0,0,0,0,0,0,"2,79,325",0,0,0,0,0,"5,64,046",0,0,"95,582",0,0,0,0,0,"1,022",0,0,0,0,0,"2,22,365",0,0,0,0,0,0,0,0,0,0,0,0,,0,"7,120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,89,14,368"
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,0,0,0,0,"12,639",0,0,0,0,0,"2,17,858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,30,497"
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,"2,17,858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,17,858"
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"12,639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,639"
