Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,CACEIS BANK ESPAÑA,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"10,30,580","10,52,187","4,09,685","6,27,701","7,76,461","2,12,981","2,21,672","3,36,625","78,482",0,"66,975","13,392","2,85,358","1,54,307","1,15,066","1,15,612","26,597","69,238","63,660","58,210","2,141","37,046","44,214","38,234","64,892","4,98,240","11,934","34,734",180,"23,898","30,688","62,543","22,518","31,336",1,"2,063","13,214","5,628","15,489",120,"14,540","6,515","4,088","6,022","5,323","3,916","29,703",313,"2,989","1,809","1,665",15,100,"4,514",854,"16,277",46,"1,392",63,247,1,686,288,280,13,127,47,8,0,46,"1,625",1,0,"67,57,415"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,14,07,663","3,02,27,420","50,66,289","14,39,294","95,470","35,20,855","58,075","88,182",619,"1,30,635","25,651","44,067","3,88,879",1,"2,90,496","9,640","2,336","4,60,618",0,420,564,"98,928",37,"5,098",0,"15,81,472","22,314",7,3,"26,273","31,969","6,422",188,103,0,51,"2,395","4,690",187,0,"45,477",236,763,0,404,108,0,"36,667",0,0,"4,883",0,0,26,47,"27,042",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,"7,51,52,984"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"70,812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,812"
2.4. Valores representativos de deuda ..........................................................................................................,"1,32,57,582","1,04,91,524","13,65,192","1,03,319","1,164","30,65,320","29,196","53,885",0,0,0,0,"4,470",0,0,0,0,"3,91,598",0,0,0,"3,614",0,0,0,"14,18,732","4,173",0,0,"18,396",0,0,0,0,0,0,0,"4,682",0,0,"34,818",0,0,0,0,0,0,"34,636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,02,82,301"
2.5. Otros instrumentos de capital ..........................................................................................................,"77,68,502","34,07,378","14,85,491","8,93,918",0,"3,34,641","1,647",0,0,0,0,0,0,0,0,"6,345",0,"22,723",0,0,0,0,0,0,0,"26,005","11,026",0,3,10,0,0,0,0,0,0,0,0,0,0,"8,811",0,0,0,0,108,0,"1,169",0,0,"4,883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,39,72,660"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,03,81,579","1,62,57,706","22,15,606","4,42,057","94,306","1,20,894","27,232","34,297",619,"1,30,635","25,651","44,067","3,84,409",1,"2,90,496","3,295","2,336","46,297",0,420,564,"95,314",37,"5,098",0,"1,36,735","7,115",7,0,"7,867","31,969","6,422",188,103,0,51,"2,395",8,187,0,"1,848",236,763,0,404,0,0,862,0,0,0,0,0,26,47,"27,042",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,"3,08,27,211"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"86,73,504","68,49,637","8,00,155","1,77,612",0,"26,94,629",0,0,0,0,0,0,0,0,0,0,0,"3,91,953",0,0,0,0,0,0,0,"12,16,858",0,0,0,"10,877",0,0,0,0,0,0,0,0,0,0,"18,646",0,0,0,0,0,0,"10,233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,08,44,104"
