Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL BANCO LOCAL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS ESPAÑA,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,MICROBANK DE LA CAIXA,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"38,46,927","56,48,889","6,43,625","6,73,805","10,30,600","3,59,097","3,43,169","5,14,678","2,01,861","96,261","1,56,850","49,822","2,13,637","1,22,678","1,09,124",0,"88,066","55,886","58,076","80,052","46,030","55,283","4,562","3,80,418","35,769","5,895","40,267","3,750","29,342","62,132","21,531","37,035","23,118",1,125,"15,670","3,413","17,606","5,938","7,598","4,239","15,412","1,170","4,058","20,388","12,533","3,457","5,639","6,034","1,966","23,255",8,"5,195",143,"1,214",29,28,273,494,0,7,721,219,33,"1,544",30,25,0,29,0,0,"1,51,96,729",
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,12,99,080","4,27,88,593","75,69,504","3,29,969","19,07,954","28,83,422","1,59,466","53,779","8,537","76,161","69,549","42,844","5,24,403","14,400","1,46,173","4,42,309","6,14,486","3,755","5,136",0,"4,833","11,409","75,529","13,49,877","11,438","1,61,520","1,23,150",0,0,"4,142","8,443","1,435",710,0,0,"3,585",0,"1,163","2,796","28,960",8,"39,661",2,0,0,207,0,0,"1,065","48,515","11,450",0,9,0,286,0,"2,209",0,0,0,128,0,0,0,0,0,0,0,0,0,0,"10,08,32,050",
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,52,064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,52,064",
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"5,32,125",0,0,0,0,0,0,0,0,0,0,"17,797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,49,922",
2.4. Valores representativos de deuda ..........................................................................................................,"1,65,58,907","1,34,73,011","17,35,473",102,"56,381","23,85,026","38,974",0,0,0,0,0,"1,965",0,"1,02,245",0,0,0,0,0,0,0,0,"11,81,839",0,"1,513","10,777",0,0,0,0,0,0,0,0,0,0,0,0,"24,671",0,"23,144",0,0,0,0,0,0,0,"40,996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,56,35,024",
2.5. Otros instrumentos de capital ..........................................................................................................,"1,13,20,941","40,33,106","21,19,378",0,"10,85,001","3,34,991","7,196",0,0,0,0,0,0,"8,752","12,188",0,0,0,0,0,0,0,0,"30,763",0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,"4,275",0,"14,025",0,0,0,207,0,0,0,"4,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,89,75,273",
2.6. Derivados de negociación ......................................................................................................................................................................,"1,34,19,232","2,47,50,351","37,14,653","3,29,867","7,66,572","1,63,405","1,13,296","53,779","8,537","76,161","69,549","42,844","5,04,641","5,648","31,740","4,42,309","6,14,486","3,755","5,136",0,"4,833","11,409","75,529","1,37,275","11,438","7,943","1,12,073",0,0,"4,142","8,443","1,435",710,0,0,"3,585",0,"1,163","2,796",14,8,"2,492",2,0,0,0,0,0,"1,065","3,369","11,450",0,9,0,286,0,"2,209",0,0,0,128,0,0,0,0,0,0,0,0,0,0,"4,55,19,767",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"52,19,048","55,64,984","16,04,019",0,"68,740","18,83,932",0,0,0,0,0,0,0,0,"1,02,245",0,0,0,0,0,0,0,0,"9,18,259",0,"1,35,972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,851",0,0,0,0,0,0,0,"10,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,55,15,850",
