Var,0182,0049,0030,0081,0075,0128,0065,0072,0093,0224,0004,0042,0019,0061,1004,0038,0036,0129,0073,0082,0097,0046,0086,0223,0231,0095,0198,0094,0130,0057,0122,0024,0185,0227,0233,0216,0009,0138,0059,0078,0232,0186,0142,0226,0099,0229,0031,0217,0125,0003,0063,0220,0211,0225,0058,0136,0113,0188,0184,0011,0133,0200,0021,0205,0219,0132,0115,0121,0091,0083,0234
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO DE GALICIA,BANCO GALLEGO,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,DEXIA SABADELL,BANCO DE VASCONIA ,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO CAIXA GERAL,BANCO DEPOSITARIO BBVA ,CITIBANK ESPAÑA ,BANCO DE CRÉDITO BALEAR,BANCO URQUIJO SABADELL BANCA PRIVADA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCO POPULAR HIPOTECARIO ,"FINANZIA, BANCO DE CRÉDITO ",BANKOA ,BANCO DE MADRID ,BANCA PUEYO,BANCO INVERSIS,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,UBS BANK,ALTAE BANCO,BANCOPOPULAR-E,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,BANCOFAR ,BANCO DE DEPÓSITOS,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,EBN BANCO DE NEGOCIOS,BANCO CETELEM,BNP PARIBAS ESPAÑA ,ARESBANK ,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,BANCO CAMINOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"26,14,405","13,83,267","8,23,434","8,63,751","8,98,639","6,10,132","7,31,389","1,85,209","71,130","1,37,908","1,17,093","90,673","2,22,184","1,54,279","61,998",0,"69,424","73,051","80,737","66,853","51,090","21,998","35,145","10,356","33,795","39,906","4,30,821","10,721","23,654",0,"66,963","41,214","26,208","22,661","9,297",69,490,"17,565","7,975","13,743","6,179","5,704","18,582","26,170","7,059","3,532","5,555","40,132","3,640","5,838",106,952,"1,090",8,"6,818","23,653",0,53,9,9,1,938,337,33,135,0,0,0,0,0,"2,390"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,40,92,038","6,48,15,533","54,63,996","3,40,490","11,69,191","23,79,483","4,11,382","2,54,774","14,163","1,00,409","1,50,421","29,994","7,71,977","11,854","58,616","1,90,797","2,615","3,50,371",0,"6,042","8,657","1,593","1,47,850",0,"86,423","30,659","11,76,830","1,59,046",0,0,"2,873","2,001","18,009",165,799,0,"7,343","3,003","1,122",112,"24,606",9,"23,022","6,340",0,3,110,0,465,0,0,63,"53,462",0,5,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,94
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,51,528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"47,541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,71,27,173","2,20,68,583","1,20,005",52,"68,622","19,86,576",0,"1,82,747",0,0,0,"2,498","7,141",0,0,0,0,0,0,0,0,0,899,0,0,0,"10,50,113",551,0,0,0,0,0,0,0,0,0,0,0,0,"22,040",0,"11,071",0,0,0,0,0,0,0,0,0,"47,354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
2.5. Otros instrumentos de capital ..........................................................................................................,"85,15,708","47,46,832","18,46,270",0,"1,57,403","1,50,915",0,"4,960",0,0,0,304,0,"1,377",0,0,0,0,0,0,0,0,0,0,0,0,"21,151",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,566",0,"10,601",0,0,0,71,0,0,0,0,0,"1,701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6. Derivados de negociación ......................................................................................................................................................................,"1,84,49,157","3,79,52,577","34,97,721","3,40,438","9,43,166","2,41,992","4,11,382","67,067","14,163","1,00,409","1,50,421","27,192","7,64,836","10,477","58,616","1,90,797","2,615","3,50,371",0,"6,042","8,657","1,593","1,46,951",0,"86,423","30,659","1,05,566","6,967",0,0,"2,873","2,001","18,009",165,799,0,"7,343","3,003","1,122",112,0,9,"1,350","6,340",0,3,39,0,465,0,0,63,"4,407",0,5,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía ..........................................................................................................,"58,30,289","75,22,651","96,097",0,"24,412","14,82,025",0,0,0,0,0,"1,474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,38,144","1,25,237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,418",0,0,0,0,0,0,0,0,0,"27,677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
