Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0004,0038,0019,0042,0061,1004,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANESTO BANCO DE EMISIONES ,DEUTSCHE BANK S.A.E.,BANCO GUIPUZCOANO,BANCA MARCH,BANCO DE CRÉDITO LOCAL DE ESPAÑA,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,DEXIA SABADELL,BANCO BANIF,BANCO GALLEGO,GENERAL ELECTRIC CAPITAL BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO CAIXA GERAL,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO URQUIJO SABADELL BANCA PRIVADA ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,ALTAE BANCO,UNO-E BANK,BANCO POPULAR HIPOTECARIO ,BANKOA ,BANCO CAMINOS,BANCO DEPOSITARIO BBVA ,BANCO INVERSIS,BANCA PUEYO,"FINANZIA, BANCO DE CRÉDITO ",BANCO DE MADRID ,BANCOPOPULAR-E,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCOFAR ,BANCO ETCHEVERRÍA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO HALIFAX HISPANIA,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO CETELEM,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,DEUTSCHE BANK CREDIT ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,SELF TRADE BANK
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"66,76,064","43,55,714","6,35,597","13,88,716","9,80,996","3,92,440","9,24,412","4,26,895","92,389","64,431","1,34,613",0,"1,73,505","1,62,919","1,81,652","49,727","75,273","90,960","1,00,637","4,796","24,330","62,824",82,"12,93,535","28,350","6,094","23,645","52,027","14,096","15,557","21,904",364,"19,279","13,815",0,"7,649","21,602",106,"6,757","5,283","4,079","18,351","8,268","15,765","11,976","3,715",106,"5,801","51,085","5,562","1,026","1,29,614",7,0,40,3,31,0,"1,201",69,0,29,0,0,0,0,925
2. CARTERA DE NEGOCIACIÓN  ,"7,19,35,394","5,68,57,980","67,72,832","17,62,204","11,37,718","35,20,787","79,214","7,75,175","1,09,713","1,61,020","3,30,546","88,433","3,53,096","7,74,489","30,027","9,878",17,"3,46,569",508,"88,041","86,336","2,670",0,"19,82,537",0,694,"56,497",19,"2,606",0,1,0,"2,235","5,210",0,"61,007",32,0,563,35,"1,11,059","30,468",838,412,176,289,0,0,0,5,33,0,0,0,0,0,118,0,0,811,0,0,0,0,0,0,0
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 2. Crédito a la clientela ,"59,872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 3. Valores representativos de deuda  ,"1,99,81,496","1,58,95,000","3,11,465","40,789",122,"23,89,896","1,417","6,79,883",0,0,0,0,"5,425","6,09,582",0,0,0,0,0,0,78,0,0,"16,76,812",0,302,0,0,0,0,0,0,0,"5,166",0,"57,052",0,0,0,0,"83,113",0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2. 4.  Instrumentos de capital  ,"30,21,917","44,86,388","9,49,450","27,090",0,"2,08,578",0,"3,562",0,0,0,0,0,230,0,0,0,0,508,0,0,763,0,"9,793",0,0,0,0,12,0,0,0,0,0,0,"3,955",0,0,0,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,0,0,0
2. 5. Derivados de negociación ,"4,88,72,109","3,64,76,592","55,11,917","16,94,325","11,37,596","9,22,313","77,797","91,730","1,09,713","1,61,020","3,30,546","88,433","3,47,671","1,64,677","30,027","9,878",17,"3,46,569",0,"88,041","86,258","1,907",0,"2,95,932",0,392,"56,497",19,"2,594",0,1,0,"2,235",44,0,0,32,0,563,35,"27,302","30,468",438,412,176,289,0,0,0,5,33,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0
Pro-memoria: Prestados o en garantía  ,"85,18,341","70,42,875","2,44,626",0,0,"13,71,161",0,"40,704",0,0,0,0,0,"6,09,582",0,0,0,0,0,0,0,0,0,"8,92,459",0,0,0,0,0,0,0,0,0,0,0,"2,085",0,0,0,0,"79,308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"1,44,32,458",0,0,443,0,"9,070",0,"8,89,207",0,0,0,0,0,"52,752",0,0,0,0,0,0,0,"9,747",0,0,0,0,0,0,"5,762",0,0,0,0,"14,190",0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
