Var,182,49,75,30,81,128,65,72,93,224,61,42,19,38,36,231,198,73,46,130,86,223,122,129,94,233,185,57,216,227,138,234,99,78,125,229,232,142,31,59,9,186,63,217,3,58,136,211,113,226,225,184,188,1490,11,220,133,200,219,132,115,121,91,83,235,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,OPEN BANK,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,BBVA BANCO DE FINANCIACIÓN,RBC DEXIA INVESTOR SERVICES ESPAÑA,POPULAR BANCA PRIVADA,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,UNO-E BANK,BANKOA ,BANCO CAMINOS,ALTAE BANCO,BANCA PUEYO,BANCOFAR ,BANCOPOPULAR-E,BANCO INVERSIS,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO ETCHEVERRÍA ,BANCO DE MADRID ,"FINANZIA, BANCO DE CRÉDITO ","BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO HALIFAX HISPANIA,BANCO DE DEPÓSITOS,BNP PARIBAS ESPAÑA ,ARESBANK ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,UBS BANK,BANCO CETELEM,BANCO EUROPEO DE FINANZAS,BANCO ALCALÁ ,SELF TRADE BANK,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,"BANCO PICHINCHA ESPAÑA, S.A.",TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,10,41,126","92,89,129","17,51,628","9,66,597","10,82,585","3,20,847","1,95,881","2,70,502","87,200","1,05,686","1,35,923","65,341","1,61,915",0,"39,705","6,767","8,37,872","75,821","42,691","37,849","42,613",976,"35,620","29,945","3,275","10,708","13,851",0,109,"14,115","27,493","26,778","10,807","29,096","8,526","5,587","7,744","12,878","14,135","5,023",193,"16,097",106,"37,860","5,425","3,841","20,488","2,285",0,"14,230",3,"1,526",37,"1,410",439,"1,880",2,"1,196","1,111",0,0,0,0,0,361,"2,69,22,834"
2. CARTERA DE NEGOCIACIÓN  ,"6,44,78,753","7,59,68,033","17,69,666","89,03,902","14,59,915","32,68,835","75,439","14,07,218","1,26,160","1,39,588","36,432","1,83,797","2,61,259","3,780",0,"1,07,506","12,65,089",494,"4,686",0,"37,441",0,103,"1,85,338",375,0,"26,449",0,0,0,"8,153",231,0,80,0,36,"1,33,295",593,179,483,0,247,0,0,0,"52,924",0,"1,46,591",0,"5,164",0,0,0,0,517,117,0,0,"1,130",0,0,0,0,0,"6,979","16,00,66,977"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,979","6,979"
2. 2. Crédito a la clientela ,0,"28,366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,366"
2. 3. Valores representativos de deuda  ,"1,43,10,561","2,56,16,510","19,071","8,68,534",21,"24,16,776",57,"13,10,631",0,0,0,"70,918",923,0,0,0,"9,46,945",0,0,0,151,0,0,0,4,0,0,0,0,0,"5,477",0,0,0,0,0,"1,27,161",405,0,0,0,0,0,0,0,0,0,"1,19,733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,58,13,878"
2. 4.  Instrumentos de capital  ,"55,06,443","28,95,594","92,091","17,55,610",0,"1,88,249",0,"1,893",0,0,0,0,0,0,0,0,"9,035",494,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,129",0,144,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,"1,130",0,0,0,0,0,0,"1,04,57,908"
2. 5. Derivados de negociación ,"4,46,61,749","4,74,27,563","16,58,504","62,79,758","14,59,894","6,63,810","75,382","94,694","1,26,160","1,39,588","36,432","1,12,879","2,60,336","3,780",0,"1,07,506","3,09,109",0,"4,113",0,"37,290",0,103,"1,85,338",371,0,"26,449",0,0,0,"2,676",231,0,80,0,36,5,188,35,483,0,247,0,0,0,"52,924",0,"26,335",0,"5,164",0,0,0,0,517,117,0,0,0,0,0,0,0,0,0,"10,37,59,846"
Pro-memoria: Prestados o en garantía  ,"98,88,613","23,37,390","17,480","6,68,885",0,"16,79,532",0,"13,692",0,0,0,"2,059",0,0,0,0,"6,07,357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,088",0,0,0,0,0,0,0,0,0,0,"1,10,319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,53,27,415"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,0,"2,23,31,212",0,0,0,"19,913",0,"8,96,998",0,0,0,0,0,0,0,0,0,0,"1,588",0,0,0,0,0,0,"5,168",0,0,0,0,0,"18,006",0,0,0,0,"1,146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,"13,757","2,32,87,820"
