Var,0049,0182,0075,0030,0081,0128,0072,0065,0093,0224,0061,0019,0198,0129,0073,0038,0231,0036,0046,0130,0086,0216,0223,0122,0233,0094,0138,0099,0057,0234,0078,0229,0236,0232,0227,0031,0125,0186,0211,0059,0225,0003,0226,0058,0113,0136,0011,0220,1490,0133,0188,0184,0200,0219,0235,0132,0121,0091,0083,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANCO COOPERATIVO ESPAÑOL ,BBVA BANCO DE FINANCIACIÓN,OPEN BANK,BANESTO BANCO DE EMISIONES ,DEXIA SABADELL,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,TARGOBANK,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANKIA BANCA PRIVADA,BANCO DEPOSITARIO BBVA ,BANCO CAMINOS,BANCA PUEYO,BANCOPOPULAR-E,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,BANCO CETELEM,BANCO DE DEPÓSITOS,UBS BANK,BNP PARIBAS ESPAÑA ,BANCO INDUSTRIAL DE BILBAO ,ARESBANK ,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,SELF TRADE BANK,NUEVO MICRO BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO PICHINCHA ESPAÑA,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,92,61,614","41,35,819","8,27,287","12,06,589","15,03,964","5,04,564","3,08,244","3,83,175","2,73,286","21,608","1,80,157","86,531","5,06,734","46,646","43,910",0,"2,39,131","14,291","47,397","45,350","20,289","23,741",80,"16,779","3,769","1,24,711","11,782","17,071",0,"24,391","14,050","4,296","11,311","8,613","5,442","78,052","3,607","12,102",680,"9,925",3,804,"8,194","2,164",0,"15,628","1,105","1,185","1,594",1,220,125,774,"1,883","1,596",0,0,0,"1,494","3,00,63,758"
2. CARTERA DE NEGOCIACIÓN  ,"10,78,88,993","7,13,98,461","15,33,129","93,18,093","21,60,879","19,18,488","2,99,331","71,070","1,19,251","31,818","1,89,852","2,10,560","21,30,023","2,58,349",0,"82,260","1,78,672",0,"6,851",0,"22,222","10,212",0,0,"1,908",580,"1,078",0,0,920,278,0,"5,240","64,916",0,0,0,0,"48,444","10,818",0,0,"6,627","94,304",0,0,554,5,0,0,0,0,43,0,0,0,0,2,"15,418","19,80,79,649"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2. 2. Crédito a la clientela ,"49,197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,197"
2. 3. Valores representativos de deuda  ,"2,14,02,467","97,16,552","11,983","3,20,908","2,52,677","11,94,247",0,417,"4,780",0,0,"5,210","17,47,901",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,125,0,0,0,"64,248",0,0,0,0,"20,149","10,495",0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,"15,400","3,47,67,604"
2. 4.  Instrumentos de capital  ,"22,46,213","23,39,816","1,06,061","10,61,161",0,"96,036",86,0,0,0,"70,602",0,232,0,0,0,0,0,"1,373",0,0,0,0,0,"1,900",0,0,0,0,683,0,0,0,668,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"59,25,395"
2. 5. Derivados de negociación ,"8,41,91,115","5,93,42,093","14,15,085","79,36,024","19,08,202","6,28,205","2,99,245","70,653","1,14,471","31,818","1,19,250","2,05,350","3,81,890","2,58,349",0,"82,260","1,78,672",0,"5,478",0,"22,222","10,212",0,0,8,578,"1,078",0,0,112,278,0,"5,240",0,0,0,0,0,"27,739",323,0,0,"6,627","94,304",0,0,554,5,0,0,0,0,0,0,0,0,0,0,10,"15,73,37,450"
Pro-memoria: Prestados o en garantía  ,"99,19,701","53,99,846",0,"1,68,588",0,"11,94,249",0,0,0,0,0,0,"7,99,239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,090",0,0,0,0,"18,729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,75,02,442"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"1,62,99,739",0,0,0,0,"23,010","1,88,099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,998",0,0,0,0,"10,836",0,0,0,0,0,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,"1,65,27,898"
