Var,0049,0182,0081,0075,0128,0065,0093,0129,0224,0061,0019,0038,0073,0198,0036,0046,0130,0122,0216,0231,0057,0138,0229,0234,0078,0223,0099,0236,0232,0031,0227,0233,0125,0094,0186,0211,0059,0226,0083,0225,0058,0220,0136,0003,0011,0133,1490,0188,0184,0113,0200,0235,0219,0132,0238,0121,0091,,,,0151
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO DE SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BARCLAYS BANK ,BANCO DE VALENCIA,BBVA BANCO DE FINANCIACIÓN,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,TARGOBANK,DEXIA SABADELL,BANCO DEPOSITARIO BBVA ,BANKOA ,BANCOPOPULAR-E,BANCO CAMINOS,BANCA PUEYO,GENERAL ELECTRIC CAPITAL BANK,BANKIA BANCA PRIVADA,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,BANCO ETCHEVERRÍA ,UNO-E BANK,POPULAR BANCA PRIVADA,BANCOFAR ,RBC INVESTOR SERVICES ESPAÑA,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,UBS BANK,RENTA 4 BANCO,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO DE DEPÓSITOS,ALLFUNDS BANK,NUEVO MICRO BANK,SELF TRADE BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,BANCO INDUSTRIAL DE BILBAO ,PRIVAT BANK DEGROOF,BANCO PICHINCHA ESPAÑA,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO POPULAR PASTOR,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,TOTAL BANCOS,,ACTIVO,JP MORGAN CHASE BANK NATIONAL ASSOCIATION
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"68,68,390","22,05,252","11,93,366","12,48,232","4,90,358","4,46,961","82,897","57,209","12,789","5,18,139","64,625",0,"48,757","2,02,483","15,234","85,048","37,770","2,62,348","22,468","4,379",0,"18,870","4,462","28,695","14,174","3,630","10,212","20,297",906,"21,694","5,185","2,808","4,868","1,857","15,082",675,"2,497","10,661","2,158",2,"2,757","1,913","1,514",757,"1,355",0,"1,383",734,77,0,462,"1,998","3,649",0,0,0,0,"1,40,52,037",,1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"5,572"
2. CARTERA DE NEGOCIACIÓN  ,"9,99,64,978","6,02,09,228","16,98,404","17,15,702","28,21,350","33,758","77,805","3,79,412","8,032","50,887","1,51,265",0,0,"34,81,870",0,"4,923",0,0,"5,696","1,56,538",0,764,0,"3,030",144,0,"53,493",319,"46,411",0,0,242,0,161,"3,210","1,17,762","6,317",746,"2,922",0,"8,453",520,0,0,636,0,0,0,0,0,0,0,0,0,0,0,2,"17,10,04,980",,2. CARTERA DE NEGOCIACIÓN  ,0
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,2. 1. Depósitos en entidades de crédito  ,0
2. 2. Crédito a la clientela ,"15,158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,158",,2. 2. Crédito a la clientela ,0
2. 3. Valores representativos de deuda  ,"2,18,11,710","1,26,50,845","2,19,916","36,776","21,05,644",859,0,0,0,0,"1,770",0,0,"29,38,221",0,0,0,0,0,0,0,0,0,"1,955",0,0,0,0,"44,678",0,0,0,0,0,"3,210","93,300","5,713",0,"2,326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,99,16,923",,2. 3. Valores representativos de deuda  ,0
2. 4.  Instrumentos de capital  ,"45,82,140","20,73,749",0,"1,52,049","71,146",0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,910,0,0,0,0,"1,733",0,0,0,0,0,0,482,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"68,82,724",,2. 4.  Instrumentos de capital  ,0
2. 5. Derivados de negociación ,"7,35,55,970","4,54,84,634","14,78,488","15,26,877","6,44,560","32,899","77,805","3,79,412","8,032","50,887","1,49,495",0,0,"5,43,388",0,"4,923",0,0,"5,696","1,56,538",0,764,0,165,144,0,"53,493",319,0,0,0,242,0,161,0,"23,980",350,746,596,0,"8,453",520,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,"12,41,90,173",,2. 5. Derivados de negociación ,0
Pro-memoria: Prestados o en garantía  ,"2,07,71,230","61,59,257",0,"10,228","21,05,644",0,0,0,0,0,0,0,0,"19,63,086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,086",0,0,0,0,0,0,"89,432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,11,00,963",,Pro-memoria: Prestados o en garantía  ,0
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"3,28,77,318",0,0,0,"48,453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,210",0,0,0,0,0,0,0,"5,171",0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,29,41,066",,3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,0
