Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"15,80,415","57,95,558","3,22,966","5,96,849","6,28,215","2,22,761","2,79,801",0,"2,52,318","84,266","84,663","68,280","1,59,564","87,058","1,82,153","59,661","89,391","1,11,728","65,267","70,531","13,712","46,021","5,81,057","35,822","27,871","10,105","27,896","26,340","1,543",1,"2,869","64,383","1,229","32,777","18,100",300,"6,125","12,372","16,413","5,156",125,"22,148","5,845",513,"7,400","4,465","34,924","2,961","1,575",101,"3,563",910,14,16,"11,136","4,256",222,"1,984",68,"1,134",1,754,743,40,266,246,"1,392",15,631,1,0,14,1,0,"1,17,79,001"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,12,64,978","2,00,23,389","55,17,054","89,517","15,36,337","44,32,030","37,503","2,09,344","69,120","28,092","2,804","2,42,028","4,030","3,17,510",951,"16,258","41,821","5,694",0,"2,953","63,349","2,583","14,15,043",0,"2,339","40,495",927,0,0,0,66,"6,897","8,943",647,126,"13,368","3,130","56,252",0,10,0,93,0,0,107,0,"21,257",1,0,0,639,"18,366",0,0,"12,461",676,0,162,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,"6,55,09,374"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,366",0,0,0,0,0,0,0,0,0,0,"21,257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,623"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,39,64,989","57,13,082","28,41,653",12,"83,262","40,09,555","25,180",0,"44,977",0,0,"1,423",0,0,0,0,0,0,0,0,"2,605",0,"12,88,113",0,0,"35,134",0,0,0,0,0,0,"1,753",0,0,0,"2,951","53,219",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,80,85,217"
2.5. Otros instrumentos de capital ..........................................................................................................,"57,01,743","26,22,567","8,69,457",0,"7,88,825","1,16,684",845,0,0,0,0,0,0,0,0,0,"19,430","5,539",0,0,0,0,"21,742",0,0,26,0,0,0,0,0,0,496,0,0,2,0,"1,853",0,0,0,0,0,0,107,0,0,0,0,0,553,824,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,01,50,855"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,15,98,246","1,16,87,739","18,05,944","89,505","6,64,250","3,05,791","11,478","2,09,344","24,143","28,092","2,804","2,40,606","4,030","3,17,510",951,"16,258","22,391",155,0,"2,953","60,744","2,583","1,05,188",0,"2,339","5,335",927,0,0,0,66,"6,897","6,693",647,126,0,179,"1,180",0,10,0,93,0,0,0,0,0,1,0,0,86,233,0,0,"12,461",676,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,"2,72,38,678"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"46,62,232","55,72,576","23,98,528",0,"46,681","38,15,639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,70,636",0,0,"31,710",0,0,0,0,0,0,0,0,0,0,0,"45,259",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,71,56,706"
