Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,CACEIS BANK ESPAÑA,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"38,50,323","17,11,621","3,30,944","7,54,885","6,59,867","5,08,291","5,52,658","4,55,444","82,649",0,"79,863","49,807","1,87,427","1,47,751","97,145","64,090","39,928","1,16,593","70,636","59,627","5,421","25,795","44,932","49,353","36,763","6,39,300","4,394","38,271","1,675","30,674","6,664","65,153","20,664","30,286",1,"2,489","13,472","4,450","16,211",86,"11,311","4,041","5,878","6,211","4,313","5,776","38,169",963,"2,810","2,805","5,230",14,128,"7,843","1,032","24,152",38,230,57,103,0,814,292,41,15,447,38,9,0,38,"1,344",0,0,"1,09,79,745"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,61,26,711","3,49,79,273","56,13,408","10,44,118","1,18,582","35,83,663","74,772","88,867","3,208","4,52,881","43,610","49,098","4,40,048","1,730","4,57,220","11,061","6,736","2,44,793",0,"1,521","80,194","1,20,262",833,"9,591",0,"14,85,353","2,78,570","5,837",0,"2,359","14,703","3,557",332,62,0,1,"3,802",475,531,0,"48,481",400,"2,242",0,173,129,0,"21,264",0,8,"33,854",0,0,79,60,"15,725",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,"8,54,70,203"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,58,495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,58,495"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"4,42,715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,42,715"
2.4. Valores representativos de deuda ..........................................................................................................,"1,28,72,372","1,13,59,990","13,59,161","1,25,586","1,487","31,91,611","35,268","45,853",0,0,0,0,"2,737",0,0,0,0,"2,01,439",0,0,0,"7,181",0,0,0,"13,26,358",953,0,0,64,0,0,0,0,0,0,0,0,0,0,"34,635",0,0,0,0,0,0,"17,584",0,0,"21,882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,06,04,161"
2.5. Otros instrumentos de capital ..........................................................................................................,"1,06,89,142","49,83,238","15,61,893","4,13,810",0,"2,67,323","9,542",0,0,0,0,0,0,0,0,"8,122",0,"10,515",0,0,0,0,0,0,0,"32,602","11,862",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,453",0,0,0,0,129,0,"1,695",0,0,"11,950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,80,13,276"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,25,65,197","1,81,93,330","26,92,354","5,04,722","1,17,095","1,24,729","29,962","43,014","3,208","4,52,881","43,610","49,098","4,37,311","1,730","4,57,220","2,939","6,736","32,839",0,"1,521","80,194","1,13,081",833,"9,591",0,"1,26,393","7,260","5,837",0,"2,295","14,703","3,557",332,62,0,1,"3,802",475,531,0,"2,393",400,"2,242",0,173,0,0,"1,985",0,8,22,0,0,79,60,"15,725",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,"3,61,51,556"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"39,60,067","46,96,699","7,17,409","1,00,848",0,"28,50,582",0,0,0,0,0,0,0,0,0,0,0,"2,01,372",0,0,0,0,0,0,0,"11,12,744","2,42,672",0,0,0,0,0,0,0,0,0,0,0,0,0,"18,910",0,0,0,0,0,0,"8,180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,39,09,483"
