Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,MICROBANK DE LA CAIXA,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"29,46,089","30,62,618","8,61,467","7,48,783","3,74,294","3,71,722","4,53,074","5,63,957","60,765","63,749","1,10,014","4,442","2,49,693","1,29,973","1,74,049",0,"71,479","49,341","59,944","75,798","47,810","53,216","15,997","7,92,305","42,705","6,089","58,027","9,396","39,755","38,604","20,273","26,102","25,733",1,100,"15,023","5,441","18,284","7,323","10,277","6,771","19,514",0,"6,704","39,036","6,751","4,672","5,835","3,982","2,043","25,632",8,"3,098",124,904,21,36,100,"2,105",0,692,"1,110",223,45,864,22,14,0,21,0,0,"1,17,94,039",
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,36,22,462","5,15,47,941","64,09,925","3,53,083","12,50,391","14,78,560","1,57,274","1,37,492","8,854","1,08,934","1,09,738","58,012","7,32,223","19,262","28,685","3,03,220","5,62,271","11,096","5,268",0,"6,513","15,339","75,366","12,86,846","26,638","1,15,962","1,33,477",0,0,"2,795","24,400","1,209",194,0,0,"3,497",0,641,"2,911","53,151",42,"33,309",0,0,0,226,10,0,"1,034","58,791","30,907",0,25,0,30,0,82,0,0,0,84,"5,028",0,0,0,0,0,0,0,0,0,"10,87,83,198",
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,06,663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,06,663",
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"2,70,532",0,0,0,0,0,0,0,0,0,0,"65,299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,35,831",
2.4. Valores representativos de deuda ..........................................................................................................,"1,80,02,820","1,36,16,118","7,47,988",129,"92,586","12,36,887","76,763",2,0,0,0,0,"2,323",0,"2,531",0,0,0,0,0,0,0,0,"11,45,232",0,499,"8,036",0,0,0,0,0,0,0,0,0,0,0,0,"46,106",0,"17,990",0,0,0,0,0,0,0,"53,176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,50,49,186",
2.5. Otros instrumentos de capital ..........................................................................................................,"90,40,612","41,17,611","22,64,348",0,"2,74,102","80,549","5,055",0,0,0,0,0,0,"8,705",0,0,0,0,0,0,0,0,0,"31,064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,045",0,"13,480",0,0,0,226,0,0,0,"2,922",0,0,0,0,0,0,0,0,0,0,0,"5,028",0,0,0,0,0,0,0,0,0,"1,58,50,747",
2.6. Derivados de negociación ......................................................................................................................................................................,"1,65,79,030","3,35,43,680","33,97,589","3,52,954","8,83,703","1,61,124","75,456","1,37,490","8,854","1,08,934","1,09,738","58,012","6,64,601","10,557","26,154","3,03,220","5,62,271","11,096","5,268",0,"6,513","15,339","75,366","1,10,550","26,638","8,800","1,25,441",0,0,"2,795","24,400","1,209",194,0,0,"3,497",0,641,"2,911",0,42,"1,839",0,0,0,0,10,0,"1,034","2,693","30,907",0,25,0,30,0,82,0,0,0,84,0,0,0,0,0,0,0,0,0,0,"5,74,40,771",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"71,52,435","63,00,351","6,23,419",0,"58,233","3,49,364",0,0,0,0,0,0,0,0,"1,670",0,0,0,0,0,0,0,0,"7,75,157",0,"95,271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,925",0,0,0,0,0,0,0,"33,399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,53,91,224",
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,"3,48,90,979",0,0,0,"25,192","2,52,392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,665",0,0,0,0,0,3,0,0,0,0,0,0,0,0,"34,658",0,259,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,52,24,191",
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,"3,26,74,532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,26,74,532",
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,"1,00,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,00,000",
3.3. Crédito a la clientela ......................................................................................................................................................................,0,"21,16,447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,16,447",
3.4. Valores representativos de deuda ..........................................................................................................,0,0,0,0,0,0,"2,32,147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,53,071",
3.5. Otros instrumentos de capital ..........................................................................................................,0,0,0,0,0,"25,192","20,245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"34,658",0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80,141",
Pro-memoria: Prestados o en garantía ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ..........................................................................................................,"1,93,74,687","1,57,51,906","1,03,88,971","55,71,816","68,76,956","61,44,987","12,46,748","13,51,132","7,52,278","44,619","1,20,035","27,54,427","6,30,919","1,79,948","1,00,519",0,61,832,"8,647",0,"9,500","4,02,960","26,48,256","7,11,420","13,497","41,521","3,21,673",0,"9,149","6,493","6,959","5,495","1,82,328",0,"2,038","98,256","2,265","77,740","9,917",0,"78,003","71,657",32,"1,48,086",244,"8,904","2,038","1,319",32,"1,54,462",0,0,"3,434",8,"6,400","1,47,310",201,"41,109",0,0,2,"2,000",0,30,985,0,"3,750",0,0,0,0,"7,65,18,961",
