Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANESTO BANCO DE EMISIONES ,DEUTSCHE BANK S.A.E.,BANCO GUIPUZCOANO,BANCA MARCH,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,DEXIA SABADELL,BANCO BANIF,BANCO GALLEGO,GENERAL ELECTRIC CAPITAL BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO CAIXA GERAL,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO URQUIJO SABADELL BANCA PRIVADA ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,ALTAE BANCO,UNO-E BANK,BANCO POPULAR HIPOTECARIO ,BANKOA ,BANCO CAMINOS,BANCO DEPOSITARIO BBVA ,BANCO INVERSIS,BANCA PUEYO,"FINANZIA, BANCO DE CRÉDITO ",BANCO DE MADRID ,BANCOPOPULAR-E,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCOFAR ,BANCO ETCHEVERRÍA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO HALIFAX HISPANIA,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO CETELEM,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,DEUTSCHE BANK CREDIT ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,SELF TRADE BANK,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"46,45,961","58,82,485","11,76,719","12,59,914","10,13,469","4,18,368","2,56,388","2,31,139","93,798","84,949",0,"2,45,759","2,14,031","1,15,502","48,847","42,569","78,818","2,952","42,255","42,937","1,743","3,25,532","29,091","10,675","18,759","45,189","16,170","10,685","19,799",281,"37,724","19,032",0,"8,783","21,517",129,"5,685","6,457","6,244","15,853","21,035","10,379","11,996","4,722",106,"5,362","39,550","5,631","1,068","1,302",4,0,197,683,186,1,"1,203",147,0,,0,0,0,0,"1,030","1,66,00,810",
2. CARTERA DE NEGOCIACIÓN  ,"6,31,23,147","5,96,65,170","84,06,726","14,85,050","11,72,376","41,81,739","46,346","18,79,591","1,16,288","1,68,198","63,929","2,68,182","3,38,651","16,905",0,"4,00,174",511,"93,190","72,458","3,812",0,"27,98,060",0,176,"36,740",94,642,0,1,0,"2,707","5,584",0,"74,034",300,0,453,30,"56,854",899,808,0,242,252,0,0,0,"2,742",8,153,0,0,0,0,81,0,0,"1,109",0,,0,0,0,0,0,"14,44,84,412",
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2. 2. Crédito a la clientela ,"96,795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"96,795",
2. 3. Valores representativos de deuda  ,"2,15,90,527","2,30,93,206","10,33,673","12,801",18,"33,25,441",175,"17,96,804",0,0,0,"2,503","2,25,800",0,0,0,0,0,130,0,0,"24,81,569",0,23,0,0,0,0,0,0,0,"5,505",0,"67,949",0,0,0,0,"27,349",0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"5,36,63,873",
2. 4.  Instrumentos de capital  ,"37,03,305","44,09,095","20,01,643","37,713",0,"2,32,403",0,"2,398",0,0,0,0,0,0,0,0,511,0,0,576,0,"10,840",0,1,0,0,0,0,0,0,0,0,0,"6,085",0,0,0,0,501,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,109",0,,0,0,0,0,0,"1,04,06,295",
2. 5. Derivados de negociación ,"3,77,32,520","3,21,62,869","53,71,410","14,34,536","11,72,358","6,23,895","46,171","80,389","1,16,288","1,68,198","63,929","2,65,679","1,12,851","16,905",0,"4,00,174",0,"93,190","72,328","3,236",0,"3,05,651",0,152,"36,740",94,642,0,1,0,"2,707",79,0,0,300,0,453,30,"29,004",899,408,0,127,252,0,0,0,"2,742",8,153,0,0,0,0,81,0,0,0,0,,0,0,0,0,0,"8,03,17,449",
Pro-memoria: Prestados o en garantía  ,"41,45,525","1,78,35,923","9,40,479","11,797",0,"22,97,401",0,"30,463",0,0,0,0,"85,319",0,0,0,0,0,0,0,0,"7,88,725",0,0,0,0,0,0,0,0,0,0,0,"2,097",0,0,0,0,"22,948",0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"2,61,60,810",
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,00,33,049",0,0,0,0,"15,113",0,"9,06,490",0,0,0,0,0,0,0,0,0,0,0,"1,519",0,0,0,0,0,0,"5,370",0,0,0,0,"17,585",0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,,0,0,0,0,0,"2,09,79,456",
