Var,0049,0182,0075,0030,0081,0128,0065,0093,0224,0061,0019,0198,0129,0073,0038,0231,0036,0046,0130,0086,0216,0223,0122,0233,0094,0138,0099,0057,0234,0078,0229,0236,0232,0227,0031,0125,0186,0211,0059,0225,0003,0226,0058,0113,0136,0011,0220,1490,0133,0188,0184,0200,0219,0235,0132,0121,0091,0083,2090,2107,0238,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,DEUTSCHE BANK S.A.E.,BANCO COOPERATIVO ESPAÑOL ,BBVA BANCO DE FINANCIACIÓN,OPEN BANK,BANESTO BANCO DE EMISIONES ,DEXIA SABADELL,SANTANDER INVESTMENT,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,TARGOBANK,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC INVESTOR SERVICES ESPAÑA,BANKOA ,BANKIA BANCA PRIVADA,BANCO DEPOSITARIO BBVA ,BANCO CAMINOS,BANCA PUEYO,BANCOPOPULAR-E,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNOE BANK,BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO MEDIOLANUM,EBN BANCO DE NEGOCIOS,BANCO DE MADRID ,BANCO CETELEM,BANCO DE DEPÓSITOS,UBS BANK,BNP PARIBAS ESPAÑA ,BANCO INDUSTRIAL DE BILBAO ,ARESBANK ,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,SELF TRADE BANK,NUEVO MICRO BANK,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO PICHINCHA ESPAÑA,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,BANCO CAM,UNNIM BANC,BANCO POPULAR PASTOR,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"2,52,40,579","67,36,891","13,32,849","4,80,775","10,94,245","4,14,811","4,38,653","76,148","8,688","6,45,519","99,070","6,49,606","86,678","46,896",0,"12,431","18,575","24,898","33,146","28,041","24,330",103,"2,29,978","3,342","6,160","1,42,740","5,998",0,"69,942","14,622","4,040","52,697","7,916","5,814","3,03,655","6,880","16,734",995,"1,843",5,"1,771","9,082","3,890",0,439,"1,109","1,778","1,597",0,300,20,797,"9,511","1,874",0,0,0,"1,906","3,55,335","1,71,773",0,"3,89,27,475"
2. CARTERA DE NEGOCIACIÓN  ,"10,22,26,180","6,27,20,822","19,43,019","84,62,904","19,33,426","19,06,467","50,941","1,13,700","22,078","1,21,816","1,60,112","22,74,887","2,44,100",0,0,"1,70,566",0,"6,856",0,"24,421","6,677",0,0,154,204,662,0,0,"1,341",126,0,923,"36,776",0,0,0,0,"82,604",225,0,0,794,"26,345",0,0,164,65,0,0,0,0,44,0,0,0,0,2,862,"1,36,811","4,612",0,"18,26,81,686"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2. 2. Crédito a la clientela ,"19,652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,652"
2. 3. Valores representativos de deuda  ,"2,22,04,670","1,13,41,704","4,192","2,31,208","2,17,233","12,91,011",927,"20,084",0,0,"1,166","18,27,791",0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,230,0,0,0,"35,882",0,0,0,0,"54,937",0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,514,"27,141",0,0,"3,72,59,459"
2. 4.  Instrumentos de capital  ,"24,44,999","16,92,576","1,42,702","10,32,036",0,"70,798",0,0,0,0,0,253,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,909,0,0,0,894,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,"53,86,999"
2. 5. Derivados de negociación ,"7,75,56,859","4,96,86,542","17,96,125","71,99,660","17,16,193","5,44,658","50,014","93,616","22,078","1,21,816","1,58,946","4,46,843","2,44,100",0,0,"1,70,566",0,"5,379",0,"24,421","6,677",0,0,154,204,662,0,0,201,126,0,923,0,0,0,0,0,"27,154",225,0,0,794,"26,345",0,0,164,65,0,0,0,0,0,0,0,0,0,0,348,"1,09,103","4,612",0,"14,00,15,573"
Pro-memoria: Prestados o en garantía  ,"99,59,659","34,61,667",0,"1,05,116",0,"12,91,010",0,0,0,0,0,"16,42,537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,041",0,0,0,0,"54,937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,65,16,967"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,24,54,575",0,0,0,0,"36,791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,130",0,0,0,0,"13,508",0,0,0,0,0,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,035",0,0,"2,25,14,934"
