Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"37,69,648","67,83,151","8,62,864","4,83,999","8,82,658","2,08,905","1,40,392",0,"3,30,774","1,89,279","49,654","2,21,484","1,68,258","92,815","5,02,014","98,672","1,29,006","1,19,221","64,134","56,776","14,913","40,037","5,00,286","66,150","37,925","13,502","34,411","27,533",992,1,"38,777","48,249","7,043","31,817","17,503",310,"5,236","10,518","12,308","6,709",128,"12,146","5,753",554,"5,966","2,890","19,899","3,022","1,650",100,"3,982",533,16,22,"7,789","2,815",251,"84,960",124,"3,865",1,715,637,18,266,265,"2,020",16,782,0,0,15,1,0,"1,62,29,125"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,11,31,097","1,95,57,074","53,55,450","78,009","16,39,944","39,06,739","52,483","2,10,467","1,72,245","28,334","2,778","2,65,954","4,030","2,83,885",621,"3,859","19,460","4,682",0,"3,700","61,823","2,564","12,56,614",0,"2,485","41,074",927,0,0,0,40,"6,652","8,969",647,126,"19,590",6,"54,161",0,182,0,95,0,0,115,0,"19,982",1,0,0,80,"18,345",0,0,"8,797",686,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,42,24,896"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,588",0,0,0,0,0,0,0,0,0,0,"19,982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,570"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4. Valores representativos de deuda ..........................................................................................................,"1,40,84,137","55,88,802","29,96,870",11,"84,708","34,48,741","43,892",0,"1,41,294",0,0,"2,707",0,0,0,0,0,0,0,0,"4,964",0,"11,29,949",0,0,"34,298",0,0,0,0,0,0,"2,103",0,0,0,1,"53,030",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,76,32,741"
2.5. Otros instrumentos de capital ..........................................................................................................,"56,16,424","26,40,801","7,77,809",0,"8,89,818","2,20,976",336,0,0,0,0,0,0,0,0,0,"18,788","4,615",0,0,0,0,"21,253",0,0,169,0,0,0,0,0,0,289,0,0,2,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,900,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,01,92,419"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,14,30,536","1,13,27,472","15,80,771","77,998","6,65,418","2,37,022","8,255","2,10,467","30,951","28,334","2,778","2,63,247","4,030","2,83,885",621,"3,859",672,67,0,"3,700","56,859","2,564","1,05,412",0,"2,485","6,607",927,0,0,0,40,"6,652","6,578",647,126,0,5,"1,131",0,182,0,95,0,0,0,0,0,1,0,0,80,211,0,0,"8,797",686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,63,60,168"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"68,71,906","67,49,773","25,94,263",0,"52,060","38,53,385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,71,173",0,0,"40,362",0,0,0,0,0,0,0,0,0,0,0,"45,740",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,07,92,087"
