Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,MICROBANK DE LA CAIXA,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"89,95,719","7,71,834","8,66,386","6,92,776","2,03,285","2,42,841","2,03,142","3,70,340","60,062","29,883","1,26,416","1,03,565","1,42,657","1,80,016","1,16,073",0,"72,434","43,332","46,591","75,589","44,011","33,192","11,865","3,97,413","39,482","3,976","35,543","9,110","22,851","35,029","18,053","35,626","24,735",1,94,"16,744","5,120","15,142","6,123","7,120","4,610","20,164",885,"2,994","44,932","6,822","4,742","5,766","6,035","2,049","26,207",7,"3,649",155,889,23,35,54,578,0,"1,575",854,222,47,"1,465",23,11,0,22,0,0,"1,42,38,986",
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,28,43,619","4,89,52,483","62,32,116","3,27,921","16,04,042","13,41,256","1,56,648","1,18,441","9,119","98,199","1,04,408","55,931","7,16,728","19,581","32,721","3,17,514","5,81,813","8,320","4,513",0,"5,333","17,110","75,441","12,51,597","18,847","4,90,390","1,44,366",0,0,"4,146","27,899","1,223",208,0,0,"25,543",0,"1,105","2,992","39,546",41,"34,582",0,0,0,216,7,0,"1,058","60,783","22,696",0,43,0,145,0,618,0,0,0,144,"5,013",0,0,0,0,0,0,0,0,0,"10,57,56,465",
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,80,142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,80,142",
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"3,39,607",0,0,0,0,0,0,0,0,0,0,"72,880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,12,487",
2.4. Valores representativos de deuda ..........................................................................................................,"1,81,02,086","1,28,03,823","5,29,009",128,"1,09,317","11,22,343","77,179",0,0,0,0,0,"2,632",0,"2,426",0,0,0,0,0,0,0,0,"11,07,984",0,"1,353","8,193",0,0,0,0,0,0,0,0,"22,162",0,0,0,"32,396",0,"18,697",0,0,0,0,0,0,0,"54,413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,39,94,141",
2.5. Otros instrumentos de capital ..........................................................................................................,"91,73,636","37,67,364","22,55,557",0,"7,43,926","81,529","7,226",0,0,0,0,0,0,"8,865","6,301",0,0,0,0,0,0,0,0,"32,918",0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,"7,150",0,"13,394",0,0,0,216,0,0,0,"2,958",0,0,0,0,0,0,0,0,0,0,0,"5,013",0,0,0,0,0,0,0,0,0,"1,61,06,113",
2.6. Derivados de negociación ......................................................................................................................................................................,"1,55,67,897","3,20,41,689","34,47,550","3,27,793","7,50,799","1,37,384","72,243","1,18,441","9,119","98,199","1,04,408","55,931","6,41,216","10,716","23,994","3,17,514","5,81,813","8,320","4,513",0,"5,333","17,110","75,441","1,10,695","18,847","8,895","1,36,113",0,0,"4,146","27,899","1,223",208,0,0,"3,381",0,"1,105","2,992",0,41,"2,491",0,0,0,0,7,0,"1,058","3,412","22,696",0,43,0,145,0,618,0,0,0,144,0,0,0,0,0,0,0,0,0,0,"5,47,63,582",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"75,86,718","68,97,858","3,32,153",0,"66,675","4,47,711",0,0,0,0,0,0,0,0,"1,603",0,0,0,0,0,0,0,0,"7,70,846",0,"4,64,743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,710",0,0,0,0,0,0,0,"35,467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,66,05,484",
