Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANESTO BANCO DE EMISIONES ,DEUTSCHE BANK S.A.E.,BANCO GUIPUZCOANO,BANCA MARCH,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,DEXIA SABADELL,BANCO BANIF,BANCO GALLEGO,GENERAL ELECTRIC CAPITAL BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO CAIXA GERAL,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO URQUIJO SABADELL BANCA PRIVADA ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,ALTAE BANCO,UNO-E BANK,BANCO POPULAR HIPOTECARIO ,BANKOA ,BANCO CAMINOS,BANCO DEPOSITARIO BBVA ,BANCO INVERSIS,BANCA PUEYO,"FINANZIA, BANCO DE CRÉDITO ",BANCO DE MADRID ,BANCOPOPULAR-E,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCOFAR ,BANCO ETCHEVERRÍA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO HALIFAX HISPANIA,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO CETELEM,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,DEUTSCHE BANK CREDIT ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,SELF TRADE BANK,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"30,13,053","40,42,216","7,11,251","19,30,506","10,97,730","2,07,915","6,42,995","3,47,994","81,971","92,972",0,"2,27,774","1,40,593","1,56,658","21,302","51,331","78,448","7,586","43,572","62,723",710,"9,03,120","29,111","3,532","24,458","40,475","18,031","17,379","25,798",280,"1,00,682","28,504",0,"7,803","19,823",129,"6,999","6,396","3,217","14,324","12,383","10,201","19,875","6,041",106,"5,784","40,161","5,242","1,066","1,934",5,0,492,682,188,1,"1,289",390,0,25,0,0,0,0,"1,029","1,43,16,255",
2. CARTERA DE NEGOCIACIÓN  ,"6,10,11,308","5,51,90,705","75,46,760","15,17,583","11,27,867","43,08,495","55,084","18,29,433","1,08,814","1,69,328","63,192","2,59,474","3,37,784","33,931",0,"3,82,148",514,"89,249","78,631","3,711",0,"28,37,237",0,220,"42,623",35,515,0,1,0,"2,672","5,543",0,"74,903",260,0,591,16,"55,877",836,813,0,428,247,0,0,0,"2,238",10,29,0,0,0,0,121,0,0,"1,115",0,0,0,0,0,0,0,"13,71,40,341",
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2. 2. Crédito a la clientela ,"89,740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,740",
2. 3. Valores representativos de deuda  ,"2,11,25,102","1,97,75,196","4,04,719","1,06,038","2,948","34,68,009",614,"17,47,089",0,0,0,"2,251","2,25,718",0,0,0,0,0,96,0,0,"25,44,414",0,24,0,0,0,0,0,0,0,"5,485",0,"68,098",0,0,0,0,"28,066",0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,95,04,198",
2. 4.  Instrumentos de capital  ,"40,12,485","44,32,576","20,44,893","36,325",0,"1,88,639",0,"2,259",0,0,0,0,0,0,0,0,514,0,0,368,0,"10,970",0,1,0,0,0,0,0,0,0,0,0,"6,805",0,0,0,0,481,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,115",0,0,0,0,0,0,0,"1,07,37,720",
2. 5. Derivados de negociación ,"3,57,83,981","3,09,82,933","50,97,148","13,75,220","11,24,919","6,51,847","54,470","80,085","1,08,814","1,69,328","63,192","2,57,223","1,12,066","33,931",0,"3,82,148",0,"89,249","78,535","3,343",0,"2,81,853",0,195,"42,623",35,515,0,1,0,"2,672",58,0,0,260,0,591,16,"27,330",836,482,0,139,247,0,0,0,"2,238",10,29,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,"7,68,08,683",
Pro-memoria: Prestados o en garantía  ,"35,21,492","1,51,14,324","3,30,134","20,567",0,"23,59,811",0,"30,334",0,0,0,0,"1,99,409",0,0,0,0,0,0,0,0,"11,57,337",0,0,0,0,0,0,0,0,0,0,0,"2,096",0,0,0,0,"22,960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,27,58,464",
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,44,52,142",0,0,0,0,"7,557",0,"9,05,091",0,0,0,0,0,0,0,0,0,0,0,"1,578",0,0,0,0,0,0,"5,475",0,0,0,0,"17,211",0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,"2,53,89,383",
3. 1. Depósitos en entidades de crédito  ,"2,35,87,816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,35,87,816",
3. 2. Crédito a la clientela  ,"8,64,326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,64,326",
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"9,05,091",0,0,0,0,0,0,0,0,0,0,0,"1,578",0,0,0,0,0,0,0,0,0,0,0,"17,211",0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,24,177",
3. 4. Instrumentos de capital  ,0,0,0,0,0,"7,557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,"13,064",
Pro-memoria: Prestados o en garantía  ,"1,06,79,723",0,0,0,0,0,0,"9,05,091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,15,84,814",
4. ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA  ,"2,76,69,084","3,52,16,785","1,12,80,731","1,34,00,641","77,73,675","50,88,189","30,13,327","24,70,568","6,02,034",0,0,"3,515","11,42,989","1,45,664",832,61,0,"46,15,771","3,32,664","4,98,097",0,"15,91,880","2,29,087","68,709","21,491","6,470","65,307","6,52,906","57,578","2,253","1,45,919","1,38,908",0,"2,84,788","1,52,650",265,"4,563","6,229","64,230","1,934","33,253",32,"28,721","2,41,608",8,0,510,"2,223","1,35,495",0,0,"44,028","15,512","90,309",0,0,379,0,0,0,0,0,3,0,0,"11,73,41,875",
4. 1. Valores representativos de deuda ,"2,62,28,587","3,02,55,694","1,09,39,578","1,29,72,739","69,13,852","50,50,126","30,03,046","23,85,525","4,59,682",0,0,498,"11,19,650","99,850",0,0,0,"46,15,771","1,65,867","4,57,804",0,"15,79,304","2,28,749","66,046","13,649",0,"60,939","6,52,892","57,264","2,253","1,44,974","1,24,944",0,"2,84,788","1,36,948",0,638,"6,229","2,094",0,"32,387",0,"18,199","1,92,904",0,0,0,0,"1,35,494",0,0,0,0,"86,559",0,0,0,0,0,0,0,0,0,0,0,"10,84,95,523",
4. 2. Instrumentos de capital  ,"14,40,497","49,61,091","3,41,153","4,27,902","8,59,823","38,063","10,281","85,043","1,42,352",0,0,"3,017","23,339","45,814",832,61,0,0,"1,66,797","40,293",0,"12,576",338,"2,663","7,842","6,470","4,368",14,314,0,945,"13,964",0,0,"15,702",265,"3,925",0,"62,136","1,934",866,32,"10,522","48,704",8,0,510,"2,223",1,0,0,"44,028","15,512","3,750",0,0,379,0,0,0,0,0,3,0,0,"88,46,352",
Pro-memoria: Prestados o en garantía  ,"1,24,269","2,34,65,065","68,51,370","69,54,356","32,38,566","36,51,993","30,06,444","15,42,639","1,83,838",0,0,0,"4,19,383","54,448",0,0,0,"4,54,167","8,361","14,418",0,"6,25,948","6,296",0,0,0,0,0,"43,663",0,"1,01,657","50,017",0,0,0,0,0,0,0,0,"7,131",0,0,"28,829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,08,32,858",
5. INVERSIONES CREDITICIAS  ,"22,17,86,364","26,13,91,407","8,84,00,906","9,52,78,450","6,58,86,925","4,44,29,337","2,91,85,527","2,25,42,685","2,12,58,416","2,08,79,444","87,62,297","1,56,42,895","75,42,086","83,33,894","84,57,332","25,83,567","39,60,386","1,12,42,819","64,79,850","34,63,659","19,71,212","52,27,588","60,48,897","18,32,478","19,23,219","35,81,491","12,75,743","1,98,005","13,15,557","20,79,853","14,77,958","6,50,019","11,34,784","4,61,552","7,03,611","69,25,749","7,54,225","10,50,914","5,18,073","8,67,623","5,46,063","17,57,437","5,19,525","2,27,734","37,51,335","3,81,473","18,35,978","4,39,066","11,230","6,02,725","30,13,826","91,484","1,35,001","83,927","2,18,952","2,23,500","85,099","1,05,006","33,095","10,22,188","20,915","17,815","12,695","9,114","94,196","1,00,27,46,176",
5. 1. Depósitos en entidades de crédito ,"4,32,05,559","3,07,68,055","1,62,33,147","98,59,869","37,90,542","44,95,356","26,09,128","15,01,595","6,43,827","1,33,91,283","87,62,297","30,32,556","1,78,915","3,57,004","59,49,743","25,83,567","35,93,268","4,80,415","17,10,898","54,481","13,323","48,87,608","12,47,828","15,13,905","8,81,764","18,86,143","11,91,568","1,54,301","2,69,727",0,"27,562","47,109","11,20,740","2,54,837","71,674","19,53,658","85,453","1,17,092","1,34,562","3,83,697","1,10,263","55,196","95,096","87,056","37,51,270","2,95,602","3,472","1,27,336","10,218","5,73,141","30,438","91,437","1,30,315","45,083","1,92,091",139,"25,021","20,744","33,095",340,"20,908","17,815","7,694","9,114","77,599","17,52,54,539",
