Var,0182,0049,0075,0030,0081,0128,0065,0072,0093,0224,0061,0042,0019,0038,0036,0231,0198,0073,0046,0130,0086,0223,0122,0129,0094,0233,0185,0057,0216,0227,0138,0234,0099,0078,0125,0229,0232,0142,0031,0059,0009,0186,0063,0236,0003,0058,0136,0211,0113,0226,0225,0184,0188,1490,0011,0220,0133,0200,0219,0132,0121,0091,0083,0235,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,OPEN BANK,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,BBVA BANCO DE FINANCIACIÓN,RBC DEXIA INVESTOR SERVICES ESPAÑA,POPULAR BANCA PRIVADA,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,UNO-E BANK,BANKOA ,BANCO CAMINOS,ALTAE BANCO,BANCA PUEYO,BANCOFAR ,BANCOPOPULAR-E,BANCO INVERSIS,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO ETCHEVERRÍA ,BANCO DE MADRID ,"FINANZIA, BANCO DE CRÉDITO ","BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,LLOYDS BANK INTERNATIONAL,BANCO DE DEPÓSITOS,BNP PARIBAS ESPAÑA ,ARESBANK ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,UBS BANK,BANCO CETELEM,BANCO EUROPEO DE FINANZAS,BANCO ALCALÁ ,SELF TRADE BANK,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,BANCO PICHINCHA ESPAÑA,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,19,96,796","82,98,087","20,13,746","6,32,419","9,01,863","3,65,826","6,48,751","3,81,536","72,202","70,614","1,59,569","1,41,311","1,59,228",0,"34,149","32,769","8,06,546","82,394","60,733","30,468","73,088","1,752","89,810","9,316","6,893","8,933","12,219",0,"8,944","12,221","16,139","20,888","10,184","24,433","2,621","4,698","7,518","18,380","13,989","5,030",195,"13,483",106,"46,475","5,295","4,463","3,477","2,147",0,"14,402",5,"1,182",223,"1,416",688,"1,697",1,945,"1,404",0,0,0,0,811,"2,73,34,478"
2. CARTERA DE NEGOCIACIÓN  ,"5,60,59,230","7,49,18,000","14,02,543","81,87,894","15,30,962","20,28,631","38,337","4,72,866","99,557","1,40,569","25,616","74,282","2,26,650","85,271",55,"1,13,262","6,36,705",480,"4,405",0,"26,668",0,0,"1,99,775",895,2,"5,138",0,"10,672",0,"3,434",45,0,117,0,17,"47,058","3,583",268,517,"1,213",456,0,471,0,"44,730",0,"37,455",0,"1,952",0,0,0,0,212,306,0,0,"1,406",0,0,2,0,0,"14,64,31,707"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2. 2. Crédito a la clientela ,0,"26,859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,859"
2. 3. Valores representativos de deuda  ,"1,25,45,284","2,47,41,288","12,572","2,89,774","1,32,329","12,72,958",100,"3,60,692",0,0,0,0,825,0,0,0,"3,14,680",0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0,"41,519","3,142",0,0,0,0,0,0,0,0,0,"13,158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,97,28,375"
2. 4.  Instrumentos de capital  ,"46,18,600","26,48,883","1,32,158","23,66,921",0,"2,77,228",0,"1,465",0,0,0,0,0,0,0,0,"9,987",480,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,539",264,178,0,0,0,0,0,0,0,0,"1,084",0,0,0,0,0,0,0,0,0,0,"1,406",0,0,0,0,0,"1,00,64,289"
2. 5. Derivados de negociación ,"3,88,95,346","4,75,00,970","12,57,813","55,31,199","13,98,633","4,78,445","38,237","1,10,709","99,557","1,40,569","25,616","74,282","2,25,825","85,271",55,"1,13,262","3,12,038",0,"4,309",0,"26,668",0,0,"1,99,775",891,2,"5,088",0,"10,672",0,"3,434",45,0,117,0,17,0,177,90,517,"1,213",456,0,471,0,"44,730",0,"23,213",0,"1,952",0,0,0,0,212,306,0,0,0,0,0,0,0,0,"9,66,12,182"
Pro-memoria: Prestados o en garantía  ,"78,52,963","48,19,008",0,"1,15,352",0,"5,73,678",0,"3,143",0,0,0,0,0,0,0,0,"2,01,647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,098",0,0,0,0,0,0,0,0,0,0,"9,921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,35,77,810"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,0,"3,18,23,598","1,736",0,0,"14,133",0,"8,93,353",0,0,0,0,0,0,0,0,0,0,"1,611",0,0,0,0,0,0,"5,624",0,0,0,0,0,"21,328",0,0,0,0,"1,215",0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,713","3,27,75,271"
3. 1. Depósitos en entidades de crédito  ,0,"2,49,52,899","1,736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,49,54,635"
3. 2. Crédito a la clientela  ,0,"68,70,699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"68,70,699"
3. 3. Valores representativos de deuda ,0,0,0,0,0,0,0,"8,93,353",0,0,0,0,0,0,0,0,0,0,"1,611",0,0,0,0,0,0,0,0,0,0,0,0,"21,328",0,0,0,0,"1,215",0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,713","9,30,180"
3. 4. Instrumentos de capital  ,0,0,0,0,0,"14,133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,757"
Pro-memoria: Prestados o en garantía  ,0,"1,08,12,270",0,0,0,0,0,"8,93,353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,17,05,623"
