Var,0182,0049,0030,0081,0075,0128,0072,0038,0065,1004,0093,0019,0004,0129,0036,0224,0042,0061,0073,0082,0086,0097,0198,0130,0046,0112,0095,0131,0231,0057,0228,0122,0094,0024,0227,0223,0185,0142,0138,0186,0216,0078,0003,0222,0031,0125,0217,0229,0233,0063,0058,0211,0113,0225,0226,0059,0188,0232,0009,0099,0133,0220,0200,0184,0021,0205,0136,0132,0219,0011,0115,0121,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BANESTO BANCO DE EMISIONES ,BARCLAYS BANK ,BANCO DE CRÉDITO LOCAL DE ESPAÑA,BANCO DE VALENCIA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT SERVICES,SANTANDER CONSUMER FINANCE,BANCO GUIPUZCOANO,BANCA MARCH,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,BANCO BANIF,BANCO DE GALICIA,BANCO COOPERATIVO ESPAÑOL ,BANCO SIMEON,BANCO GALLEGO,BANCO URQUIJO ,BANCO DE VASCONIA ,BANCO ESPIRITO SANTO ,DEXIA SABADELL BANCO LOCAL,BANCO DEPOSITARIO BBVA ,BANCO IXIS URQUIJO,CITIBANK ESPAÑA ,BANCOVAL ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,GENERAL ELECTRIC CAPITAL BANK,SABADELL BANCA PRIVADA ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANKOA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO POPULAR HIPOTECARIO ,BANCA PUEYO,BANCO DE DEPÓSITOS,"JPMORGAN BANK, S.A.",BANCO ETCHEVERRÍA ,BANCOFAR ,BANCO HALIFAX HISPANIA,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,BANCO CETELEM,UBS ESPAÑA,BANCO DE MADRID ,BANCO ALCALÁ ,BANCO INVERSIS NET,"FINANZIA, BANCO DE CRÉDITO ",ALTAE BANCO,BANCO DE EUROPA ,BANCO FINANTIA SOFINLOC ,PRIVAT BANK ,BANCO EUROPEO DE FINANZAS,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANCO ÁRABE ESPAÑOL ,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,ALLFUNDS BANK,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"58,58,989","14,01,882","4,89,954","4,87,790","5,65,313","3,01,780","1,83,357",0,"3,81,537","2,32,012","97,233","1,87,252","1,53,669","87,171","1,57,067","97,886","76,137","98,165","61,966","51,781","6,328","38,462","95,226","42,222","31,282","11,155","27,146","26,441","1,203",1,"3,629","38,579","6,541","34,528","18,146",295,"5,907","6,362","9,878","4,386",127,"11,256","5,743",553,"4,541","2,536","21,095","2,944","2,525",119,"5,882","2,020",17,16,"10,208","3,173",265,"18,883",282,"1,162",1,724,865,15,254,252,"1,067",18,377,1,0,17,1,0,"1,14,75,597"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,64,65,168","1,97,22,649","50,86,661","92,733","17,08,905","45,86,042","54,202","93,276","61,014","27,464","2,771","2,70,721","2,867","2,96,415",489,0,"80,553","4,059",0,"2,693","41,339","2,018","12,04,404",0,"2,580","52,720",675,0,0,0,21,"7,976","9,320",309,148,"22,265",0,"54,014",0,219,0,0,0,0,115,0,"19,978",0,0,0,74,"21,623",0,0,"8,963",685,0,120,0,0,0,0,0,0,0,0,0,0,"69,976",0,0,0,0,0,"7,00,78,224"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,263",0,0,0,0,0,0,0,0,0,0,"19,978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"56,265",0,0,0,0,0,"98,506"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,711",0,0,0,0,0,"13,711"
2.4. Valores representativos de deuda ..........................................................................................................,"1,52,78,266","60,71,211","29,72,927",10,"83,198","41,11,648","34,114",0,"46,991",0,0,"2,361",0,0,0,0,"59,365",0,0,0,379,0,"10,59,191",0,0,"52,475",0,0,0,0,0,0,"2,700",0,0,0,0,"52,906",0,0,0,0,0,0,0,0,0,0,0,0,0,"20,789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,98,48,531"
2.5. Otros instrumentos de capital ..........................................................................................................,"55,52,566","17,86,172","4,68,701",0,"9,38,851","1,96,707",665,0,0,0,0,0,0,0,0,0,"20,644","3,979",0,0,0,0,"21,926",0,0,175,0,0,0,0,0,0,95,0,0,2,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,566,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,91,284"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,56,34,336","1,18,65,266","16,45,033","92,723","6,86,856","2,77,687","19,423","93,276","14,023","27,464","2,771","2,68,360","2,867","2,96,415",489,0,544,80,0,"2,693","40,959","2,018","1,23,287",0,"2,580",70,675,0,0,0,21,"7,976","6,525",309,148,0,0,"1,108",0,219,0,0,0,0,0,0,0,0,0,0,74,268,0,0,"8,963",685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,11,26,191"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"71,79,770","58,00,250","26,04,781",0,"48,034","41,17,652",0,0,0,0,0,0,0,0,0,0,"59,365",0,0,0,0,0,"5,10,271",0,0,"49,597",0,0,0,0,0,0,0,0,0,0,0,"45,598",0,0,0,0,0,0,0,0,0,0,0,0,0,"14,482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,04,29,800"
