Var,0182,0049,0030,0075,0081,0128,0072,0065,0093,0038,0224,1004,0019,0004,0129,0061,0036,0042,0073,0082,0231,0086,0097,0046,0130,0198,0094,0095,0223,0112,0131,0122,0227,0024,0057,0228,0138,0185,0078,0216,0142,0186,0059,0003,0125,0031,0217,0211,0229,0233,0232,0225,0063,0058,0220,0226,0113,0099,0009,0188,0133,0200,0021,0205,0011,0219,0132,0184,0115,0121,0136,0091,0083,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER CENTRAL HISPANO ,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,BANESTO BANCO DE EMISIONES ,SANTANDER CONSUMER FINANCE,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCO DE ANDALUCÍA,BBVA BANCO DE FINANCIACIÓN,BANCA MARCH,SANTANDER INVESTMENT,BANCO GUIPUZCOANO,OPEN BANK SANTANDER CONSUMER,BANCO DE CASTILLA ,DEXIA SABADELL BANCO LOCAL,BANCO BANIF,BANCO DE GALICIA,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO COOPERATIVO ESPAÑOL ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO DE VASCONIA ,GENERAL ELECTRIC CAPITAL BANK,BANCO URQUIJO ,BANCO ESPIRITO SANTO ,CITIBANK ESPAÑA ,UNO-E BANK,BANCO DE CRÉDITO BALEAR,BANCO DEPOSITARIO BBVA ,CACEIS BANK ESPAÑA,BANKOA ,SABADELL BANCA PRIVADA ,BANCA PUEYO,BANCO POPULAR HIPOTECARIO ,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE MADRID ,BANCO DE DEPÓSITOS,BANCOFAR ,BANCO ETCHEVERRÍA ,BANCO HALIFAX HISPANIA,EBN BANCO DE NEGOCIOS,BANCOPOPULAR-E,POPULAR BANCA PRIVADA,BANCO INVERSIS NET,BANCO CETELEM,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,UBS ESPAÑA,BANCO INDUSTRIAL DE BILBAO ,ALTAE BANCO,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO DE EUROPA ,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,ALLFUNDS BANK,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO ÁRABE ESPAÑOL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"16,36,289","7,26,251","2,35,063","5,23,349","6,36,932","5,55,000","12,60,949","2,11,909","1,35,463",0,"77,094","1,05,834","1,11,224","1,52,605","95,273","1,25,193","27,083","1,11,551","75,004","61,122","2,285","17,827","45,981","26,837","46,254","2,10,921","5,618","34,653","1,336","57,951","26,196","24,906","21,225","38,594",1,"2,686","15,859","14,049","14,053",87,"14,140","7,173","5,028","6,117","6,832","5,305","38,611","1,787","2,998","2,216","4,036",15,135,"4,671",986,"21,716",40,986,37,95,1,843,291,42,37,355,41,10,0,44,"1,530",1,0,"75,96,626"
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"3,38,22,765","3,19,21,063","46,14,717","10,70,520","1,11,983","33,88,733","52,580","99,116","2,242","4,00,184","18,220","33,992","3,98,600","1,111","3,90,344","9,833","1,674","55,301",0,689,"73,893","1,03,526",475,"9,196",0,"15,52,684","2,11,192","3,406",0,"2,271","19,076","3,218",251,228,0,0,"3,092","2,954",375,0,"55,933",152,829,0,404,116,0,"21,052",0,0,"40,030",0,0,18,69,"6,831",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,"7,85,04,947"
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,06,617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,06,617"
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"3,94,285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,94,285"
2.4. Valores representativos de deuda ..........................................................................................................,"1,33,18,479","1,09,22,123","12,38,498","83,367","1,857","30,43,697","22,041","58,297",0,0,0,0,"4,255",0,0,0,0,969,0,0,0,"7,238",0,0,0,"14,25,363",438,0,0,63,0,0,0,0,0,0,0,"2,943",0,0,"43,773",0,0,0,0,0,0,"17,837",0,0,"26,986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,02,18,224"
2.5. Otros instrumentos de capital ..........................................................................................................,"92,88,816","46,35,205","9,62,825","5,45,569",0,"2,29,807","4,927",0,0,0,0,0,0,0,0,"7,117",0,"24,359",0,0,0,0,0,0,0,"30,659",120,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,854",0,0,0,0,116,0,"1,326",0,0,"13,023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,57,53,723"
2.6. Derivados de negociación ......................................................................................................................................................................,"1,12,15,470","1,59,69,450","24,13,394","4,41,584","1,10,126","1,15,229","25,612","40,819","2,242","4,00,184","18,220","33,992","3,94,345","1,111","3,90,344","2,716","1,674","29,973",0,689,"73,893","96,288",475,"9,196",0,"96,662","4,017","3,406",0,"2,208","19,076","3,218",251,228,0,0,"3,092",11,375,0,"2,306",152,829,0,404,0,0,"1,889",0,0,21,0,0,18,69,"6,831",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,"3,19,32,098"
Pro-memoria: Prestados o en garantía ..........................................................................................................,"22,79,902","37,83,984","6,22,750","53,043",0,"26,32,855",0,0,0,0,0,0,0,0,0,0,0,969,0,0,0,0,0,0,0,"11,91,339","1,93,307",0,0,0,0,0,0,0,0,0,0,0,0,0,"19,796",0,0,0,0,0,0,"9,346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,07,87,291"
