Var,0182,0049,0030,0081,0075,0128,0072,0065,0093,0224,0004,1004,0019,0061,0042,0038,0129,0036,0082,0073,0097,0046,0231,0198,0095,0094,0086,0223,0130,0122,0185,0024,0227,0057,0216,0138,0233,0078,0059,0232,0186,0142,0228,0099,0217,0031,0229,0003,0125,0211,0226,0225,0058,0063,0220,0113,0009,0188,0136,0133,0011,0200,0021,0205,0219,0132,0184,0115,0121,0091,0083,,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANCO POPULAR ESPAÑOL ,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCO DE ANDALUCÍA,BANCO DE CRÉDITO LOCAL DE ESPAÑA,DEUTSCHE BANK S.A.E.,BANCA MARCH,BANCO GUIPUZCOANO,BANESTO BANCO DE EMISIONES ,BBVA BANCO DE FINANCIACIÓN,SANTANDER INVESTMENT,BANCO DE CASTILLA ,OPEN BANK SANTANDER CONSUMER,BANCO DE GALICIA,BANCO GALLEGO,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,BANCO DE VASCONIA ,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,BANCO CAIXA GERAL,CITIBANK ESPAÑA ,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DE CRÉDITO BALEAR,UNO-E BANK,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,BANKOA ,POPULAR BANCA PRIVADA,BANCA PUEYO,BANCO DE MADRID ,BANCO INVERSIS NET,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO EXELBANK,ALTAE BANCO,BANCO HALIFAX HISPANIA,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE DEPÓSITOS,BANCOFAR ,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO CETELEM,BNP PARIBAS ESPAÑA ,BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO FINANTIA SOFINLOC ,BANCO INDUSTRIAL DE BILBAO ,"FINANZIA, BANCO DE CRÉDITO ",BANCO ALCALÁ ,BANCO ÁRABE ESPAÑOL ,MICROBANK DE LA CAIXA,ALLFUNDS BANK,PRIVAT BANK ,BANCO CONDAL ,DEUTSCHE BANK CREDIT ,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO EUROPEO DE FINANZAS,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES ..........................................................................................................,"89,48,425","17,72,375","3,58,524","6,82,636","10,88,138","2,32,776","7,86,414","7,02,382","61,031","51,908","2,29,716","50,152","1,82,649","1,30,015","1,89,627",0,"70,627","54,386","1,15,625","72,523","68,692","1,50,619","3,619","6,98,101","68,561","11,335","29,894","9,044","21,336","63,190","19,808","38,719","24,058",1,90,"14,179","3,522","13,947","7,145","2,456","6,689","12,963",991,"2,028","31,515","6,098","4,410","5,752","3,602","1,902","26,084",7,"6,701",157,943,24,13,436,881,0,598,908,223,43,"3,111",25,8,0,24,0,0,"1,71,44,381",
2. CARTERA DE NEGOCIACIÓN ..................................................................................................................................................................................,"4,19,72,366","4,58,08,202","54,60,702","3,05,637","15,48,068","13,90,456","1,52,978","98,609","8,966","82,542","1,01,625","57,413","6,14,715","18,246","36,711","2,49,548","4,27,075","4,813","4,878",0,"5,139","15,631","75,457","11,46,828","17,759","1,70,641","1,31,956",0,0,"4,012","13,987","1,216",184,0,0,"3,665",0,933,"2,316","39,442",41,"36,285",2,0,0,252,8,0,"1,026","67,096","17,404",0,28,0,44,0,152,0,0,0,70,0,0,0,0,0,0,0,0,0,0,"10,00,95,124",
2.1. Depósitos en entidades de crédito ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,59,723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,59,723",
2.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.3. Crédito a la clientela ......................................................................................................................................................................,0,"4,82,429",0,0,0,0,0,0,0,0,0,0,"71,283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,53,712",
2.4. Valores representativos de deuda ..........................................................................................................,"1,82,84,280","1,31,92,513","5,94,481",118,"72,608","11,31,630","77,622",0,0,0,0,0,"1,987",0,"2,418",0,0,0,0,0,0,0,0,"10,06,664",0,"2,396","13,988",0,0,0,0,0,0,0,0,0,0,0,0,"31,476",0,"20,956",0,0,0,0,0,0,0,"60,808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,44,93,945",
2.5. Otros instrumentos de capital ..........................................................................................................,"91,32,592","33,96,128","15,83,557",0,"6,49,083","1,15,129","5,040",0,0,0,0,0,0,"8,363","10,077",0,0,0,0,0,0,0,0,"31,343",0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,"7,966",0,"13,334",0,0,0,252,0,0,0,"2,970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,49,55,894",
2.6. Derivados de negociación ......................................................................................................................................................................,"1,45,55,494","2,87,37,132","32,82,664","3,05,519","8,26,377","1,43,697","70,316","98,609","8,966","82,542","1,01,625","57,413","5,41,445","9,883","24,216","2,49,548","4,27,075","4,813","4,878",0,"5,139","15,631","75,457","1,08,821","17,759","8,522","1,17,908",0,0,"4,012","13,987","1,216",184,0,0,"3,665",0,933,"2,316",0,41,"1,995",2,0,0,0,8,0,"1,026","3,318","17,404",0,28,0,44,0,152,0,0,0,70,0,0,0,0,0,0,0,0,0,0,"4,99,31,850",
Pro-memoria: Prestados o en garantía ..........................................................................................................,"77,75,912","43,47,033","4,86,325",0,"35,183","7,83,723",0,0,0,0,0,0,0,0,"2,155",0,0,0,0,0,0,0,0,"6,32,139",0,"1,31,315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,755",0,0,0,0,0,0,0,"8,918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,42,04,458",
3. OTROS ACTIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PÉR.Y GAN. ..........................................................................................................,0,"3,86,74,600",0,0,0,"24,268","59,884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,644",0,0,0,0,0,3,0,0,0,0,0,0,0,0,"34,754",0,259,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,88,14,441",
3.1. Depósitos en entidades de crédito ..........................................................................................................,0,"3,83,28,698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,83,28,698",
3.2. Operac. del mercado monet. través de entid. de contrapartida ..........................................................................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.3. Crédito a la clientela ......................................................................................................................................................................,0,"3,45,902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,45,902",
