Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO ESPAÑOL DE CRÉDITO ,BANCO POPULAR ESPAÑOL ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANESTO BANCO DE EMISIONES ,DEUTSCHE BANK S.A.E.,BANCO GUIPUZCOANO,BANCA MARCH,SANTANDER INVESTMENT,BBVA BANCO DE FINANCIACIÓN,OPEN BANK SANTANDER CONSUMER,DEXIA SABADELL,BANCO BANIF,BANCO GALLEGO,GENERAL ELECTRIC CAPITAL BANK,BANCO COOPERATIVO ESPAÑOL ,BANCO CAIXA GERAL,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANCO URQUIJO SABADELL BANCA PRIVADA ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,ALTAE BANCO,UNO-E BANK,BANCO POPULAR HIPOTECARIO ,BANKOA ,BANCO CAMINOS,BANCO DEPOSITARIO BBVA ,BANCO INVERSIS,BANCA PUEYO,"FINANZIA, BANCO DE CRÉDITO ",BANCO DE MADRID ,BANCOPOPULAR-E,EBN BANCO DE NEGOCIOS,UBS BANK,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCOFAR ,BANCO ETCHEVERRÍA ,"BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO DE DEPÓSITOS,BANCO HALIFAX HISPANIA,BNP PARIBAS ESPAÑA ,BANCO FINANTIA SOFINLOC ,ARESBANK ,BANCO CETELEM,BANCO INDUSTRIAL DE BILBAO ,BANCO ALCALÁ ,BANCO EUROPEO DE FINANZAS,ALLFUNDS BANK,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL,BANCO DE PROMOCIÓN DE NEGOCIOS ,DEUTSCHE BANK CREDIT ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,SELF TRADE BANK,TOTAL BANCOS,
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"47,89,734","60,69,294","8,88,981","12,90,393","8,96,935","1,52,428","6,09,600","2,40,284","69,096","79,791",0,"15,60,766","1,01,801","1,50,293","1,15,467","50,287","72,509","5,708","46,166","72,905",708,"9,41,587","26,382","7,113","18,703","45,635","14,745","17,655","26,195",280,"46,570","7,769",0,"14,636","14,216",129,"6,448","6,223","1,019","12,985","15,384","10,128","17,317","5,042",106,"5,584","39,982","6,513","1,057","3,685",5,0,41,3,185,0,"1,505",349,0,25,0,0,0,0,"1,028","1,85,79,375",
2. CARTERA DE NEGOCIACIÓN  ,"6,02,53,584","5,68,70,525","68,48,921","20,53,321","11,92,681","30,00,728","57,840","18,52,478","1,12,954","1,84,461","89,559","2,67,571","4,47,057","17,972",18,"4,15,645",517,"90,915","79,927","3,938",0,"26,83,048",0,438,"47,312",35,615,0,7,0,"2,717","5,622",0,"62,784",305,0,591,16,"52,823",754,"5,506",0,321,247,0,0,0,619,658,168,0,0,0,0,128,0,0,"1,099",0,0,0,0,0,0,0,"13,67,06,425",
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2. 2. Crédito a la clientela ,"69,706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"69,706",
2. 3. Valores representativos de deuda  ,"2,09,65,075","2,06,66,628","5,18,281","1,26,125",301,"21,33,912",841,"17,66,780",0,0,0,"3,309","3,25,644",0,0,0,0,0,75,0,0,"24,23,132",0,237,0,0,0,0,0,0,0,"5,501",0,"56,373",0,0,0,0,"24,316",0,"4,927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,90,21,457",
2. 4.  Instrumentos de capital  ,"30,14,097","44,08,132","10,46,016","36,521",0,"1,86,904",0,"2,279",0,0,0,0,0,0,0,0,517,0,0,149,0,"10,808",0,0,0,0,0,0,0,0,0,0,0,"6,394",0,0,0,0,339,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,099",0,0,0,0,0,0,0,"87,13,417",
2. 5. Derivados de negociación ,"3,62,04,706","3,17,95,765","52,84,624","18,90,675","11,92,380","6,79,912","56,999","83,419","1,12,954","1,84,461","89,559","2,64,262","1,21,413","17,972",18,"4,15,645",0,"90,915","79,852","3,789",0,"2,49,108",0,201,"47,312",35,615,0,7,0,"2,717",121,0,17,305,0,591,16,"28,168",754,579,0,159,247,0,0,0,619,658,168,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,"7,89,01,845",
Pro-memoria: Prestados o en garantía  ,"18,33,693","1,40,33,231","4,29,163","40,813",0,"8,04,872",0,"30,268",0,0,0,0,"3,03,955",0,0,0,0,0,0,0,0,"11,50,785",0,0,0,0,0,0,0,0,0,0,0,"2,095",0,0,0,0,"18,987",0,"1,599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,86,49,461",
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"2,36,49,695",0,0,0,0,"7,576",0,"9,04,177",0,0,0,0,0,0,0,0,0,0,0,"1,573",0,0,0,0,0,0,"5,480",0,0,0,0,"17,679",0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,"2,45,86,510",
