Var,0182,0049,0075,0030,0081,0128,0065,0072,0093,0224,0061,0042,0019,0038,0036,0231,0198,0073,0046,0130,0086,0223,0122,0129,0094,0233,0185,0057,0216,0227,0138,0234,0099,0078,0125,0229,0232,0142,0031,0059,0009,0186,0063,0217,0003,0058,0136,0211,0113,0226,0225,0184,0188,1490,0011,0220,0133,0200,0219,0132,0115,0121,0091,0083,0235,
ACTIVO,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO SANTANDER ,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BARCLAYS BANK ,BANCO PASTOR ,BANCO DE VALENCIA,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO COOPERATIVO ESPAÑOL ,OPEN BANK,BANCO GALLEGO,BANCO CAIXA GERAL,BANCO BANIF,GENERAL ELECTRIC CAPITAL BANK,CITIBANK ESPAÑA ,BBVA BANCO DE FINANCIACIÓN,RBC DEXIA INVESTOR SERVICES ESPAÑA,POPULAR BANCA PRIVADA,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO DEPOSITARIO BBVA ,BANCO POPULAR HIPOTECARIO ,UNO-E BANK,BANKOA ,BANCO CAMINOS,ALTAE BANCO,BANCA PUEYO,BANCOFAR ,BANCOPOPULAR-E,BANCO INVERSIS,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BANCO ETCHEVERRÍA ,BANCO DE MADRID ,"FINANZIA, BANCO DE CRÉDITO ","BANCO DE FINANZAS E INVERSIONES, (FIBANC)",BANCO DE SERVICIOS FINANCIEROS CAJA MADRID - MAPFRE,BANCO HALIFAX HISPANIA,BANCO DE DEPÓSITOS,BNP PARIBAS ESPAÑA ,ARESBANK ,EBN BANCO DE NEGOCIOS,BANCO INDUSTRIAL DE BILBAO ,UBS BANK,BANCO CETELEM,BANCO EUROPEO DE FINANZAS,BANCO ALCALÁ ,SELF TRADE BANK,ALLFUNDS BANK,BANCO FINANTIA SOFINLOC ,MICROBANK DE LA CAIXA,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO LIBERTA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,BANCO ALICANTINO DE COMERCIO,BANCO PICHINCHA ESPAÑA,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"75,30,958","41,65,100","5,76,186","9,66,150","10,41,302","2,28,962","3,52,556","3,04,710","79,668","95,720","1,06,341","1,05,723","98,417",0,"41,227","34,322","5,67,563","83,164","74,619","53,734","77,848","1,751","86,387","5,109","12,935","8,294","13,665",0,28,"12,983","20,732","1,555","7,143","32,520","14,795","4,942","8,387","16,181","14,160","4,320",194,"9,768",106,"40,424","5,291","4,970","5,693",708,0,"14,674",6,"1,180",175,"1,413",688,"1,708",0,925,207,0,,0,0,0,"1,112","1,69,39,399"
2. CARTERA DE NEGOCIACIÓN  ,"5,73,21,630","7,62,94,754","14,59,090","81,42,302","14,58,401","18,45,118","33,379","5,66,116","1,08,224","1,42,157","26,222","3,77,183","2,31,687","1,01,370",0,"1,22,542","8,49,322",483,"5,374",0,"29,035",0,0,"1,96,729",558,2,"5,672",0,0,0,"13,402",140,0,87,0,17,"61,526",711,198,481,796,453,0,0,0,"45,699",136,"37,989",0,"3,568",0,0,0,0,298,146,0,0,"1,350",0,,0,3,0,0,"14,94,84,350"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,3
2. 2. Crédito a la clientela ,0,"27,153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"27,153"
2. 3. Valores representativos de deuda  ,"1,15,11,191","2,38,29,453","16,292","3,85,930","65,167","10,66,609",96,"4,46,378",0,0,0,"2,99,143","1,261",0,0,0,"4,96,782",0,0,0,0,0,0,0,4,0,50,0,0,0,"9,872",0,0,0,0,0,"55,989",309,0,0,0,0,0,0,0,0,0,"11,083",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"3,81,95,609"
2. 4.  Instrumentos de capital  ,"36,61,316","18,37,278","80,551","17,64,689",0,"2,48,732",0,"3,494",0,0,0,0,0,0,0,0,"9,681",483,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,537",265,134,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,"1,350",0,,0,0,0,0,"76,14,097"
2. 5. Derivados de negociación ,"4,21,49,123","5,06,00,870","13,62,247","59,91,683","13,93,234","5,29,777","33,283","1,16,244","1,08,224","1,42,157","26,222","78,040","2,30,426","1,01,370",0,"1,22,542","3,42,859",0,"5,269",0,"29,035",0,0,"1,96,729",554,2,"5,622",0,0,0,"3,530",140,0,87,0,17,0,137,64,481,796,453,0,0,0,"45,699",136,"26,424",0,"3,568",0,0,0,0,298,146,0,0,0,0,,0,0,0,0,"10,36,47,488"
Pro-memoria: Prestados o en garantía  ,"61,39,896","26,43,895",0,"1,47,067",0,"5,17,646",0,0,0,0,0,"2,99,143",0,0,0,0,"2,66,978",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,994",0,0,0,0,0,"2,097",0,0,0,0,0,0,0,0,0,0,"9,817",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"1,00,32,533"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,0,"2,68,31,752","1,736",0,0,"19,240",0,"8,92,565",0,0,0,0,0,0,0,0,0,0,"1,606",0,0,0,0,0,0,"5,480",0,0,0,0,0,"20,427",0,0,0,0,"1,209",0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,"11,745","2,77,86,733"
