Var,0049,0182,0075,0030,0081,0128,0072,0065,0224,0061,0042,0019,0038,0073,0198,0036,0231,0046,0086,0130,0223,0216,0122,0233,0094,0138,0057,0078,0185,0234,0125,0236,0232,0227,0031,0229,0142,0129,0059,0186,0003,0225,0211,0058,0136,0226,0113,0184,1490,0220,0011,0188,0200,0219,0132,0235,0121,0091,0083,0133,0099,
ACTIVO,BANCO SANTANDER ,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO POPULAR ESPAÑOL ,BANCO ESPAÑOL DE CRÉDITO ,BANCO SABADELL,BANKINTER ,BANCO PASTOR ,BARCLAYS BANK ,SANTANDER CONSUMER FINANCE,BANCA MARCH,BANCO GUIPUZCOANO,DEUTSCHE BANK S.A.E.,BANESTO BANCO DE EMISIONES ,OPEN BANK,BANCO COOPERATIVO ESPAÑOL ,SANTANDER INVESTMENT,DEXIA SABADELL,BANCO GALLEGO,BANCO BANIF,BANCO CAIXA GERAL,GENERAL ELECTRIC CAPITAL BANK,BANCO POPULAR HIPOTECARIO ,CITIBANK ESPAÑA ,POPULAR BANCA PRIVADA,RBC DEXIA INVESTOR SERVICES ESPAÑA,BANKOA ,BANCO DEPOSITARIO BBVA ,BANCA PUEYO,BANCO URQUIJO SABADELL BANCA PRIVADA ,BANCO CAMINOS,BANCOFAR ,LLOYDS BANK INTERNATIONAL,BANCO INVERSIS,UNO-E BANK,BANCO ETCHEVERRÍA ,BANCOPOPULAR-E,BANCO DE LA PEQUEÑA Y MEDIANA EMPRESA,BBVA BANCO DE FINANCIACIÓN,BANCO DE MADRID ,"BANCO DE FINANZAS E INVERSIONES, (BANCO MEDIOLANUM)",BANCO DE DEPÓSITOS,BANCO CETELEM,EBN BANCO DE NEGOCIOS,BNP PARIBAS ESPAÑA ,ARESBANK ,UBS BANK,BANCO INDUSTRIAL DE BILBAO ,BANCO EUROPEO DE FINANZAS,SELF TRADE BANK,BANCO FINANTIA SOFINLOC ,ALLFUNDS BANK,BANCO ALCALÁ ,PRIVAT BANK DEGROOF,BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNAL.,BANCO DE PROMOCIÓN DE NEGOCIOS ,BANCO PICHINCHA ESPAÑA,BANCO OCCIDENTAL ,BANCO DE ALBACETE ,RENTA 4 BANCO,NUEVO MICRO BANK,BANKIA BANCA PRIVADA,TOTAL BANCOS
1. CAJA Y DEPÓSITOS EN BANCOS CENTRALES,"1,04,71,070","74,14,066","9,73,494","4,92,335","4,98,720","4,65,246","2,45,488","8,35,776","47,382","2,24,505","53,011","1,27,108",0,"69,050","5,93,592","48,521","6,208","73,155","43,185","30,271","1,634","39,772","42,713","11,940","2,455","36,760",0,"23,970","10,522","3,977","12,720","35,180","6,321","11,113","81,963","6,678","48,803","32,012","4,488","16,820","5,156",6,"1,731","2,287","12,424","15,731",0,617,"1,778","2,284",796,253,"1,364","3,522",0,"1,027",0,0,0,0,"10,047","2,32,01,047"
2. CARTERA DE NEGOCIACIÓN  ,"8,96,93,711","6,15,65,604","12,07,444","78,64,940","17,19,057","50,30,665","1,63,925","39,594","52,222","69,811","44,434","1,90,194","1,42,798",0,"9,00,632",0,"1,27,100","4,606","16,389",0,0,"9,311",0,0,655,"1,367",0,245,"8,788","4,073",0,"1,316","38,579",0,3,1,512,"2,99,087",385,586,0,0,"82,902","70,785",0,"1,579",0,0,0,512,332,0,93,401,0,0,0,2,0,0,0,"16,93,54,640"
2. 1. Depósitos en entidades de crédito  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
2. 2. Crédito a la clientela ,"55,597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,597"
2. 3. Valores representativos de deuda  ,"2,14,31,692","1,14,33,960",158,"3,58,751","1,63,933","41,87,298","6,785",426,0,0,0,"3,735",0,0,"6,03,516",0,0,0,0,0,0,0,0,0,2,0,0,0,0,"2,128",0,0,"36,429",0,0,0,183,0,0,0,0,0,"60,442",0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,"3,82,89,531"
2. 4.  Instrumentos de capital  ,"23,87,909","25,83,044","70,473","12,84,317",0,"1,62,138","5,420",0,0,0,0,0,0,0,"6,559",0,0,420,0,0,0,0,0,0,0,0,0,0,0,"1,874",0,0,"2,150",0,0,0,174,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,"65,05,000"
2. 5. Derivados de negociación ,"6,58,18,513","4,75,48,600","11,36,813","62,21,872","15,55,124","6,81,229","1,51,720","39,168","52,222","69,811","44,434","1,86,459","1,42,798",0,"2,90,557",0,"1,27,100","4,186","16,389",0,0,"9,311",0,0,653,"1,367",0,245,"8,788",72,0,"1,316",0,0,3,1,155,"2,99,087",385,586,0,0,"22,339","70,785",0,"1,579",0,0,0,512,332,0,0,0,0,0,0,0,0,0,0,"12,45,04,511"
Pro-memoria: Prestados o en garantía  ,"1,02,28,630","87,27,904",0,"2,03,282",0,"41,87,298",0,0,0,0,0,0,0,0,"1,97,398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,128",0,0,"4,127",0,0,0,0,0,0,0,0,0,"50,550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,36,01,317"
3. OTROS ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN PÉRDIDAS Y GANANCIAS,"1,60,15,879",0,0,0,0,"15,312","1,88,320",0,0,0,0,0,0,0,0,0,0,"1,593",0,0,0,0,0,"4,778",0,0,0,0,0,"18,916",0,0,"1,209",0,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,62,46,953"
